0 0.789281 0.185281	Random Pair
0.385553 0.571108 0.0180016	[MDD(sum)(wv)],[L-R both/1(PO)]
0.385558 0.570931 0.0180016	[MDD(sum)(wv)],[L-R both/2(PO)]
0.38557 0.574912 0.0179885	[MDD(sum)(wv)],[L-R offense/1.75(PO)]
0.385606 0.570919 0.0180016	[MDD(sum)(wv)],[L-R offense/1(PO)]
0.385606 0.575315 0.0179885	[MDD(sum)(wv)],[L-R defense/0.5(PO)]
0.385614 0.574195 0.0181387	ODM-arctan(0.001)(rel-margins)
0.385655 0.572562 0.018014	L-R both/1(fwv)
0.385671 0.572284 0.0179938	[MDD(sum)(wv)],[NREM-Opt]
0.385701 0.574361 0.0181136	[MDD(sum)(wv)],[L-R both/2.25(rel-margins)]
0.38571 0.569347 0.0184987	[MDD(sum)(wv)],[Ext-Minmax(wv)]
0.385738 0.569164 0.0184987	[MDD(sum)(wv)],[Ext-Minmax(PO)]
0.385751 0.572171 0.018014	ODM-arctan(0.001)(wv)
0.385767 0.574025 0.0181387	[MDD(sum)(wv)],[ODM-arctan(0.001)(fwv)]
0.385772 0.574516 0.0179885	[MDD(sum)(wv)],[L-R both/0.75(PO)]
0.385795 0.572429 0.018014	[MDD(sum)(wv)],[L-R both/1(fwv)]
0.385804 0.574592 0.0179885	[MDD(sum)(wv)],[L-R both/1.25(wv)]
0.385807 0.574508 0.0179885	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(PO)]
0.385811 0.574349 0.0179885	[MDD(sum)(wv)],[L-R both/2.25(wv)]
0.385827 0.574404 0.0179885	[MDD(sum)(wv)],[L-R both/2.25(fwv)]
0.385847 0.574731 0.0179885	[MDD(sum)(wv)],[L-R offense/2.25(PO)]
0.385866 0.574482 0.0179885	[MDD(sum)(wv)],[L-R both/1.75(rel-margins)]
0.385876 0.574187 0.0179885	[MDD(sum)(wv)],[L-R both/2.25(PO)]
0.385887 0.574398 0.0179885	[MDD(sum)(wv)],[L-R both/1.5(wv)]
0.385889 0.574193 0.0181387	ODM-arctan(0.001)(fwv)
0.385957 0.574227 0.0179885	[MDD(sum)(wv)],[L-R both/1.75(fwv)]
0.386001 0.57431 0.0179885	[MDD(sum)(wv)],[L-R both/1.75(wv)]
0.386002 0.574293 0.0179885	[MDD(sum)(wv)],[L-R both/2(wv)]
0.38601 0.57411 0.0179885	L-R both/1.25(fwv)
0.386034 0.574483 0.0179885	L-R both/1.5(fwv)
0.386057 0.574169 0.0179885	[MDD(sum)(wv)],[L-R both/0.5(PO)]
0.386057 0.574332 0.0179885	[MDD(sum)(wv)],[L-R both/1.25(rel-margins)]
0.386079 0.574197 0.0179885	[MDD(sum)(wv)],[ODM(0.001)(PO)]
0.386081 0.574379 0.0179885	[MDD(sum)(wv)],[L-R both/1.5(rel-margins)]
0.386088 0.573968 0.0179885	[MDD(sum)(wv)],[L-R both/1(rel-margins)]
0.386095 0.574546 0.0179885	[MDD(sum)(wv)],[L-R both/1.5(fwv)]
0.386126 0.571629 0.0180283	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(PO)]
0.386181 0.574376 0.0179885	[MDD(sum)(wv)],[L-R both/1.25(fwv)]
0.386185 0.574277 0.0179885	L-R both/1.25(wv)
0.386206 0.574478 0.0179885	L-R both/1.5(wv)
0.386284 0.574222 0.0179885	[MDD(sum)(wv)],[L-R both/0.25(PO)]
0.386286 0.574096 0.0179885	[MDD(sum)(wv)],[L-R both/2(rel-margins)]
0.386314 0.571284 0.018014	[MDD(sum)(wv)],[ODM-arctan(0.001)(PO)]
0.386362 0.574052 0.0179885	[MDD(sum)(wv)],[L-R both/2(fwv)]
0.386404 0.571083 0.018014	[MDD(sum)(wv)],[L-R offense/0.5(PO)]
0.386428 0.571042 0.018014	[MDD(sum)(wv)],[L-R offense/0.25(PO)]
0.38643 0.571039 0.018014	[MDD(sum)(wv)],[L-R offense/0.75(PO)]
0.38644 0.571023 0.018014	[MDD(sum)(wv)],[L-R defense/1.75(PO)]
0.38644 0.574447 0.0179938	L-R both/1.75(fwv)
0.386446 0.571013 0.018014	[MDD(sum)(wv)],[L-R defense/2.25(PO)]
0.386493 0.570936 0.018014	[MDD(sum)(wv)],[L-R defense/1.25(PO)]
0.386508 0.570911 0.018014	[MDD(sum)(wv)],[L-R defense/1.5(PO)]
0.386509 0.570909 0.018014	[MDD(sum)(wv)],[L-R defense/2(PO)]
0.386694 0.573867 0.0179938	L-R both/1.75(wv)
0.38735 0.632312 0.0110747	L-R offense/0.5(rel-margins)
0.387514 0.576708 0.017911	L-R both/2(fwv)
0.388211 0.576366 0.017911	L-R both/2(wv)
0.388485 1.10996 0.0834351	Antiplurality
0.389014 0.598601 0.0172529	HITS(0.001)(fwv)
0.389078 0.599089 0.0172529	HITS(0.001)(wv)
0.39187 0.580327 0.0177787	L-R both/2.25(wv)
0.392282 0.543986 0.0222682	L-R defense/2(wv)
0.392364 0.580062 0.0177787	L-R both/2.25(fwv)
0.392712 0.543539 0.0222682	L-R defense/2(fwv)
0.393637 0.583958 0.01705	L-R both/0.5(rel-margins)
0.401741 0.542581 0.0222682	L-R defense/2.25(fwv)
0.401773 0.542577 0.0222682	L-R defense/2.25(wv)
0.408372 0.713841 0.00992989	L-R offense/0.75(rel-margins)
0.410706 0.802931 0.0205794	L-R offense/2(rel-margins)
0.411637 0.800618 0.0196044	L-R offense/1.75(rel-margins)
0.412054 0.810228 0.0225738	L-R offense/2.25(rel-margins)
0.412485 0.770929 0.0138388	L-R offense/1.25(rel-margins)
0.413786 0.792969 0.0187759	L-R offense/1.5(rel-margins)
0.417637 0.753152 0.0118207	L-R offense/1(rel-margins)
0.426983 0.566261 0.0222682	L-R defense/0.5(rel-margins)
0.428581 0.801243 0.0195337	HITS(0.001)(rel-margins)
0.432552 0.744502 0.0107023	Keener(0.001, +1, raw)(rel-margins)
0.432614 0.815447 0.0228657	Ext-Minmin(PO)
0.470962 0.650054 0.00891804	L-R both/0.75(rel-margins)
0.472967 0.429528 0.0316124	[SDom(wv)],[2. order Copeland/2/1]
0.472967 0.429528 0.0316124	[SDom(wv)],[2. order Copeland/2/1]
0.472967 0.429528 0.0316124	[SDom(wv)],[2. order Copeland/2/1]
0.472967 0.429528 0.0316124	[SDom(wv)],[2. order Copeland/2/1]
0.472967 0.429528 0.0316124	[SDom(wv)],[2. order Copeland/2/1]
0.472967 0.429528 0.0316124	[SDom(wv)],[Copeland]
0.472967 0.429528 0.0316124	[SDom(wv)],[Copeland]
0.472967 0.429528 0.0316124	[SDom(wv)],[Copeland]
0.472967 0.429528 0.0316124	[SDom(wv)],[Copeland]
0.472967 0.429528 0.0316124	[SDom(wv)],[Copeland]
0.472967 0.429528 0.0316124	[SDom(wv)],[Dodgson-Quick(fwv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Dodgson-Quick(rel-margins)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Dodgson-Quick(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Ext-Minmax(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Ext-Minmin(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[HITS(0.001)(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/0.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/0.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/0.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/1.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/1.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/1.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/1(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/2.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R both/2(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/0.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/0.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/0.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/1.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/1.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/1.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/1(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/2.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R defense/2(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/0.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/0.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/0.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/1.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/1.5(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/1.75(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/1(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/2.25(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[L-R offense/2(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[ODM(0.001)(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Schulze(tourn-wv)]
0.472967 0.429528 0.0316124	[SDom(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.474284 0.431474 0.0310436	[SDom(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.475002 0.432067 0.0310436	[SDom(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.475961 0.358922 0.0312462	[SDom(wv)],[Gradual-[Condorcet](None, ordinal)]
0.478798 0.433225 0.0308142	[SDom(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.479494 0.43273 0.0308142	[SDom(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.483841 0.361582 0.0310071	[SDom(wv)],[Gradual-[Condorcet](None, cardinal)]
0.484978 0.575874 0.0185166	AVGEliminate-[VoteForAgainst]/fd
0.48519 0.577677 0.0205426	AVGEliminate-[NREM-Opt]/fd
0.485435 0.57587 0.0185166	AVGEliminate-[Borda]/fd
0.489449 0.584442 0.0282175	Eliminate-[NREM-Opt]/fd
0.491489 0.457724 0.0255481	[SDom(wv)],[Dodgson-Quick(wv)]
0.491571 0.578007 0.0282178	Eliminate-[VoteForAgainst]/fd
0.49161 0.577513 0.0282178	Eliminate-[Borda]/fd
0.49536 0.222698 0.0316124	[SDom(wv)],[2. order Copeland]
0.495402 0.222453 0.0316124	[SDom(wv)],[Minmax(tourn-wv)]
0.495951 0.22151 0.0316124	[SDom(wv)],[2. order Copeland]
0.49627 0.222413 0.0316124	[SDom(wv)],[2. order Copeland]
0.496351 0.22246 0.0316124	[SDom(wv)],[2. order Copeland]
0.496719 0.222177 0.0316124	[SDom(wv)],[2. order Copeland]
0.498445 0.570937 0.0222682	L-R defense/0.75(rel-margins)
0.502685 0.480274 0.0222682	[SDom(wv)],[L-R defense/0.5(wv)]
0.502705 0.480219 0.0222682	[SDom(wv)],[Ext-Minmin(wv)]
0.50273 0.480277 0.0222682	[SDom(wv)],[L-R defense/0.25(fwv)]
0.50274 0.480338 0.0222682	[SDom(wv)],[L-R defense/0.5(fwv)]
0.502768 0.480263 0.0222682	[SDom(wv)],[L-R defense/0.25(wv)]
0.502843 0.48039 0.0222682	[SDom(wv)],[Ext-Minmin(fwv)]
0.502882 0.480222 0.0222682	[SDom(wv)],[Ext-Minmin(rel-margins)]
0.5029 0.480351 0.0222682	[SDom(wv)],[L-R defense/1(wv)]
0.502912 0.480366 0.0222682	[SDom(wv)],[L-R defense/0.75(wv)]
0.50296 0.480392 0.0222682	[SDom(wv)],[L-R defense/1(fwv)]
0.502966 0.480279 0.0222682	[SDom(wv)],[L-R defense/0.75(fwv)]
0.503162 0.480518 0.0222682	[SDom(wv)],[L-R defense/1.25(fwv)]
0.50339 0.48116 0.0222682	[SDom(wv)],[L-R defense/1.25(wv)]
0.503618 0.480032 0.0222682	[SDom(wv)],[L-R defense/0.25(rel-margins)]
0.503763 0.487009 0.0222682	[SDom(wv)],[Schulze(wv)]
0.503979 0.486845 0.0222682	[SDom(wv)],[Schulze(rel-margins)]
0.504231 0.480131 0.0222682	[SDom(wv)],[L-R defense/1.5(fwv)]
0.504234 0.480008 0.0222682	[SDom(wv)],[L-R defense/1.5(wv)]
0.504299 0.487234 0.0222682	[SDom(wv)],[Schulze(PO)]
0.504413 0.487106 0.0222682	[SDom(wv)],[Schulze(fwv)]
0.505242 0.4907 0.0191841	[SDom(wv)],[L-R offense/0.75(wv)]
0.505543 0.480584 0.0222682	[SDom(wv)],[L-R defense/1.75(fwv)]
0.505577 0.491216 0.0191841	[SDom(wv)],[L-R offense/0.25(fwv)]
0.50564 0.49097 0.0191841	[SDom(wv)],[L-R offense/0.5(wv)]
0.505682 0.491441 0.0191841	[SDom(wv)],[L-R offense/1(fwv)]
0.505703 0.48024 0.0222682	[SDom(wv)],[L-R defense/1.75(wv)]
0.50573 0.490761 0.0191841	[SDom(wv)],[L-R offense/0.25(wv)]
0.505786 0.490432 0.0191841	[SDom(wv)],[L-R offense/0.5(fwv)]
0.505928 0.490302 0.0191841	[SDom(wv)],[L-R offense/0.75(fwv)]
0.506045 0.660013 0.00757585	Sinkhorn(0.001, +1)(rel-margins)
0.506308 0.490903 0.0191424	[SDom(wv)],[L-R offense/1.25(fwv)]
0.506641 0.491498 0.0191424	[SDom(wv)],[L-R offense/1.25(wv)]
0.506681 0.490857 0.0191841	[SDom(wv)],[L-R offense/1(wv)]
0.506723 0.489762 0.0191457	[SDom(wv)],[L-R offense/0.25(rel-margins)]
0.507352 0.686638 0.015959	Dodgson-Quick(PO)
0.507378 0.479843 0.0222682	[SDom(wv)],[L-R defense/2(fwv)]
0.507637 0.479578 0.0222682	[SDom(wv)],[L-R defense/2(wv)]
0.508336 0.479935 0.0222682	[SDom(wv)],[L-R defense/2.25(wv)]
0.508429 0.479799 0.0222682	[SDom(wv)],[L-R defense/2.25(fwv)]
0.508532 0.662514 0.00754263	L-R both/1.5(PO)
0.508833 0.661905 0.00754263	L-R both/1.25(PO)
0.509445 0.661392 0.00754263	L-R both/1.75(PO)
0.509919 0.41342 0.0310498	[SDom(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.510659 0.491982 0.0189857	[SDom(wv)],[L-R offense/1.5(fwv)]
0.510834 0.505214 0.0180016	[SDom(wv)],[L-R both/1(wv)]
0.511278 0.492352 0.0189857	[SDom(wv)],[L-R offense/1.5(wv)]
0.511354 0.505288 0.018014	[SDom(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.511465 0.505621 0.018014	[SDom(wv)],[L-R both/0.75(fwv)]
0.511518 0.504173 0.0182387	[SDom(wv)],[L-R both/0.25(rel-margins)]
0.511537 0.505695 0.018014	[SDom(wv)],[L-R both/0.25(wv)]
0.511649 0.505987 0.018014	[SDom(wv)],[L-R both/0.5(wv)]
0.511664 0.506271 0.018014	[SDom(wv)],[L-R both/0.25(fwv)]
0.51179 0.506 0.018014	[SDom(wv)],[L-R both/1(fwv)]
0.511811 0.505695 0.018014	[SDom(wv)],[L-R both/0.75(wv)]
0.511829 0.505295 0.018014	[SDom(wv)],[Sinkhorn(0.001, +1)(wv)]
0.511872 0.506708 0.0181387	[SDom(wv)],[ODM(0.001)(rel-margins)]
0.511884 0.505934 0.018014	[SDom(wv)],[L-R both/0.5(fwv)]
0.511964 0.506231 0.0181387	[SDom(wv)],[ODM(0.001)(wv)]
0.512036 0.507031 0.0179885	[SDom(wv)],[L-R both/1.5(fwv)]
0.512134 0.505521 0.018014	[SDom(wv)],[ODM-arctan(0.001)(wv)]
0.512272 0.506113 0.0181387	[SDom(wv)],[Keener(0.001, +1, raw)(fwv)]
0.512467 0.505628 0.0181387	[SDom(wv)],[ODM-arctan(0.001)(fwv)]
0.512481 0.506265 0.0181387	[SDom(wv)],[ODM(0.001)(fwv)]
0.512567 0.506754 0.0179885	[SDom(wv)],[L-R both/1.5(wv)]
0.512572 0.465104 0.0260237	[SDom(wv)],[Keener(0.001, +1, norm)(wv)]
0.512587 0.506362 0.0179885	[SDom(wv)],[L-R both/1.25(fwv)]
0.512659 0.505813 0.0181387	[SDom(wv)],[ODM-arctan(0.001)(rel-margins)]
0.512805 0.506461 0.0179885	[SDom(wv)],[L-R both/1.25(wv)]
0.513046 0.50699 0.0179938	[SDom(wv)],[L-R both/1.75(wv)]
0.513155 0.50704 0.0179938	[SDom(wv)],[L-R both/1.75(fwv)]
0.514413 0.509136 0.017911	[SDom(wv)],[L-R both/2(wv)]
0.514624 0.507882 0.017911	[SDom(wv)],[L-R both/2(fwv)]
0.518219 0.509917 0.0177787	[SDom(wv)],[L-R both/2.25(fwv)]
0.518347 0.500916 0.0185029	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.518448 0.503091 0.0179833	[SDom(wv)],[Keener(0.001, +1, norm)(fwv)]
0.519012 0.509879 0.0177787	[SDom(wv)],[L-R both/2.25(wv)]
0.519357 0.495256 0.0185029	[SDom(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.519627 0.495215 0.0185834	[SDom(wv)],[L-R offense/1.75(fwv)]
0.51994 0.496798 0.0183922	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.52008 0.492057 0.0183922	[SDom(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.520232 0.498681 0.0184896	[SDom(wv)],[Gradual-[Copeland](None, ordinal)]
0.520375 0.494352 0.0185834	[SDom(wv)],[L-R offense/1.75(wv)]
0.520773 0.495105 0.0184547	[SDom(wv)],[Gradual-[Copeland](None, cardinal)]
0.522397 0.668048 0.00757455	ODM-arctan(0.001)(PO)
0.522419 0.512202 0.01705	[SDom(wv)],[L-R both/0.5(rel-margins)]
0.52251 0.732258 0.00779868	L-R offense/2.25(PO)
0.522712 0.5055 0.0179791	[SDom(wv)],[Keener(0.001, +1, raw)(wv)]
0.524175 0.752943 0.0301115	Eliminate-[Nauru Borda]/fd
0.528257 0.725076 0.00769737	L-R offense/2(PO)
0.530849 0.482949 0.0222682	[SDom(wv)],[L-R defense/0.5(rel-margins)]
0.531293 0.509006 0.0182915	[SDom(wv)],[L-R offense/2(wv)]
0.531872 0.520789 0.0172529	[SDom(wv)],[HITS(0.001)(wv)]
0.532032 0.507632 0.0182915	[SDom(wv)],[L-R offense/2(fwv)]
0.532849 0.521783 0.0172529	[SDom(wv)],[HITS(0.001)(fwv)]
0.532882 0.465617 0.0223148	[SDom(wv)],[Ranked Pairs(rel-margins)]
0.532909 0.720663 0.00760615	L-R offense/1.75(PO)
0.53308 0.465257 0.0223148	[SDom(wv)],[Ranked Pairs(wv)]
0.533533 0.465225 0.0223148	[SDom(wv)],[Ranked Pairs(PO)]
0.533723 0.465942 0.0223148	[SDom(wv)],[Ranked Pairs(fwv)]
0.535219 0.72283 0.00770128	HITS(0.001)(PO)
0.536638 0.716584 0.0076156	L-R offense/1.5(PO)
0.539243 0.714541 0.00758758	L-R offense/1.25(PO)
0.540257 0.515555 0.0174289	[SDom(wv)],[L-R offense/2.25(wv)]
0.541435 0.403856 0.0310498	[SDom(wv)],[Ranked Pairs(tourn-wv)]
0.541437 0.515393 0.0174289	[SDom(wv)],[L-R offense/2.25(fwv)]
0.543347 0.715189 0.00762244	L-R defense/0.75(PO)
0.543936 0.725538 0.00756413	Keener(0.001, +1, norm)(PO)
0.545423 0.730212 0.00812706	L-R defense/0.25(PO)
0.545577 0.719584 0.00773776	L-R defense/0.5(PO)
0.549012 0.507316 0.0185166	[SDom(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.54922 0.506793 0.0185166	[SDom(wv)],[AVGEliminate-[Borda]/fd]
0.549309 0.280967 0.0216447	[SDom(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.550453 0.501396 0.0205426	[SDom(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.550614 0.659086 0.0075322	Keener(0.001, +1, norm)(rel-margins)
0.551796 0.667528 0.00756087	L-R both/1(rel-margins)
0.551988 0.512807 0.0222682	L-R defense/1(rel-margins)
0.5563 0.748665 0.0266179	AVGEliminate-[Nauru Borda]/fd
0.556364 0.474523 0.0282178	[SDom(wv)],[Eliminate-[Borda]/fd]
0.55665 0.474632 0.0282175	[SDom(wv)],[Eliminate-[NREM-Opt]/fd]
0.557123 0.475308 0.0282178	[SDom(wv)],[Eliminate-[VoteForAgainst]/fd]
0.559727 0.674773 0.00756934	NREM-Opt
0.561137 0.472631 0.0222682	[SDom(wv)],[L-R defense/0.75(rel-margins)]
0.562183 0.672993 0.00756478	L-R both/2(PO)
0.562341 0.67443 0.00756478	VoteForAgainst
0.562348 0.673662 0.00756478	L-R offense/1(PO)
0.562368 0.673306 0.00756478	Borda
0.562423 0.67297 0.00756478	L-R both/1(PO)
0.562489 0.535595 0.0110747	[SDom(wv)],[L-R offense/0.5(rel-margins)]
0.56259 0.672126 0.00756478	L-R defense/1(PO)
0.563014 0.479022 0.0222682	L-R defense/1.25(rel-margins)
0.563047 0.295109 0.0215196	[SDom(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.56345 0.327366 0.032043	[SDom(wv)],[Eliminate-[Antiplurality]/fd]
0.568027 0.464671 0.0222682	[SDom(wv)],[L-R defense/1(rel-margins)]
0.57006 0.463226 0.0222682	[SDom(wv)],[L-R defense/1.25(rel-margins)]
0.571763 0.45807 0.0222682	L-R defense/1.5(rel-margins)
0.573963 0.454624 0.0222682	L-R defense/1.75(rel-margins)
0.575861 0.621272 0.00785928	L-R defense/2(PO)
0.576137 0.632586 0.00762439	L-R defense/1.5(PO)
0.576655 0.616652 0.00789576	L-R defense/2.25(PO)
0.576877 0.451229 0.0222682	[SDom(wv)],[L-R defense/1.5(rel-margins)]
0.576905 0.452468 0.0222682	L-R defense/2(rel-margins)
0.577432 0.627765 0.00771496	L-R defense/1.75(PO)
0.577791 0.634967 0.00758921	L-R defense/1.25(PO)
0.577991 0.45184 0.0222682	[SDom(wv)],[L-R defense/1.75(rel-margins)]
0.578609 0.451221 0.0222682	[SDom(wv)],[L-R defense/2(rel-margins)]
0.579151 0.447888 0.0222682	L-R defense/2.25(rel-margins)
0.580567 0.447913 0.0222682	[SDom(wv)],[L-R defense/2.25(rel-margins)]
0.580595 0.636564 0.00754263	L-R offense/0.75(PO)
0.581166 0.623652 0.00770616	Keener(0.001, +1, raw)(PO)
0.582685 0.445126 0.0222682	[SDom(wv)],[Ext-Minmax(fwv)]
0.582918 0.445958 0.0222682	[SDom(wv)],[Ext-Minmax(rel-margins)]
0.58297 0.445563 0.0222682	Ext-Minmax(rel-margins)
0.583261 0.632202 0.00756282	L-R offense/0.5(PO)
0.583809 0.445879 0.0222682	Ext-Minmax(fwv)
0.587106 0.625188 0.00760257	L-R offense/0.25(PO)
0.589872 0.555352 0.00891804	[SDom(wv)],[L-R both/0.75(rel-margins)]
0.593184 0.469503 0.0184987	Ext-Minmax(wv)
0.593291 0.469059 0.0184987	Ext-Minmax(PO)
0.593315 0.468708 0.0184987	[SDom(wv)],[Ext-Minmax(wv)]
0.593423 0.468679 0.0184987	[SDom(wv)],[Ext-Minmax(PO)]
0.594905 0.893215 0	Cardinal-10
0.595395 0.363494 0.0301034	[SDom(wv)],[Eliminate-[Nauru Borda]/fd]
0.602198 0.106668 0.0376392	Eliminate-[Plurality]/fd
0.608275 0.57008 0.00757585	[SDom(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.609986 0.573415 0.00754263	[SDom(wv)],[L-R both/1.25(PO)]
0.610172 0.57305 0.00754263	[SDom(wv)],[L-R both/1.5(PO)]
0.610368 0.572742 0.00754263	[SDom(wv)],[L-R both/1.75(PO)]
0.613463 0.805393 0.00450837	Cardinal-10(norm)
0.614211 0.360457 0.0222682	Minmax(fwv)
0.614284 0.360571 0.0222682	[SDom(wv)],[Minmax(wv)]
0.614328 0.360285 0.0222682	Minmax(PO)
0.61446 0.360234 0.0222682	[SDom(wv)],[Minmax(rel-margins)]
0.614511 0.360092 0.0222682	Minmax(rel-margins)
0.614689 0.360216 0.0222682	Minmax(wv)
0.615181 0.361114 0.0222682	[SDom(wv)],[Minmax(PO)]
0.615393 0.3603 0.0222682	[SDom(wv)],[Minmax(fwv)]
0.616744 0.686752 0.00758302	L-R both/2.25(PO)
0.617866 0.687287 0.00758726	L-R both/0.75(PO)
0.619534 0.688562 0.00761788	L-R both/0.5(PO)
0.620769 0.552369 0.00789576	[SDom(wv)],[L-R defense/2.25(PO)]
0.623041 0.55541 0.00785928	[SDom(wv)],[L-R defense/2(PO)]
0.623099 0.690595 0.00786123	L-R both/0.25(PO)
0.624526 0.688059 0.00765143	Sinkhorn(0.001, +1)(PO)
0.625586 0.567888 0.00757455	[SDom(wv)],[ODM-arctan(0.001)(PO)]
0.626479 0.559426 0.00771496	[SDom(wv)],[L-R defense/1.75(PO)]
0.626749 0.559352 0.00770616	[SDom(wv)],[Keener(0.001, +1, raw)(PO)]
0.628491 0.692795 0.00801174	ODM(0.001)(PO)
0.6286 0.562791 0.00762439	[SDom(wv)],[L-R defense/1.5(PO)]
0.629321 0.387017 0.0265808	[SDom(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.630295 0.589656 0.00756087	[SDom(wv)],[L-R both/1(rel-margins)]
0.630611 0.563802 0.00760257	[SDom(wv)],[L-R offense/0.25(PO)]
0.6317 0.565065 0.00758921	[SDom(wv)],[L-R defense/1.25(PO)]
0.631929 0.565675 0.00756282	[SDom(wv)],[L-R offense/0.5(PO)]
0.632537 0.566303 0.0075322	[SDom(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.632695 0.566826 0.00754263	[SDom(wv)],[L-R offense/0.75(PO)]
0.632952 0.609394 0.00992989	[SDom(wv)],[L-R offense/0.75(rel-margins)]
0.637733 0.52292 0.015959	[SDom(wv)],[Dodgson-Quick(PO)]
0.640782 0.590599 0.00756934	[SDom(wv)],[NREM-Opt]
0.641071 0.589097 0.00756478	[SDom(wv)],[L-R defense/1(PO)]
0.641224 0.589035 0.00756478	[SDom(wv)],[VoteForAgainst]
0.641303 0.589042 0.00756478	[SDom(wv)],[Borda]
0.641336 0.588916 0.00756478	[SDom(wv)],[L-R both/1(PO)]
0.641339 0.58889 0.00756478	[SDom(wv)],[L-R both/2(PO)]
0.641408 0.589014 0.00756478	[SDom(wv)],[L-R offense/1(PO)]
0.64216 0.683492 0.00811045	L-R both/1.25(rel-margins)
0.650832 0.231603 0.0377649	[SDom(wv)],[Eliminate-[Plurality]/fd]
0.656195 0.641949 0.0107023	[SDom(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.656882 0.616521 0.00758758	[SDom(wv)],[L-R offense/1.25(PO)]
0.657622 0.618126 0.0076156	[SDom(wv)],[L-R offense/1.5(PO)]
0.658578 0.620218 0.00762244	[SDom(wv)],[L-R defense/0.75(PO)]
0.659372 0.621282 0.00760615	[SDom(wv)],[L-R offense/1.75(PO)]
