0 0.789281 0.185281	Random Pair
0.339459 0.510733 0.0316124	L-R defense/0.5(tourn-wv)
0.339461 0.510665 0.0316124	[MDD(sum)(wv)],[L-R offense/2.25(tourn-wv)]
0.339462 0.51068 0.0316124	[MDD(sum)(wv)],[L-R defense/2(tourn-wv)]
0.339463 0.510727 0.0316124	[MDD(sum)(wv)],[L-R offense/1.5(tourn-wv)]
0.339466 0.510731 0.0316124	Dodgson-Quick(fwv)
0.33947 0.510683 0.0316124	L-R offense/2(tourn-wv)
0.339471 0.510694 0.0316124	Copeland
0.339475 0.51072 0.0316124	[MDD(sum)(wv)],[L-R offense/0.25(tourn-wv)]
0.339477 0.510647 0.0316124	ODM(0.001)(tourn-wv)
0.339478 0.510602 0.0316124	L-R both/2.25(tourn-wv)
0.339484 0.510686 0.0316124	[MDD(sum)(wv)],[Ext-Minmax(tourn-wv)]
0.339486 0.510635 0.0316124	L-R offense/2.25(tourn-wv)
0.3395 0.510698 0.0316124	[MDD(sum)(wv)],[L-R defense/0.25(tourn-wv)]
0.339502 0.510686 0.0316124	L-R offense/1.5(tourn-wv)
0.339502 0.510721 0.0316124	L-R defense/0.75(tourn-wv)
0.339504 0.510608 0.0316124	[MDD(sum)(wv)],[L-R both/1.5(tourn-wv)]
0.339512 0.510684 0.0316124	HITS(0.001)(tourn-wv)
0.339513 0.510682 0.0316124	L-R offense/0.75(tourn-wv)
0.339514 0.510616 0.0316124	[MDD(sum)(wv)],[2. order Copeland]
0.339517 0.510675 0.0316124	2. order Copeland/2/1
0.339521 0.510604 0.0316124	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.339521 0.510694 0.0316124	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.339523 0.510636 0.0316124	[MDD(sum)(wv)],[Copeland]
0.339523 0.510651 0.0316124	2. order Copeland/2/1
0.339526 0.510592 0.0316124	[MDD(sum)(wv)],[Copeland]
0.339526 0.510628 0.0316124	Ext-Minmin(tourn-wv)
0.339526 0.510641 0.0316124	L-R both/0.25(tourn-wv)
0.339527 0.510648 0.0316124	[MDD(sum)(wv)],[L-R defense/0.75(tourn-wv)]
0.339528 0.510603 0.0316124	Ext-Minmax(tourn-wv)
0.339529 0.510676 0.0316124	Copeland
0.339536 0.510624 0.0316124	[MDD(sum)(wv)],[Dodgson-Quick(rel-margins)]
0.339537 0.510596 0.0316124	[MDD(sum)(wv)],[ODM(0.001)(tourn-wv)]
0.339538 0.510636 0.0316124	L-R defense/2(tourn-wv)
0.339538 0.510687 0.0316124	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.339544 0.510658 0.0316124	L-R offense/1(tourn-wv)
0.339549 0.510662 0.0316124	Sinkhorn(0.001, +1)(tourn-wv)
0.339549 0.51068 0.0316124	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.339552 0.510605 0.0316124	L-R defense/0.25(tourn-wv)
0.339552 0.510634 0.0316124	L-R offense/1.75(tourn-wv)
0.339553 0.510617 0.0316124	[MDD(sum)(wv)],[Schulze(tourn-wv)]
0.339554 0.510691 0.0316124	L-R defense/2.25(tourn-wv)
0.339554 0.510694 0.0316124	[MDD(sum)(wv)],[2. order Copeland]
0.339559 0.510649 0.0316124	L-R offense/0.25(tourn-wv)
0.339568 0.51067 0.0316124	L-R both/2(tourn-wv)
0.339574 0.510629 0.0316124	[MDD(sum)(wv)],[L-R both/0.5(tourn-wv)]
0.339579 0.510661 0.0316124	L-R defense/1.75(tourn-wv)
0.339579 0.510668 0.0316124	[MDD(sum)(wv)],[Minmax(tourn-wv)]
0.339583 0.510652 0.0316124	[MDD(sum)(wv)],[L-R both/2(tourn-wv)]
0.339587 0.512049 0.0312462	[MDD(sum)(wv)],[Gradual-[Condorcet](None, ordinal)]
0.339588 0.510655 0.0316124	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.339595 0.51062 0.0316124	[MDD(sum)(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.339605 0.510635 0.0316124	Copeland
0.339615 0.510639 0.0316124	L-R both/1.75(tourn-wv)
0.33962 0.510675 0.0316124	L-R both/1(tourn-wv)
0.34021 0.513554 0.0310436	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.340564 0.513478 0.0310436	Gradual-[Landau(wv)](None, ordinal)
0.340792 0.512563 0.0310436	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.340797 0.51295 0.0310436	Gradual-[Smith(wv)](None, ordinal)
0.341338 0.572158 0.0246568	[MDD(sum)(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.345831 0.604018 0.0223148	Ranked Pairs(fwv)
0.345855 0.604581 0.0223148	[MDD(sum)(wv)],[Ranked Pairs(fwv)]
0.345906 0.604352 0.0223148	[MDD(sum)(wv)],[Ranked Pairs(rel-margins)]
0.345914 0.60447 0.0223148	Ranked Pairs(PO)
0.346063 0.604515 0.0223148	Ranked Pairs(wv)
0.346066 0.604725 0.0223148	[MDD(sum)(wv)],[Ranked Pairs(PO)]
0.346084 0.604566 0.0223148	Ranked Pairs(rel-margins)
0.346085 0.604768 0.0223148	[MDD(sum)(wv)],[Ranked Pairs(wv)]
0.34819 0.557169 0.0216447	[MDD(sum)(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.34846 0.559806 0.0215196	[MDD(sum)(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.348983 0.562143 0.0260237	Keener(0.001, +1, norm)(wv)
0.349663 0.562075 0.0260237	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(wv)]
0.350951 0.961534 0.0225907	VMedianOS-10(tiebreak)
0.35199 0.570469 0.0282178	[MDD(sum)(wv)],[Eliminate-[VoteForAgainst]/fd]
0.352529 0.571863 0.0282175	[MDD(sum)(wv)],[Eliminate-[NREM-Opt]/fd]
0.352701 0.569352 0.0282178	[MDD(sum)(wv)],[Eliminate-[Borda]/fd]
0.353098 0.577856 0.0208641	[MDD(sum)(wv)],[Nauru Borda]
0.35734 0.580205 0.0211984	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.35875 0.532445 0.0255481	[MDD(sum)(wv)],[Dodgson-Quick(wv)]
0.359057 0.532397 0.0255481	Dodgson-Quick(wv)
0.360023 0.582103 0.0214544	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.361424 0.545984 0.0210892	[MDD(sum)(wv)],[Dodgson-Quick(PO)]
0.364843 0.572074 0.0189857	L-R offense/1.5(fwv)
0.365285 0.567599 0.0191457	L-R offense/0.25(rel-margins)
0.365338 0.571362 0.0189857	L-R offense/1.5(wv)
0.365393 0.582935 0.0185834	L-R offense/1.75(wv)
0.365405 0.567595 0.0191424	L-R offense/1.25(fwv)
0.365453 0.566779 0.0191841	[MDD(sum)(wv)],[L-R offense/1.25(fwv)]
0.365486 0.566768 0.0191841	[MDD(sum)(wv)],[L-R offense/2.25(rel-margins)]
0.365498 0.566764 0.0191841	[MDD(sum)(wv)],[L-R offense/1(fwv)]
0.36551 0.566728 0.0191841	[MDD(sum)(wv)],[L-R offense/2.25(wv)]
0.365512 0.566712 0.0191841	[MDD(sum)(wv)],[L-R offense/0.5(fwv)]
0.365512 0.568079 0.0191424	L-R offense/1.25(wv)
0.365517 0.566706 0.0191841	[MDD(sum)(wv)],[L-R offense/0.5(wv)]
0.365525 0.5668 0.0191841	L-R offense/0.75(fwv)
0.365527 0.566765 0.0191841	[MDD(sum)(wv)],[L-R offense/2(wv)]
0.365538 0.566775 0.0191841	L-R offense/0.25(fwv)
0.365541 0.566709 0.0191841	[MDD(sum)(wv)],[L-R offense/1.75(rel-margins)]
0.365548 0.566781 0.0191841	[MDD(sum)(wv)],[L-R offense/1.5(rel-margins)]
0.365549 0.56669 0.0191841	[MDD(sum)(wv)],[L-R offense/1.75(wv)]
0.365551 0.566812 0.0191841	L-R offense/0.5(wv)
0.365554 0.566653 0.0191841	[MDD(sum)(wv)],[L-R offense/0.25(rel-margins)]
0.365563 0.566653 0.0191841	[MDD(sum)(wv)],[L-R offense/0.75(fwv)]
0.365564 0.566752 0.0191841	[MDD(sum)(wv)],[L-R offense/1.25(wv)]
0.365569 0.566767 0.0191841	[MDD(sum)(wv)],[L-R offense/1(rel-margins)]
0.365572 0.566672 0.0191841	L-R offense/0.25(wv)
0.365576 0.56669 0.0191841	[MDD(sum)(wv)],[L-R offense/2(rel-margins)]
0.365578 0.566777 0.0191841	L-R offense/1(wv)
0.365579 0.566795 0.0191841	L-R offense/1(fwv)
0.36558 0.566559 0.0191841	[MDD(sum)(wv)],[L-R offense/0.75(rel-margins)]
0.365581 0.566725 0.0191841	[MDD(sum)(wv)],[L-R offense/0.75(wv)]
0.365582 0.566611 0.0191841	[MDD(sum)(wv)],[L-R offense/1.5(wv)]
0.365583 0.566663 0.0191841	[MDD(sum)(wv)],[L-R offense/1.25(rel-margins)]
0.365584 0.566656 0.0191841	[MDD(sum)(wv)],[L-R offense/0.5(rel-margins)]
0.365589 0.566654 0.0191841	[MDD(sum)(wv)],[L-R offense/1(wv)]
0.365591 0.566697 0.0191841	[MDD(sum)(wv)],[L-R offense/0.25(wv)]
0.365601 0.5666 0.0191841	[MDD(sum)(wv)],[L-R offense/1.75(fwv)]
0.365613 0.566649 0.0191841	[MDD(sum)(wv)],[L-R offense/0.25(fwv)]
0.365631 0.566707 0.0191841	[MDD(sum)(wv)],[L-R offense/2.25(fwv)]
0.365635 0.566599 0.0191841	[MDD(sum)(wv)],[L-R offense/1.5(fwv)]
0.36564 0.566585 0.0191841	[MDD(sum)(wv)],[L-R offense/2(fwv)]
0.365652 0.566693 0.0191841	L-R offense/0.5(fwv)
0.36573 0.566646 0.0191841	L-R offense/0.75(wv)
0.365888 0.580372 0.0214232	[MDD(sum)(wv)],[Mode-Ratings]
0.366021 0.584744 0.0185834	L-R offense/1.75(fwv)
0.368111 0.586142 0.0183922	Gradual-[Schwartz(wv)](None, cardinal)
0.368398 0.587054 0.0184547	Gradual-[Copeland](None, cardinal)
0.368449 0.586508 0.0183922	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.369016 0.586893 0.0184547	[MDD(sum)(wv)],[Gradual-[Copeland](None, cardinal)]
0.370936 0.585839 0.0185029	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.371474 0.585933 0.0185029	Gradual-[Schwartz(wv)](None, ordinal)
0.371897 0.586568 0.0184896	[MDD(sum)(wv)],[Gradual-[Copeland](None, ordinal)]
0.372014 0.599778 0.0182915	L-R offense/2(fwv)
0.372188 0.599856 0.0182915	L-R offense/2(wv)
0.372412 0.586384 0.0184896	Gradual-[Copeland](None, ordinal)
0.37432 0.585894 0.0183922	Gradual-[2. order Copeland/2/1](None, cardinal)
0.374688 0.585794 0.0183922	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.375051 0.611059 0.0174289	L-R offense/2.25(fwv)
0.375256 0.611264 0.0174289	L-R offense/2.25(wv)
0.376926 0.549686 0.0222682	L-R defense/0.75(wv)
0.376928 0.549689 0.0222682	[MDD(sum)(wv)],[L-R defense/0.75(wv)]
0.37693 0.549689 0.0222682	[MDD(sum)(wv)],[L-R defense/2.25(wv)]
0.376931 0.549685 0.0222682	L-R defense/0.5(wv)
0.376932 0.549669 0.0222682	[MDD(sum)(wv)],[L-R defense/1(fwv)]
0.376932 0.549675 0.0222682	[MDD(sum)(wv)],[Ext-Minmax(rel-margins)]
0.376937 0.549692 0.0222682	L-R defense/0.75(fwv)
0.376939 0.549673 0.0222682	[MDD(sum)(wv)],[L-R defense/2(rel-margins)]
0.376939 0.549688 0.0222682	[MDD(sum)(wv)],[L-R defense/0.5(wv)]
0.376942 0.549697 0.0222682	[MDD(sum)(wv)],[Ext-Minmax(fwv)]
0.376947 0.549685 0.0222682	[MDD(sum)(wv)],[L-R defense/0.25(rel-margins)]
0.376949 0.549698 0.0222682	[MDD(sum)(wv)],[Ext-Minmin(fwv)]
0.376952 0.549683 0.0222682	[MDD(sum)(wv)],[Ext-Minmin(wv)]
0.376954 0.549662 0.0222682	[MDD(sum)(wv)],[L-R defense/1(rel-margins)]
0.376965 0.549644 0.0222682	[MDD(sum)(wv)],[L-R defense/2.25(fwv)]
0.376967 0.549634 0.0222682	[MDD(sum)(wv)],[Minmax(rel-margins)]
0.376968 0.549641 0.0222682	L-R defense/1(fwv)
0.376972 0.549659 0.0222682	[MDD(sum)(wv)],[Minmax(fwv)]
0.376975 0.549663 0.0222682	[MDD(sum)(wv)],[L-R defense/0.75(rel-margins)]
0.376976 0.549629 0.0222682	L-R defense/0.25(wv)
0.376976 0.54965 0.0222682	[MDD(sum)(wv)],[Ext-Minmin(rel-margins)]
0.376977 0.549641 0.0222682	[MDD(sum)(wv)],[L-R defense/1.25(wv)]
0.376981 0.549609 0.0222682	[MDD(sum)(wv)],[Minmax(wv)]
0.376988 0.549622 0.0222682	[MDD(sum)(wv)],[L-R defense/2.25(rel-margins)]
0.376989 0.549631 0.0222682	[MDD(sum)(wv)],[L-R defense/2(wv)]
0.37699 0.549643 0.0222682	[MDD(sum)(wv)],[L-R defense/1.5(rel-margins)]
0.376991 0.576778 0.0181169	[MDD(sum)(wv)],[VMedianOS-10(norm, tiebreak)]
0.376993 0.549603 0.0222682	[MDD(sum)(wv)],[L-R defense/1.75(wv)]
0.376993 0.549623 0.0222682	[MDD(sum)(wv)],[L-R defense/1.75(fwv)]
0.376994 0.54961 0.0222682	L-R defense/0.25(fwv)
0.377002 0.549605 0.0222682	[MDD(sum)(wv)],[L-R defense/0.75(fwv)]
0.377003 0.549616 0.0222682	L-R defense/1(wv)
0.377007 0.54962 0.0222682	[MDD(sum)(wv)],[L-R defense/1.5(wv)]
0.377013 0.549578 0.0222682	Ext-Minmin(rel-margins)
0.377023 0.549566 0.0222682	[MDD(sum)(wv)],[L-R defense/1(wv)]
0.377023 0.549573 0.0222682	[MDD(sum)(wv)],[L-R defense/0.5(rel-margins)]
0.377025 0.549579 0.0222682	Ext-Minmin(fwv)
0.377027 0.549578 0.0222682	[MDD(sum)(wv)],[L-R defense/1.25(fwv)]
0.377032 0.549577 0.0222682	L-R defense/0.5(fwv)
0.377032 0.549577 0.0222682	[MDD(sum)(wv)],[L-R defense/0.25(fwv)]
0.377039 0.549556 0.0222682	[MDD(sum)(wv)],[Minmax(PO)]
0.37704 0.549545 0.0222682	[MDD(sum)(wv)],[L-R defense/0.5(fwv)]
0.377043 0.549542 0.0222682	Ext-Minmin(wv)
0.377045 0.549565 0.0222682	[MDD(sum)(wv)],[L-R defense/1.25(rel-margins)]
0.377045 0.549574 0.0222682	[MDD(sum)(wv)],[L-R defense/2(fwv)]
0.377046 0.549569 0.0222682	[MDD(sum)(wv)],[L-R defense/1.5(fwv)]
0.377051 0.549536 0.0222682	[MDD(sum)(wv)],[L-R defense/0.25(wv)]
0.377058 0.549555 0.0222682	[MDD(sum)(wv)],[L-R defense/1.75(rel-margins)]
0.37713 0.549449 0.0222682	L-R defense/1.25(fwv)
0.377492 0.589548 0.0179791	Keener(0.001, +1, raw)(wv)
0.377568 0.589059 0.0179791	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(wv)]
0.377611 0.584468 0.0185029	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.377654 0.584106 0.0185029	Gradual-[2. order Copeland/2/1](None, ordinal)
0.377679 0.548659 0.0222682	L-R defense/0.25(rel-margins)
0.377945 0.549236 0.0222682	L-R defense/1.25(wv)
0.378115 0.577349 0.018068	[MDD(sum)(wv)],[VMedianOS-10(tiebreak)]
0.378336 0.557101 0.0222682	[MDD(sum)(wv)],[Schulze(fwv)]
0.378356 0.557211 0.0222682	[MDD(sum)(wv)],[Schulze(wv)]
0.37846 0.557342 0.0222682	Schulze(PO)
0.378487 0.557169 0.0222682	[MDD(sum)(wv)],[Schulze(rel-margins)]
0.378491 0.557152 0.0222682	Schulze(wv)
0.378546 0.557237 0.0222682	Schulze(fwv)
0.378671 0.557366 0.0222682	Schulze(rel-margins)
0.378725 0.557173 0.0222682	[MDD(sum)(wv)],[Schulze(PO)]
0.37972 0.574274 0.0177146	[MDD(sum)(wv)],[Cardinal-10]
0.379796 0.548671 0.0222682	L-R defense/1.5(wv)
0.380087 0.574025 0.0178576	[MDD(sum)(wv)],[Cardinal-10(norm)]
0.380423 0.547596 0.0222682	L-R defense/1.5(fwv)
0.380805 0.582984 0.0179833	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(fwv)]
0.381236 0.582345 0.0179833	Keener(0.001, +1, norm)(fwv)
0.381332 0.584877 0.0179576	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(PO)]
0.381419 0.567514 0.0205426	[MDD(sum)(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.383168 0.576265 0.0181387	[MDD(sum)(wv)],[Ext-Minmin(PO)]
0.383168 0.576294 0.0181387	[MDD(sum)(wv)],[ODM(0.001)(wv)]
0.383172 0.576314 0.0181387	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.38318 0.57632 0.0181387	[MDD(sum)(wv)],[HITS(0.001)(rel-margins)]
0.383202 0.576343 0.0181387	[MDD(sum)(wv)],[HITS(0.001)(wv)]
0.383213 0.57631 0.0181387	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(fwv)]
0.383225 0.576208 0.0181387	ODM(0.001)(fwv)
0.38323 0.576179 0.0181387	ODM(0.001)(wv)
0.383237 0.576201 0.0181387	Keener(0.001, +1, raw)(fwv)
0.383243 0.576265 0.0181387	[MDD(sum)(wv)],[ODM(0.001)(fwv)]
0.383256 0.576218 0.0181387	[MDD(sum)(wv)],[HITS(0.001)(fwv)]
0.383259 0.576273 0.0181387	ODM(0.001)(rel-margins)
0.383285 0.576254 0.0181387	[MDD(sum)(wv)],[ODM(0.001)(rel-margins)]
0.383365 0.572235 0.0182387	L-R both/0.25(rel-margins)
0.383759 0.572047 0.0182387	[MDD(sum)(wv)],[L-R both/0.25(rel-margins)]
0.384652 0.546079 0.0222682	L-R defense/1.75(wv)
0.384772 0.546043 0.0222682	L-R defense/1.75(fwv)
0.38485 0.572903 0.018014	[MDD(sum)(wv)],[L-R both/0.5(rel-margins)]
0.384852 0.5729 0.018014	L-R both/0.25(wv)
0.38486 0.572887 0.018014	[MDD(sum)(wv)],[L-R both/0.5(fwv)]
0.384877 0.57286 0.018014	L-R both/0.5(wv)
0.384884 0.572849 0.018014	[MDD(sum)(wv)],[L-R both/0.75(fwv)]
0.384894 0.572832 0.018014	[MDD(sum)(wv)],[L-R both/1.75(PO)]
0.384901 0.57282 0.018014	Sinkhorn(0.001, +1)(fwv)
0.384902 0.572818 0.018014	L-R both/0.75(wv)
0.384904 0.572815 0.018014	Sinkhorn(0.001, +1)(wv)
0.384913 0.572801 0.018014	[MDD(sum)(wv)],[L-R both/0.25(fwv)]
0.384915 0.572798 0.018014	[MDD(sum)(wv)],[L-R both/0.5(wv)]
0.38492 0.572789 0.018014	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.384923 0.572784 0.018014	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.384928 0.572776 0.018014	L-R both/0.5(fwv)
0.384928 0.572777 0.018014	[MDD(sum)(wv)],[L-R both/0.25(wv)]
0.384935 0.572765 0.018014	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(wv)]
0.384942 0.572754 0.018014	L-R both/0.75(fwv)
0.384944 0.572751 0.018014	[MDD(sum)(wv)],[L-R both/1.5(PO)]
0.384965 0.572717 0.018014	[MDD(sum)(wv)],[L-R both/0.75(wv)]
0.384966 0.572714 0.018014	[MDD(sum)(wv)],[L-R both/0.75(rel-margins)]
0.384972 0.572705 0.018014	L-R both/0.25(fwv)
0.384978 0.572696 0.018014	[MDD(sum)(wv)],[L-R both/1.25(PO)]
0.385088 0.56941 0.0185166	[MDD(sum)(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.385169 0.57534 0.0179885	[MDD(sum)(wv)],[HITS(0.001)(PO)]
0.385254 0.569992 0.0185166	[MDD(sum)(wv)],[AVGEliminate-[Borda]/fd]
0.38528 0.574919 0.0179885	[MDD(sum)(wv)],[L-R offense/1.25(PO)]
0.385283 0.575127 0.0179885	[MDD(sum)(wv)],[L-R defense/0.25(PO)]
0.385297 0.574857 0.0179885	[MDD(sum)(wv)],[L-R offense/1.5(PO)]
0.385372 0.575142 0.0179885	[MDD(sum)(wv)],[L-R defense/0.75(PO)]
0.38543 0.576034 0.0180039	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.385448 0.571096 0.0180016	[MDD(sum)(wv)],[L-R defense/1(PO)]
0.385448 0.571238 0.0180016	[MDD(sum)(wv)],[Borda]
0.385513 0.571122 0.0180016	L-R both/1(wv)
0.385516 0.571158 0.0180016	[MDD(sum)(wv)],[VoteForAgainst]
0.385523 0.571063 0.0180016	[MDD(sum)(wv)],[L-R both/1(wv)]
0.385524 0.575105 0.0179885	[MDD(sum)(wv)],[L-R offense/2(PO)]
0.38553 0.574482 0.0181387	[MDD(sum)(wv)],[ODM-arctan(0.001)(rel-margins)]
0.38554 0.572821 0.018014	[MDD(sum)(wv)],[ODM-arctan(0.001)(wv)]
