0 0.920973 	Random Pair
0.332843 1.10024 	[Smith(wv)],[L-R both/0.5(keener)]
0.332851 1.1118 	L-R both/2.25(keener)
0.332875 1.10018 	[Smith(wv)],[L-R both/0.5(rel-margins)]
0.332889 1.10052 	[Smith(wv)],[L-R both/0.75(keener)]
0.332931 1.10026 	[Smith(wv)],[Keener(0.001, +1, norm)(keener)]
0.332957 1.10022 	[Smith(wv)],[L-R both/1.5(keener)]
0.332974 1.10004 	[Smith(wv)],[L-R both/1(keener)]
0.332974 1.10028 	[Smith(wv)],[Keener(0.001, +0, norm)(keener)]
0.333056 1.10029 	[Smith(wv)],[L-R both/2(keener)]
0.333069 1.10039 	[Smith(wv)],[L-R offense/1(keener)]
0.33314 1.11182 	L-R both/0.75(keener)
0.33315 1.11117 	L-R both/1(keener)
0.333152 1.11106 	Sinkhorn(0.001, +1)(keener)
0.333176 1.11127 	L-R both/0.5(rel-margins)
0.333221 1.11112 	Keener(0.001, +0, norm)(keener)
0.333223 1.11128 	L-R defense/1(keener)
0.333238 1.11006 	L-R both/1.75(keener)
0.33324 1.09989 	[Smith(wv)],[L-R offense/0.75(keener)]
0.333261 1.11122 	L-R both/2(keener)
0.333275 1.11131 	Keener(0.001, +1, norm)(keener)
0.333281 1.1169 	L-R both/0.25(keener)
0.333341 1.11102 	L-R offense/1(keener)
0.333349 1.09984 	[Smith(wv)],[L-R defense/1.25(keener)]
0.333445 1.10037 	[Smith(wv)],[ODM-arctan(0.001)(keener)]
0.333479 1.11012 	L-R both/1.25(keener)
0.333492 1.08336 	L-R defense/1.75(w/tv)
0.333507 1.11023 	L-R both/1.5(keener)
0.333538 1.07076 	[Smith(wv)],[ODM(0.001)(rel-margins)]
0.33385 1.11007 	ODM-arctan(0.001)(keener)
0.334539 1.09896 	[Smith(wv)],[Keener(0.001, +1, raw)(keener)]
0.33487 1.11073 	L-R offense/0.75(keener)
0.335064 1.10753 	L-R defense/1.25(keener)
0.335173 1.12729 	[Smith(wv)],[Keener(0.001, +1, norm)(PO)]
0.335344 1.12832 	[Smith(wv)],[Keener(0.001, +0, norm)(PO)]
0.335519 1.10994 	Keener(0.001, +1, raw)(keener)
0.335867 1.09856 	[Smith(wv)],[L-R defense/1.5(keener)]
0.336869 1.08388 	L-R defense/2(w/tv)
0.336946 1.09868 	[Smith(wv)],[L-R offense/0.5(keener)]
0.33699 1.30884 	Ext-Minmin(PO)
0.337437 1.09849 	[Smith(wv)],[L-R offense/0.25(keener)]
0.337514 1.09721 	[Smith(wv)],[L-R defense/1.75(keener)]
0.337663 1.05785 	ODM(0.001)(w/tv)
0.337707 1.0928 	[Smith(wv)],[Keener(0.001, +0, raw)(keener)]
0.33799 1.309 	Ext-Minmin(keener)
0.338219 1.05819 	[Smith(wv)],[ODM(0.001)(w/tv)]
0.338268 1.09617 	[Smith(wv)],[L-R defense/2(keener)]
0.338492 1.0954 	[Smith(wv)],[L-R defense/2.25(keener)]
0.338687 1.10574 	L-R defense/1.5(keener)
0.338895 1.12058 	[Smith(wv)],[L-R offense/2.25(PO)]
0.338908 1.07264 	[Smith(wv)],[Ext-Minmin(wv)]
0.338981 1.07269 	Ext-Minmin(wv)
0.339068 1.0725 	Ext-Minmin(fwv)
0.339073 1.07254 	Ext-Minmin(rel-margins)
0.339101 1.07258 	[Smith(wv)],[Ext-Minmin(fwv)]
0.339123 1.07273 	[Smith(wv)],[Ext-Minmin(rel-margins)]
0.340218 1.10957 	L-R offense/0.5(keener)
0.340705 1.11973 	[Smith(wv)],[L-R offense/2(PO)]
0.340905 1.10622 	[Smith(wv)],[L-R both/0.75(rel-margins)]
0.341112 1.11315 	L-R offense/0.25(keener)
0.341212 1.04756 	[Smith(wv)],[Sinkhorn(0.001, +0)(fwv)]
0.342278 1.05093 	[Smith(wv)],[Sinkhorn(0.001, +0)(wv)]
0.342328 1.11832 	[Smith(wv)],[HITS(0.001)(PO)]
0.342413 1.10463 	L-R defense/1.75(keener)
0.34263 1.11806 	[Smith(wv)],[L-R defense/0.25(PO)]
0.342776 0.900064 	Schulze(tourn-wv)
0.342857 1.07408 	Dodgson-Quick(wv)
0.343017 1.0775 	[Smith(wv)],[L-R defense/0.25(fwv)]
0.343026 1.07762 	[Smith(wv)],[L-R defense/1(wv)]
0.343061 1.07727 	[Smith(wv)],[L-R defense/0.25(wv)]
0.343063 1.07754 	L-R defense/1(wv)
0.343091 1.11702 	[Smith(wv)],[L-R offense/1.5(PO)]
0.343096 1.07739 	L-R defense/0.25(wv)
0.34313 1.11775 	[Smith(wv)],[L-R defense/0.5(PO)]
0.343259 1.0775 	L-R defense/0.25(fwv)
0.343466 1.07705 	L-R defense/1.25(wv)
0.343484 1.11705 	[Smith(wv)],[L-R offense/1.75(PO)]
0.343496 1.07736 	L-R defense/0.75(fwv)
0.34352 1.07736 	[Smith(wv)],[L-R defense/1.5(wv)]
0.343546 1.07357 	[Smith(wv)],[Dodgson-Quick(wv)]
0.343566 1.11319 	[Smith(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.34357 1.07721 	L-R defense/0.75(wv)
0.343588 1.07656 	L-R defense/1(fwv)
0.343627 1.07744 	L-R defense/0.5(fwv)
0.343662 0.899578 	[Smith(wv)],[Schulze(tourn-wv)]
0.343671 1.07713 	[Smith(wv)],[L-R defense/0.5(fwv)]
0.343716 1.07721 	[Smith(wv)],[L-R defense/0.75(wv)]
0.343718 1.0771 	[Smith(wv)],[L-R defense/0.75(fwv)]
0.343776 1.07684 	[Smith(wv)],[L-R defense/1.75(fwv)]
0.343812 1.07721 	L-R defense/0.5(wv)
0.343829 1.07655 	[Smith(wv)],[L-R defense/1(fwv)]
0.343896 1.0769 	[Smith(wv)],[L-R defense/1.25(wv)]
0.343899 1.07649 	L-R defense/1.25(fwv)
0.34394 1.07723 	[Smith(wv)],[L-R defense/0.5(wv)]
0.343998 1.07714 	[Smith(wv)],[L-R defense/2.25(wv)]
0.344055 1.07725 	[Smith(wv)],[L-R defense/1.5(fwv)]
0.34407 1.05182 	[Smith(wv)],[Sinkhorn(0.001, +0)(w/tv)]
0.344083 1.08548 	L-R defense/2.25(w/tv)
0.344126 1.0772 	[Smith(wv)],[L-R defense/2(wv)]
0.344169 1.0774 	[Smith(wv)],[L-R defense/1.75(wv)]
0.344259 1.07702 	[Smith(wv)],[L-R defense/1.25(fwv)]
0.344287 1.0773 	[Smith(wv)],[L-R defense/2(fwv)]
0.344379 1.11583 	[Smith(wv)],[L-R defense/0.75(PO)]
0.344394 1.04504 	[Smith(wv)],[Keener(0.001, +0, raw)(w/tv)]
0.344459 1.07692 	[Smith(wv)],[L-R defense/2.25(fwv)]
0.344663 1.10387 	L-R defense/2(keener)
0.344853 1.13201 	L-R both/0.75(rel-margins)
0.344898 1.08106 	[Smith(wv)],[L-R defense/0.25(rel-margins)]
0.345088 1.11569 	[Smith(wv)],[L-R offense/1.25(PO)]
0.345095 1.05206 	[Smith(wv)],[Keener(0.001, +1, raw)(w/tv)]
0.345441 1.15672 	L-R offense/2.25(PO)
0.345471 1.05158 	Keener(0.001, +1, raw)(w/tv)
0.345523 1.11317 	[Smith(wv)],[L-R both/1.25(PO)]
0.345534 1.11336 	[Smith(wv)],[L-R both/1.75(PO)]
0.345585 1.1134 	[Smith(wv)],[L-R both/1.5(PO)]
0.345837 1.16385 	ODM-arctan(0.001)(rel-margins)
0.345849 1.11765 	[Smith(wv)],[Cardinal-10(norm)]
0.34594 1.0782 	L-R defense/1.5(fwv)
0.345974 1.08201 	L-R defense/0.25(rel-margins)
0.34614 1.07704 	L-R defense/1.5(wv)
0.346222 1.06836 	ODM(0.001)(rel-margins)
0.346997 1.11293 	[Smith(wv)],[ODM-arctan(0.001)(PO)]
0.347198 1.10078 	Keener(0.001, +0, raw)(keener)
0.347249 0.938763 	[Smith(wv)],[VMedianOS-10()]
0.347259 1.10385 	L-R defense/2.25(keener)
0.347426 1.11281 	[Smith(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.347482 1.15456 	L-R offense/2(PO)
0.347524 1.11293 	[Smith(wv)],[Keener(0.001, +0, norm)(rel-margins)]
0.347717 0.938492 	[Smith(wv)],[VMedianOS-10(norm)]
0.347915 1.11276 	[Smith(wv)],[L-R both/1(PO)]
0.348028 1.11266 	[Smith(wv)],[L-R offense/1(PO)]
0.348108 1.11284 	[Smith(wv)],[L-R defense/1(PO)]
0.348117 1.11271 	[Smith(wv)],[Borda]
0.3482 1.0786 	L-R defense/1.75(fwv)
0.34831 1.11324 	[Smith(wv)],[L-R both/2(PO)]
0.348407 1.15112 	L-R offense/1.75(PO)
0.348523 1.15308 	HITS(0.001)(PO)
0.348655 0.866495 	[Smith(wv)],[Maximin(tourn-wv)]
0.348906 1.11389 	[Smith(wv)],[L-R both/1(rel-margins)]
0.348951 1.0784 	L-R defense/1.75(wv)
0.349039 1.11311 	[Smith(wv)],[Cardinal-10]
0.349304 1.115 	[Smith(wv)],[Sinkhorn(0.001, +0)(PO)]
0.349604 1.11481 	[Smith(wv)],[ODM(0.001)(PO)]
0.349645 1.11522 	[Smith(wv)],[Sinkhorn(0.001, +1)(PO)]
0.349711 1.10982 	[Smith(wv)],[Keener(0.001, +0, raw)(PO)]
0.34972 1.11491 	[Smith(wv)],[L-R both/0.75(PO)]
0.349759 0.861949 	[Smith(wv)],[Dodgson-Quick(keener)]
0.349852 1.11514 	[Smith(wv)],[L-R both/0.25(PO)]
0.350011 1.11007 	[Smith(wv)],[Keener(0.001, +1, raw)(PO)]
0.350139 1.11495 	[Smith(wv)],[L-R both/2.25(PO)]
0.35018 1.15034 	L-R offense/1.5(PO)
0.350189 0.861597 	[Smith(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.350318 1.11457 	[Smith(wv)],[L-R both/0.5(PO)]
0.350342 1.11287 	[Smith(wv)],[L-R defense/1.25(PO)]
0.350351 1.16192 	L-R defense/0.25(PO)
0.350364 1.11274 	[Smith(wv)],[L-R defense/1.5(PO)]
0.350405 1.11273 	[Smith(wv)],[L-R offense/0.75(PO)]
0.350406 1.11284 	[Smith(wv)],[L-R offense/0.5(PO)]
0.350701 1.07763 	L-R defense/2(fwv)
0.350709 0.861632 	[Smith(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.350711 0.862065 	[Smith(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.350792 1.10918 	[Smith(wv)],[L-R defense/2.25(PO)]
0.350849 1.10933 	[Smith(wv)],[L-R defense/2(PO)]
0.351103 0.862046 	[Smith(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.351186 1.07852 	L-R defense/2(wv)
0.351246 0.863501 	[Smith(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.351248 0.862864 	[Smith(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.351434 1.14607 	NREM-Opt
0.351458 1.15365 	Cardinal-10
0.351489 0.918974 	Gradual-[Smith(wv)](None, cardinal)
0.351606 1.11167 	[Smith(wv)],[L-R defense/1.75(PO)]
0.351728 1.11096 	[Smith(wv)],[L-R offense/0.25(PO)]
0.35193 1.08651 	[Smith(wv)],[L-R defense/0.5(rel-margins)]
0.352047 1.15706 	L-R defense/0.5(PO)
0.352227 1.10434 	[Smith(wv)],[NREM-Opt]
0.352709 0.887434 	[Smith(wv)],[Gradual-[Condorcet](None, ordinal)]
0.352781 1.10638 	[Smith(wv)],[Dodgson-Quick(PO)]
0.352965 1.07832 	L-R defense/2.25(wv)
0.353101 1.07833 	L-R defense/2.25(fwv)
0.35322 1.15141 	L-R defense/0.75(PO)
0.35326 1.14828 	L-R offense/1.25(PO)
0.353359 1.11719 	[Smith(wv)],[L-R both/1.25(rel-margins)]
0.353575 1.14324 	Sinkhorn(0.001, +1)(rel-margins)
0.353776 1.16009 	Cardinal-10(norm)
0.354066 1.24572 	Keener(0.001, +0, norm)(PO)
0.354606 1.24321 	Keener(0.001, +1, norm)(PO)
0.354608 0.872506 	[Smith(wv)],[Minmax(tourn-wv)]
0.35501 1.14547 	L-R both/1.25(PO)
0.355345 0.919354 	[Smith(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.355416 1.14545 	L-R both/1.75(PO)
0.355631 1.14554 	L-R both/1.5(PO)
0.356198 1.02092 	Gradual-[Landau(wv)](None, cardinal)
0.356528 1.14712 	ODM-arctan(0.001)(PO)
0.356835 1.02123 	[Smith(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.356875 1.099 	[Smith(wv)],[AVGEliminate-[Borda]/fd]
0.357163 1.1464 	Keener(0.001, +1, norm)(rel-margins)
0.357488 0.88804 	[Smith(wv)],[Gradual-[Condorcet](None, cardinal)]
0.357594 1.14627 	Keener(0.001, +0, norm)(rel-margins)
0.358141 1.14831 	L-R both/1(rel-margins)
0.35865 1.14718 	L-R defense/1(PO)
0.358785 1.14758 	L-R both/1(PO)
0.35881 1.14701 	Borda
0.359162 1.14726 	L-R offense/1(PO)
0.359169 1.14696 	L-R both/2(PO)
0.359341 1.11785 	[Smith(wv)],[L-R both/1.5(rel-margins)]
0.360198 1.15082 	L-R both/0.75(PO)
0.360354 1.02721 	Gradual-[Landau(wv)](None, ordinal)
0.360996 1.15221 	L-R both/0.5(PO)
0.361385 0.922492 	[Smith(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.361485 0.922725 	Gradual-[Smith(wv)](None, ordinal)
0.361531 1.02638 	[Smith(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.361575 1.15031 	L-R both/2.25(PO)
0.361583 1.09188 	[Smith(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.361807 1.1455 	L-R defense/1.25(PO)
0.361845 1.15135 	Sinkhorn(0.001, +1)(PO)
0.362113 1.15105 	Sinkhorn(0.001, +0)(PO)
0.362306 1.15475 	L-R both/0.25(PO)
0.362537 1.14665 	L-R offense/0.75(PO)
0.36255 1.14562 	L-R defense/1.5(PO)
0.363063 1.15118 	ODM(0.001)(PO)
0.363667 1.1472 	Dodgson-Quick(PO)
0.3642 1.14409 	Keener(0.001, +1, raw)(PO)
0.364283 1.14203 	L-R defense/1.75(PO)
0.3644 1.14373 	Keener(0.001, +0, raw)(PO)
0.364464 1.09509 	L-R defense/0.5(rel-margins)
0.365612 1.14069 	L-R defense/2(PO)
0.365736 1.10825 	[Smith(wv)],[ODM-arctan(0.001)(rel-margins)]
0.365781 1.14571 	L-R offense/0.5(PO)
0.36595 1.10265 	[Smith(wv)],[Eurovision]
0.366032 1.15886 	L-R both/1.25(rel-margins)
0.36621 1.08991 	[Smith(wv)],[L-R defense/0.75(rel-margins)]
0.366322 1.11868 	[Smith(wv)],[L-R both/1.75(rel-margins)]
0.366937 1.14687 	L-R offense/0.25(PO)
0.36853 1.14301 	L-R defense/2.25(PO)
0.370256 1.11691 	[Smith(wv)],[L-R both/2(rel-margins)]
0.37053 1.0917 	[Smith(wv)],[AVGEliminate-[Eurovision]/fd]
0.371013 1.08774 	[Smith(wv)],[L-R defense/1(rel-margins)]
0.372481 1.13058 	AVGEliminate-[Borda]/fd
0.372684 1.07815 	[Smith(wv)],[Eliminate-[NREM-Opt]/fd]
0.373941 1.17218 	L-R both/1.5(rel-margins)
0.374308 1.0826 	[Smith(wv)],[Eliminate-[Borda]/fd]
0.375871 1.09008 	[Smith(wv)],[L-R defense/1.25(rel-margins)]
0.379753 1.12445 	AVGEliminate-[NREM-Opt]/fd
0.380048 1.18323 	L-R both/1.75(rel-margins)
0.380452 1.11465 	[Smith(wv)],[L-R both/2.25(rel-margins)]
0.380621 1.08929 	[Smith(wv)],[L-R defense/1.5(rel-margins)]
0.380804 0.787305 	Gradual-[Condorcet](None, cardinal)
0.383659 1.14999 	Eurovision
0.384182 1.07989 	[Smith(wv)],[Eliminate-[Eurovision]/fd]
0.384734 1.08689 	[Smith(wv)],[L-R defense/1.75(rel-margins)]
0.384979 1.18976 	L-R both/2(rel-margins)
0.385616 1.11292 	L-R defense/0.75(rel-margins)
0.386816 1.00998 	[Smith(wv)],[Eliminate-[VoteForAgainst]/fd]
0.388401 1.08688 	[Smith(wv)],[L-R defense/2(rel-margins)]
0.388752 1.07382 	[Smith(wv)],[Baseball MVP]
0.388893 0.936295 	[Smith(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.389993 0.933083 	[Smith(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.390049 0.755912 	Gradual-[Condorcet](None, ordinal)
0.390987 1.01356 	[Smith(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.392166 1.08587 	[Smith(wv)],[L-R defense/2.25(rel-margins)]
0.395565 1.20104 	L-R both/2.25(rel-margins)
0.395793 1.00037 	[Smith(wv)],[VoteForAgainst]
0.396159 1.13348 	AVGEliminate-[Eurovision]/fd
0.397268 1.06817 	[Smith(wv)],[AVGEliminate-[Baseball MVP]/fd]
0.397964 1.12283 	Eliminate-[Borda]/fd
0.398361 1.05279 	[Smith(wv)],[Eliminate-[Heisman Trophy]/fd]
0.398846 1.11635 	Eliminate-[NREM-Opt]/fd
0.400939 1.12607 	L-R defense/1(rel-margins)
0.402668 1.05519 	[Smith(wv)],[Eliminate-[Baseball MVP]/fd]
0.409347 1.03916 	[Smith(wv)],[Eliminate-[Nauru Borda]/fd]
0.411146 1.13415 	L-R defense/1.25(rel-margins)
0.414724 1.0819 	[Smith(wv)],[Ext-Minmax(keener)]
0.414762 1.07992 	[Smith(wv)],[Ext-Minmax(fwv)]
0.414925 1.07932 	[Smith(wv)],[Ext-Minmax(w/tv)]
0.415243 1.08251 	[Smith(wv)],[Ext-Minmax(PO)]
0.415268 1.08013 	[Smith(wv)],[Ext-Minmax(rel-margins)]
0.415498 1.08111 	[Smith(wv)],[Ext-Minmax(wv)]
0.415708 1.03941 	[Smith(wv)],[AVGEliminate-[Heisman Trophy]/fd]
0.417087 1.02629 	[Smith(wv)],[Heisman Trophy]
0.417328 1.03684 	[Smith(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.418053 1.16864 	Baseball MVP
0.4182 1.12631 	Eliminate-[Eurovision]/fd
0.420135 1.0303 	[Smith(wv)],[Nauru Borda]
0.421402 1.13899 	L-R defense/1.5(rel-margins)
0.425235 0.943273 	[Smith(wv)],[Random Pair]
0.42705 1.03224 	[Smith(wv)],[Eliminate-[Dabagh]/fd]
0.428723 1.06514 	[Smith(wv)],[Young(sym-completion,linear)]
0.428884 1.06495 	[Smith(wv)],[Young(wv,linear)]
0.429292 1.06617 	[Smith(wv)],[Minmax(PO)]
0.429326 1.06621 	[Smith(wv)],[Minmax(rel-margins)]
0.429449 1.0668 	[Smith(wv)],[Minmax(w/tv)]
0.42957 1.0659 	[Smith(wv)],[Maximin(keener)]
0.429632 1.0663 	[Smith(wv)],[Minmax(wv)]
0.429669 1.06666 	[Smith(wv)],[Maximin(PO)]
0.429679 1.0657 	[Smith(wv)],[Minmax(fwv)]
0.429816 1.06671 	[Smith(wv)],[Minmax(keener)]
0.429891 1.14441 	L-R defense/1.75(rel-margins)
0.432139 1.17868 	AVGEliminate-[Baseball MVP]/fd
0.432422 1.00711 	[Smith(wv)],[Dabagh]
0.434059 1.02847 	[Smith(wv)],[AVGEliminate-[Dabagh]/fd]
0.441349 1.14582 	L-R defense/2(rel-margins)
0.443006 0.585559 	Minmax(tourn-wv)
0.443572 0.980571 	[Smith(wv)],[Plurality]
0.446729 1.14583 	L-R defense/2.25(rel-margins)
0.448408 0.998617 	[Smith(wv)],[AVGEliminate-[Plurality]/fd]
0.448687 0.991159 	[Smith(wv)],[Eliminate-[Plurality]/fd]
0.450151 0.859807 	VMedianOS-10(norm)
0.460207 0.871486 	VMedianOS-10()
0.46917 1.0491 	Eliminate-[VoteForAgainst]/fd
0.470057 1.11664 	Eliminate-[Heisman Trophy]/fd
0.473162 0.596485 	Maximin(tourn-wv)
0.474891 1.18779 	Eliminate-[Nauru Borda]/fd
0.476759 1.12271 	Eliminate-[Baseball MVP]/fd
0.482893 0.472878 	Gradual-[CDTT(wv)](None, ordinal)
0.484709 0.469427 	Gradual-[CDTT(wv)](None, cardinal)
0.485422 0.47223 	Gradual-[MDD(direct)(wv)](None, cardinal)
0.485819 0.474842 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.486722 1.16574 	Ext-Minmax(keener)
0.486722 1.16574 	Ext-Minmax(PO)
0.487492 1.16447 	Ext-Minmax(fwv)
0.487572 1.16429 	Ext-Minmax(wv)
0.487761 0.471683 	Gradual-[CGTT(wv)](None, cardinal)
0.48801 1.16431 	Ext-Minmax(rel-margins)
0.488404 0.467724 	Dodgson-Quick(keener)
0.488583 1.16299 	Ext-Minmax(w/tv)
0.488974 0.473621 	Gradual-[CGTT(wv)](None, ordinal)
0.490324 1.0585 	AVGEliminate-[VoteForAgainst]/fd
0.494754 0.967945 	Eliminate-[Antiplurality]/fd
0.511698 1.09055 	AVGEliminate-[Heisman Trophy]/fd
0.512138 1.15019 	Young(sym-completion,linear)
0.512592 1.15008 	Young(wv,linear)
0.512881 1.15173 	Minmax(w/tv)
0.513347 1.1519 	Minmax(rel-margins)
0.513602 1.15192 	Maximin(PO)
0.513733 1.15282 	Minmax(fwv)
0.514065 1.15155 	Minmax(wv)
0.5141 1.15055 	Minmax(keener)
0.514137 1.15269 	Minmax(PO)
0.514775 1.15164 	Maximin(keener)
0.517528 0.754317 	Gradual-[SDom(wv)](None, ordinal)
0.524968 1.0953 	AVGEliminate-[Nauru Borda]/fd
0.543267 0.792724 	River(PO)
0.546591 0.793101 	River(keener)
0.549037 0.792343 	River(w/tv)
0.549815 0.79889 	River(wv)
0.550216 0.799038 	River(fwv)
0.550559 0.798534 	River(rel-margins)
0.552224 1.04973 	VoteForAgainst
0.555193 1.0932 	Nauru Borda
0.556579 1.10895 	Eliminate-[Dabagh]/fd
0.564547 1.11481 	Heisman Trophy
0.59037 1.12827 	AVGEliminate-[Dabagh]/fd
0.596525 0.92658 	Keener(0.001, +0, raw)(wv)
0.621312 0.878105 	Gradual-[SDom(wv)](None, cardinal)
0.63598 1.10294 	Dabagh
0.682083 1.10783 	AVGEliminate-[Plurality]/fd
0.715344 1.02626 	Plurality
0.726867 0.758148 	Maximin(w/tv)
0.759832 0.767108 	Maximin(fwv)
0.760438 0.767535 	Maximin(rel-margins)
0.760838 0.766438 	Maximin(wv)
0.816576 1.06839 	Keener(0.001, +0, norm)(wv)
0.816671 1.09081 	Keener(0.001, +0, norm)(w/tv)
0.817775 1.09755 	Keener(0.001, +1, norm)(w/tv)
0.820567 1.0723 	Keener(0.001, +1, norm)(wv)
0.837288 0 	Worst Borda
0.894028 0.041564 	AVGEliminate-[Worst Borda]/fd
0.904441 0.325591 	Reward worst
0.928702 0.0705297 	Eliminate-[Worst Borda]/fd
0.989394 0.377139 	Eliminate-[Reward worst]/fd
1 0.391074 	AVGEliminate-[Reward worst]/fd
