0 0.920973 	Random Pair
0.293505 1.06227 	Keener(0.001, +1, raw)(wv)
0.2936 1.0622 	[Smith(wv)],[Keener(0.001, +1, raw)(wv)]
0.293756 0.922315 	[Smith(wv)],[River(fwv)]
0.293903 0.922838 	[Smith(wv)],[River(wv)]
0.294372 1.13227 	[Smith(wv)],[L-R offense/1(rel-margins)]
0.294407 1.10223 	[Smith(wv)],[HITS(0.001)(wv)]
0.294987 1.10224 	[Smith(wv)],[HITS(0.001)(fwv)]
0.29508 1.03883 	Gradual-[2. order Copeland](None, cardinal)
0.296364 1.11243 	L-R offense/2.25(wv)
0.296476 1.11175 	L-R offense/2.25(fwv)
0.296735 1.13285 	[Smith(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.296869 1.07915 	Keener(0.001, +1, raw)(fwv)
0.296929 1.10814 	L-R offense/2(wv)
0.297089 1.0789 	[Smith(wv)],[Keener(0.001, +1, raw)(fwv)]
0.297436 1.05062 	[Smith(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.297553 1.10769 	L-R offense/2(fwv)
0.298025 1.10523 	L-R offense/1.75(wv)
0.298466 1.05943 	Keener(0.001, +1, raw)(tourn-wv)
0.298563 1.10442 	L-R offense/1.75(fwv)
0.298617 1.04805 	[Smith(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.298691 1.07189 	[Smith(wv)],[ODM(0.001)(tourn-wv)]
0.298842 1.05918 	[Smith(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.298938 1.07237 	ODM(0.001)(tourn-wv)
0.299474 1.12505 	[Smith(wv)],[L-R offense/0.75(rel-margins)]
0.29958 1.10987 	HITS(0.001)(w/tv)
0.299645 1.09769 	L-R offense/1.5(fwv)
0.299712 1.09771 	L-R offense/1.5(wv)
0.299907 1.07786 	[Smith(wv)],[ODM(0.001)(wv)]
0.299908 1.08421 	[Smith(wv)],[Gradual-[Copeland](None, cardinal)]
0.299937 1.08443 	Gradual-[Copeland](None, cardinal)
0.300202 1.09433 	[Smith(wv)],[L-R offense/2.25(wv)]
0.30021 1.0945 	[Smith(wv)],[L-R offense/2.25(fwv)]
0.30026 1.08459 	Gradual-[Copeland](None, ordinal)
0.30043 1.09409 	[Smith(wv)],[L-R offense/2(fwv)]
0.300466 1.07791 	ODM(0.001)(wv)
0.300469 1.09431 	[Smith(wv)],[L-R offense/2(wv)]
0.30049 1.08443 	[Smith(wv)],[Gradual-[Copeland](None, ordinal)]
0.300512 1.09422 	[Smith(wv)],[L-R offense/1.75(wv)]
0.300666 1.17166 	L-R offense/1(rel-margins)
0.300761 1.09534 	L-R offense/1.25(wv)
0.301154 1.09528 	L-R offense/1.25(fwv)
0.301201 1.09247 	[Smith(wv)],[L-R offense/1.5(fwv)]
0.301203 1.10209 	[Smith(wv)],[HITS(0.001)(w/tv)]
0.301244 1.09249 	[Smith(wv)],[L-R offense/1.25(wv)]
0.301249 1.09252 	[Smith(wv)],[L-R offense/1.5(wv)]
0.301251 1.0925 	[Smith(wv)],[L-R offense/1.25(fwv)]
0.301264 1.09382 	[Smith(wv)],[L-R offense/1.75(fwv)]
0.301669 1.20095 	L-R offense/1.5(rel-margins)
0.301715 1.09186 	L-R offense/1(fwv)
0.301957 1.09191 	L-R offense/1(wv)
0.302155 1.0908 	L-R offense/0.75(wv)
0.302202 1.0907 	[Smith(wv)],[L-R offense/0.75(wv)]
0.302234 1.09084 	L-R offense/0.75(fwv)
0.302254 1.09074 	L-R offense/0.5(wv)
0.302266 1.18834 	L-R offense/1.25(rel-margins)
0.302268 1.09086 	[Smith(wv)],[L-R offense/1(wv)]
0.302271 1.09077 	[Smith(wv)],[L-R offense/0.25(fwv)]
0.302307 1.09057 	L-R offense/0.25(fwv)
0.302356 1.09061 	L-R offense/0.5(fwv)
0.302365 1.09078 	[Smith(wv)],[L-R offense/0.25(wv)]
0.302371 1.09075 	[Smith(wv)],[L-R offense/0.5(fwv)]
0.302403 1.09081 	[Smith(wv)],[L-R offense/0.75(fwv)]
0.302445 1.09066 	[Smith(wv)],[L-R offense/0.5(wv)]
0.302464 1.09089 	[Smith(wv)],[L-R offense/1(fwv)]
0.3025 1.09078 	L-R offense/0.25(wv)
0.302523 1.16725 	Keener(0.001, +1, raw)(rel-margins)
0.302732 1.09439 	[Smith(wv)],[L-R offense/0.25(rel-margins)]
0.302901 1.2131 	L-R offense/1.75(rel-margins)
0.303165 1.07669 	ODM(0.001)(fwv)
0.303203 1.07759 	[Smith(wv)],[ODM(0.001)(fwv)]
0.30327 1.09837 	L-R offense/0.25(rel-margins)
0.303331 1.11593 	L-R offense/2.25(w/tv)
0.303588 1.04229 	[Smith(wv)],[2. order Copeland]
0.30377 1.04184 	[Smith(wv)],[2. order Copeland]
0.303787 1.04245 	[Smith(wv)],[2. order Copeland]
0.303882 1.04212 	[Smith(wv)],[2. order Copeland]
0.304 1.22402 	L-R offense/2(rel-margins)
0.304071 1.04242 	[Smith(wv)],[2. order Copeland]
0.304184 1.04228 	[Smith(wv)],[2. order Copeland]
0.304247 1.11159 	L-R offense/2(w/tv)
0.304263 1.04234 	[Smith(wv)],[2. order Copeland]
0.304295 1.15388 	L-R offense/0.75(rel-margins)
0.304617 1.11245 	[Smith(wv)],[L-R offense/0.5(rel-margins)]
0.304766 1.12883 	L-R offense/0.5(rel-margins)
0.304918 1.0665 	[Smith(wv)],[ODM-arctan(0.001)(tourn-wv)]
