0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.41882 0.432203 0.0303601	[Schwartz(wv)],[Minmax(rel-margins)]
0.418851 0.447962 0.032194	[MDD(sum)(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.418903 0.415997 0.0293295	[MDD(sum)(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.418923 0.4318 0.0303601	[Schwartz(wv)],[Minmax(PO)]
0.419039 0.432281 0.0303601	[Schwartz(wv)],[Minmax(wv)]
0.419131 0.431794 0.0296863	[SDom(wv)],[Schulze(fwv)]
0.41917 0.423595 0.0282904	[MDD(sum)(wv)],[Ranked Pairs(wv)]
0.419389 0.423077 0.0282904	[MDD(sum)(wv)],[Ranked Pairs(fwv)]
0.419449 0.432229 0.0296863	[Schwartz(wv)],[Schulze(wv)]
0.419464 0.431999 0.0296863	[SDom(wv)],[Schulze(rel-margins)]
0.419467 0.431976 0.0296863	[Schwartz(wv)],[Schulze(rel-margins)]
0.419495 0.432101 0.0296863	[SDom(wv)],[Schulze(wv)]
0.419581 0.432154 0.0296863	Schulze(wv)
0.419599 0.431802 0.0296863	Schulze(PO)
0.419625 0.431556 0.0296863	Schulze(fwv)
0.419688 0.431892 0.0296863	[Schwartz(wv)],[Schulze(fwv)]
0.419744 0.431616 0.0296863	[Schwartz(wv)],[Schulze(PO)]
0.419784 0.432178 0.0296863	[SDom(wv)],[Schulze(PO)]
0.419805 0.432085 0.0296863	Schulze(rel-margins)
0.419943 0.42286 0.0279882	[MDD(sum)(wv)],[Ranked Pairs(PO)]
0.420035 0.437559 0.0300896	[MDD(sum)(wv)],[AVGEliminate-[Borda]/fd]
0.420272 0.417351 0.0282927	[Schwartz(wv)],[ODM-arctan(0.001)(fwv)]
0.42035 0.416959 0.0282927	[MDD(sum)(wv)],[ODM-arctan(0.001)(fwv)]
0.420544 0.417146 0.0282927	ODM-arctan(0.001)(fwv)
0.420566 0.417162 0.0282927	[SDom(wv)],[ODM-arctan(0.001)(fwv)]
0.420657 0.405684 0.0303675	[MDD(sum)(wv)],[Antiplurality]
0.423541 0.462185 0.038664	[Schwartz(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.423665 0.462714 0.038664	Sinkhorn(0.001, +1)(tourn-wv)
0.423692 0.462399 0.038664	[SDom(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.423726 0.462992 0.038664	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.424984 0.46492 0.0388006	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.425116 0.462452 0.0379668	ODM(0.001)(tourn-wv)
0.425156 0.462464 0.0379668	[SDom(wv)],[ODM(0.001)(tourn-wv)]
0.425201 0.464755 0.0388006	Keener(0.001, +1, raw)(tourn-wv)
0.42533 0.464642 0.0388006	[Schwartz(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.425421 0.462916 0.0379668	[Schwartz(wv)],[ODM(0.001)(tourn-wv)]
0.425474 0.464973 0.0388006	[SDom(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.425606 0.462217 0.0379668	[MDD(sum)(wv)],[ODM(0.001)(tourn-wv)]
0.425865 0.330814 0.0143827	[SDom(wv)],[HITS(0.001)(wv)]
0.426062 0.331121 0.0143827	HITS(0.001)(fwv)
0.426154 0.330573 0.0143827	[SDom(wv)],[HITS(0.001)(fwv)]
0.426266 0.331171 0.0143827	HITS(0.001)(wv)
0.427951 0.402066 0.0228693	[MDD(sum)(wv)],[VMedianOS-10(norm, tiebreak)]
0.428004 0.465136 0.037927	Keener(0.001, +1, norm)(tourn-wv)
0.42803 0.46515 0.037927	[Schwartz(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.428102 0.465121 0.037927	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.428116 0.465141 0.037927	[SDom(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.431026 0.466947 0.0387347	ODM-arctan(0.001)(tourn-wv)
0.431064 0.466872 0.0387347	[Schwartz(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.4311 0.466885 0.0387347	[SDom(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.43117 0.467019 0.0387347	[MDD(sum)(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.432352 0.430822 0.0258498	L-R defense/1.75(rel-margins)
0.432385 0.430541 0.0258498	[SDom(wv)],[Ext-Minmax(fwv)]
0.43242 0.43064 0.0258498	[Schwartz(wv)],[L-R defense/1.5(rel-margins)]
0.432424 0.430779 0.0258498	Ext-Minmax(fwv)
