0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.452114 0.404011 0.0167132	[MDD(sum)(wv)],[L-R both/0.25(rel-margins)]
0.452143 0.391972 0.0142605	[Schwartz(wv)],[L-R both/1.25(PO)]
0.452341 0.391761 0.0142605	[Schwartz(wv)],[L-R both/1.75(PO)]
0.452721 0.400743 0.0156752	[Schwartz(wv)],[L-R both/0.5(rel-margins)]
0.452821 0.446374 0.0300361	[SDom(wv)],[Dodgson-Quick(wv)]
0.452855 0.446147 0.0300361	Dodgson-Quick(wv)
0.452894 0.446277 0.0300361	[MDD(sum)(wv)],[Dodgson-Quick(wv)]
0.452949 0.383735 0.0152365	[Schwartz(wv)],[L-R both/1.75(rel-margins)]
0.45296 0.446209 0.0300361	[Schwartz(wv)],[Dodgson-Quick(wv)]
0.453624 0.401715 0.01613	[MDD(sum)(wv)],[L-R defense/2.25(PO)]
0.453787 0.402644 0.0162744	[MDD(sum)(wv)],[L-R both/0.5(rel-margins)]
0.453807 0.40136 0.016089	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(PO)]
0.453936 0.401578 0.0160972	[MDD(sum)(wv)],[L-R defense/1.75(PO)]
0.453939 0.401926 0.0160996	[MDD(sum)(wv)],[L-R defense/2(PO)]
0.453962 0.401678 0.0160918	[MDD(sum)(wv)],[L-R defense/1.5(PO)]
0.4543 0.391396 0.0142621	[Schwartz(wv)],[L-R both/1(PO)]
0.454301 0.391418 0.0142621	[Schwartz(wv)],[L-R offense/1(PO)]
0.454307 0.39139 0.0142621	[Schwartz(wv)],[L-R defense/1(PO)]
0.45432 0.391343 0.0142621	[Schwartz(wv)],[L-R both/2(PO)]
0.454348 0.401353 0.0161132	[MDD(sum)(wv)],[L-R offense/0.25(PO)]
0.454389 0.391463 0.0142621	[Schwartz(wv)],[Borda]
0.454562 0.40097 0.0161109	[MDD(sum)(wv)],[L-R offense/0.5(PO)]
0.454646 0.400415 0.0161042	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.454715 0.40117 0.0161101	[MDD(sum)(wv)],[L-R defense/1.25(PO)]
0.454777 0.40043 0.0161218	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.454919 0.401706 0.0161081	[MDD(sum)(wv)],[L-R both/0.75(rel-margins)]
0.454972 0.401027 0.0161195	[MDD(sum)(wv)],[L-R offense/0.75(PO)]
0.455066 0.400901 0.0161093	[MDD(sum)(wv)],[L-R both/0.25(fwv)]
0.455073 0.400869 0.0161093	L-R both/0.25(fwv)
0.455102 0.400898 0.0161093	[SDom(wv)],[L-R both/0.25(fwv)]
0.455109 0.400852 0.0161093	[Schwartz(wv)],[L-R both/0.25(fwv)]
0.45511 0.315447 0.00245854	L-R defense/2.25(PO)
0.455177 0.400189 0.0161148	[Schwartz(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.455193 0.3154 0.00245854	[SDom(wv)],[L-R defense/2.25(PO)]
0.455219 0.40026 0.0161148	[SDom(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.455232 0.400251 0.0161148	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.455267 0.400329 0.0161148	Sinkhorn(0.001, +1)(fwv)
0.455468 0.401237 0.0161195	[Schwartz(wv)],[L-R both/0.5(fwv)]
0.455475 0.401196 0.0161179	[MDD(sum)(wv)],[L-R both/0.75(wv)]
0.455476 0.401175 0.0161179	[Schwartz(wv)],[L-R both/0.75(wv)]
0.455479 0.40109 0.0161195	[MDD(sum)(wv)],[L-R both/0.5(fwv)]
0.455497 0.390648 0.0142637	[Schwartz(wv)],[L-R both/1(rel-margins)]
0.455497 0.401165 0.0161179	[SDom(wv)],[L-R both/0.5(wv)]
0.455508 0.401175 0.0161195	[SDom(wv)],[L-R both/0.5(fwv)]
0.455537 0.401068 0.0161195	L-R both/0.5(fwv)
0.45554 0.40112 0.0161179	L-R both/0.75(wv)
0.455548 0.401127 0.0161179	[MDD(sum)(wv)],[L-R both/0.5(wv)]
0.455552 0.401319 0.0161109	[MDD(sum)(wv)],[L-R both/0.25(wv)]
0.455558 0.401187 0.0161109	L-R both/0.25(wv)
0.455566 0.385573 0.0147649	[Schwartz(wv)],[L-R both/1.5(rel-margins)]
0.455572 0.401256 0.0161109	[Schwartz(wv)],[L-R both/0.25(wv)]
0.455576 0.401197 0.0161179	[Schwartz(wv)],[L-R both/0.5(wv)]
0.455576 0.401256 0.0161179	[SDom(wv)],[L-R both/0.75(wv)]
0.455585 0.401159 0.0161179	L-R both/0.5(wv)
0.455588 0.401133 0.0161109	[SDom(wv)],[L-R both/0.25(wv)]
0.4556 0.401254 0.0161195	[MDD(sum)(wv)],[L-R both/0.75(fwv)]
0.455643 0.401221 0.0161195	[Schwartz(wv)],[L-R both/0.75(fwv)]
0.455692 0.401087 0.0161195	L-R both/0.75(fwv)
0.455693 0.401066 0.0161195	[MDD(sum)(wv)],[L-R both/1.75(PO)]
0.455724 0.401181 0.0161195	[SDom(wv)],[L-R both/0.75(fwv)]
0.455758 0.400956 0.0161195	[MDD(sum)(wv)],[L-R both/1.5(PO)]
0.455764 0.401106 0.0161195	[MDD(sum)(wv)],[L-R both/1.25(PO)]
0.455826 0.400364 0.0161347	[MDD(sum)(wv)],[ODM-arctan(0.001)(PO)]
0.455945 0.401667 0.0162635	[SDom(wv)],[Keener(0.001, +1, norm)(fwv)]
0.455995 0.388236 0.0142672	[Schwartz(wv)],[ODM(0.001)(PO)]
0.456058 0.401545 0.0162635	Keener(0.001, +1, norm)(fwv)
0.456086 0.401807 0.0162635	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(fwv)]
0.456101 0.401641 0.0162635	[Schwartz(wv)],[Keener(0.001, +1, norm)(fwv)]
0.456134 0.287587 0.0030437	[SDom(wv)],[NREM-Opt]
0.456371 0.287548 0.0030437	NREM-Opt
0.456528 0.406094 0.0158267	[MDD(sum)(wv)],[Cardinal-10]
0.456544 0.388349 0.0142664	[Schwartz(wv)],[Sinkhorn(0.001, +1)(PO)]
0.456696 0.387693 0.0143179	[Schwartz(wv)],[L-R both/1.25(rel-margins)]
0.456846 0.388222 0.0142808	[Schwartz(wv)],[L-R both/0.25(PO)]
0.456873 0.388654 0.0142637	[Schwartz(wv)],[L-R both/0.5(PO)]
0.456905 0.388407 0.014266	[Schwartz(wv)],[HITS(0.001)(PO)]
0.456935 0.388663 0.0142637	[Schwartz(wv)],[L-R both/2.25(PO)]
0.45694 0.388535 0.0142637	[Schwartz(wv)],[L-R both/0.75(PO)]
0.457058 0.312423 0.00241716	L-R defense/2(PO)
0.457137 0.399918 0.0162713	[MDD(sum)(wv)],[NREM-Opt]
0.457505 0.312572 0.00241716	[SDom(wv)],[L-R defense/2(PO)]
0.457564 0.401555 0.0161273	L-R both/1(fwv)
0.457575 0.308258 0.00241989	[SDom(wv)],[L-R defense/1.75(PO)]
0.457641 0.401555 0.0161273	[SDom(wv)],[L-R both/1(fwv)]
0.457653 0.401565 0.0161273	[Schwartz(wv)],[L-R both/1(fwv)]
0.457698 0.401527 0.0161273	[MDD(sum)(wv)],[L-R both/1(fwv)]
0.457707 0.308181 0.00241989	L-R defense/1.75(PO)
0.457792 0.388886 0.0142582	[Schwartz(wv)],[L-R offense/1.5(PO)]
0.45797 0.459562 0.0374422	Ext-Minmin(tourn-wv)
0.45797 0.459562 0.0374422	L-R offense/2(tourn-wv)
0.45797 0.459562 0.0374422	[MDD(sum)(wv)],[L-R defense/1.75(tourn-wv)]
0.45797 0.459562 0.0374422	[MDD(sum)(wv)],[L-R offense/0.25(tourn-wv)]
0.45797 0.459562 0.0374422	[MDD(sum)(wv)],[L-R offense/2(tourn-wv)]
0.45797 0.459562 0.0374422	[Schwartz(wv)],[L-R offense/1.25(tourn-wv)]
0.45797 0.459562 0.0374422	[SDom(wv)],[L-R both/1.75(tourn-wv)]
0.45797 0.459562 0.0374422	[SDom(wv)],[L-R offense/0.5(tourn-wv)]
0.457971 0.459562 0.0374422	Ext-Minmax(tourn-wv)
0.457971 0.459562 0.0374422	[MDD(sum)(wv)],[L-R defense/1.5(tourn-wv)]
0.457971 0.459562 0.0374422	[SDom(wv)],[L-R both/2(tourn-wv)]
0.457971 0.459563 0.0374422	L-R defense/1(tourn-wv)
0.457971 0.459563 0.0374422	L-R offense/0.25(tourn-wv)
0.457971 0.459563 0.0374422	[MDD(sum)(wv)],[Copeland]
0.457971 0.459563 0.0374422	[MDD(sum)(wv)],[L-R both/0.75(tourn-wv)]
0.457971 0.459563 0.0374422	[MDD(sum)(wv)],[L-R both/1.25(tourn-wv)]
0.457971 0.459563 0.0374422	[MDD(sum)(wv)],[L-R defense/0.25(tourn-wv)]
0.457971 0.459563 0.0374422	[Schwartz(wv)],[Copeland]
0.457971 0.459563 0.0374422	[Schwartz(wv)],[L-R offense/0.25(tourn-wv)]
0.457971 0.459563 0.0374422	[SDom(wv)],[Dodgson-Quick(tourn-wv)]
0.457971 0.459563 0.0374422	[SDom(wv)],[L-R defense/0.5(tourn-wv)]
0.457971 0.459563 0.0374422	[SDom(wv)],[L-R defense/1.25(tourn-wv)]
0.457971 0.459563 0.0374422	[SDom(wv)],[L-R defense/2(tourn-wv)]
0.457972 0.459563 0.0374422	Dodgson-Quick(tourn-wv)
0.457972 0.459563 0.0374422	L-R defense/0.25(tourn-wv)
0.457972 0.459563 0.0374422	[Schwartz(wv)],[Dodgson-Quick(rel-margins)]
0.457972 0.459563 0.0374422	[Schwartz(wv)],[L-R offense/2.25(tourn-wv)]
0.457972 0.459564 0.0374422	Copeland
0.457972 0.459564 0.0374422	L-R offense/1.75(tourn-wv)
0.457972 0.459564 0.0374422	[MDD(sum)(wv)],[L-R defense/2.25(tourn-wv)]
0.457972 0.459564 0.0374422	[MDD(sum)(wv)],[L-R offense/1.25(tourn-wv)]
0.457972 0.459564 0.0374422	[MDD(sum)(wv)],[L-R offense/1(tourn-wv)]
0.457972 0.459564 0.0374422	[MDD(sum)(wv)],[L-R offense/2.25(tourn-wv)]
0.457972 0.459564 0.0374422	[Schwartz(wv)],[L-R both/1.75(tourn-wv)]
0.457972 0.459564 0.0374422	[SDom(wv)],[Copeland]
0.457972 0.459564 0.0374422	[SDom(wv)],[Copeland]
0.457972 0.459564 0.0374422	[SDom(wv)],[L-R offense/2(tourn-wv)]
0.457973 0.459564 0.0374422	[Schwartz(wv)],[L-R both/0.75(tourn-wv)]
0.457973 0.459564 0.0374422	[SDom(wv)],[L-R defense/1(tourn-wv)]
0.457973 0.459565 0.0374422	Copeland
0.457973 0.459565 0.0374422	L-R both/2(tourn-wv)
0.457973 0.459565 0.0374422	[MDD(sum)(wv)],[Copeland]
0.457973 0.459565 0.0374422	[MDD(sum)(wv)],[Ext-Minmax(tourn-wv)]
0.457973 0.459565 0.0374422	[MDD(sum)(wv)],[L-R both/0.5(tourn-wv)]
0.457973 0.459565 0.0374422	[MDD(sum)(wv)],[Minmax(tourn-wv)]
0.457973 0.459565 0.0374422	[Schwartz(wv)],[Copeland]
0.457973 0.459565 0.0374422	[Schwartz(wv)],[Copeland]
0.457973 0.459565 0.0374422	[Schwartz(wv)],[Dodgson-Quick(fwv)]
0.457973 0.459565 0.0374422	[SDom(wv)],[L-R both/0.75(tourn-wv)]
0.457973 0.459565 0.0374422	[SDom(wv)],[L-R offense/0.25(tourn-wv)]
0.457974 0.388571 0.014266	[Schwartz(wv)],[L-R offense/1.25(PO)]
0.457974 0.459566 0.0374422	L-R offense/1(tourn-wv)
0.457974 0.459566 0.0374422	[MDD(sum)(wv)],[L-R both/0.25(tourn-wv)]
0.457974 0.459566 0.0374422	[MDD(sum)(wv)],[L-R offense/0.5(tourn-wv)]
0.457974 0.459566 0.0374422	[MDD(sum)(wv)],[L-R offense/1.5(tourn-wv)]
0.457974 0.459566 0.0374422	[Schwartz(wv)],[L-R both/2.25(tourn-wv)]
0.457974 0.459566 0.0374422	[Schwartz(wv)],[L-R defense/2(tourn-wv)]
0.457974 0.459566 0.0374422	[SDom(wv)],[Ext-Minmax(tourn-wv)]
0.457975 0.459567 0.0374422	L-R both/2.25(tourn-wv)
0.457975 0.459567 0.0374422	L-R defense/0.5(tourn-wv)
0.457975 0.459567 0.0374422	L-R defense/2(tourn-wv)
0.457975 0.459567 0.0374422	L-R offense/2.25(tourn-wv)
0.457975 0.459567 0.0374422	[MDD(sum)(wv)],[Dodgson-Quick(rel-margins)]
0.457975 0.459567 0.0374422	[MDD(sum)(wv)],[L-R both/1.75(tourn-wv)]
0.457975 0.459567 0.0374422	[MDD(sum)(wv)],[L-R defense/0.5(tourn-wv)]
0.457975 0.459567 0.0374422	[MDD(sum)(wv)],[L-R offense/1.75(tourn-wv)]
0.457975 0.459567 0.0374422	[MDD(sum)(wv)],[Schulze(tourn-wv)]
0.457975 0.459567 0.0374422	[Schwartz(wv)],[Dodgson-Quick(tourn-wv)]
0.457975 0.459567 0.0374422	[Schwartz(wv)],[L-R both/2(tourn-wv)]
0.457975 0.459567 0.0374422	[Schwartz(wv)],[L-R defense/1.25(tourn-wv)]
0.457975 0.459567 0.0374422	[SDom(wv)],[Copeland]
0.457975 0.459567 0.0374422	[SDom(wv)],[L-R defense/1.75(tourn-wv)]
0.457975 0.459567 0.0374422	[SDom(wv)],[L-R offense/2.25(tourn-wv)]
0.457975 0.459568 0.0374422	L-R both/0.75(tourn-wv)
0.457975 0.459568 0.0374422	[MDD(sum)(wv)],[L-R both/2.25(tourn-wv)]
0.457976 0.459568 0.0374422	Copeland
0.457976 0.459568 0.0374422	L-R offense/0.5(tourn-wv)
0.457976 0.459568 0.0374422	[MDD(sum)(wv)],[Dodgson-Quick(tourn-wv)]
0.457976 0.459568 0.0374422	[Schwartz(wv)],[L-R defense/0.75(tourn-wv)]
0.457976 0.459568 0.0374422	[Schwartz(wv)],[L-R offense/1.75(tourn-wv)]
0.457976 0.459569 0.0374422	L-R both/1.5(tourn-wv)
0.457976 0.459569 0.0374422	L-R defense/2.25(tourn-wv)
0.457976 0.459569 0.0374422	[MDD(sum)(wv)],[L-R defense/2(tourn-wv)]
0.457976 0.459569 0.0374422	[Schwartz(wv)],[L-R both/0.5(tourn-wv)]
0.457976 0.459569 0.0374422	[Schwartz(wv)],[L-R defense/1.75(tourn-wv)]
0.457976 0.459569 0.0374422	[SDom(wv)],[L-R both/1(tourn-wv)]
0.457977 0.459569 0.0374422	L-R both/0.5(tourn-wv)
0.457977 0.459569 0.0374422	L-R both/1.25(tourn-wv)
0.457977 0.459569 0.0374422	L-R defense/1.5(tourn-wv)
0.457977 0.459569 0.0374422	L-R defense/1.75(tourn-wv)
0.457977 0.459569 0.0374422	[MDD(sum)(wv)],[L-R defense/1.25(tourn-wv)]
0.457977 0.459569 0.0374422	[MDD(sum)(wv)],[L-R defense/1(tourn-wv)]
0.457977 0.459569 0.0374422	[Schwartz(wv)],[L-R both/1(tourn-wv)]
0.457977 0.459569 0.0374422	[Schwartz(wv)],[L-R offense/0.75(tourn-wv)]
0.457977 0.459569 0.0374422	[Schwartz(wv)],[L-R offense/2(tourn-wv)]
0.457977 0.459569 0.0374422	[SDom(wv)],[Dodgson-Quick(rel-margins)]
0.457977 0.459569 0.0374422	[SDom(wv)],[L-R offense/1.5(tourn-wv)]
0.457977 0.45957 0.0374422	L-R both/1(tourn-wv)
0.457977 0.45957 0.0374422	L-R offense/1.5(tourn-wv)
0.457977 0.45957 0.0374422	[Schwartz(wv)],[Ext-Minmax(tourn-wv)]
0.457977 0.45957 0.0374422	[Schwartz(wv)],[L-R offense/1(tourn-wv)]
0.457977 0.45957 0.0374422	[SDom(wv)],[Copeland]
0.457977 0.45957 0.0374422	[SDom(wv)],[L-R both/2.25(tourn-wv)]
0.457978 0.45957 0.0374422	Copeland
0.457978 0.45957 0.0374422	[MDD(sum)(wv)],[Dodgson-Quick(fwv)]
0.457978 0.45957 0.0374422	[MDD(sum)(wv)],[Ext-Minmin(tourn-wv)]
0.457978 0.45957 0.0374422	[Schwartz(wv)],[Copeland]
0.457978 0.45957 0.0374422	[SDom(wv)],[L-R defense/1.5(tourn-wv)]
0.457978 0.45957 0.0374422	[SDom(wv)],[L-R defense/2.25(tourn-wv)]
0.457978 0.45957 0.0374422	[SDom(wv)],[L-R offense/0.75(tourn-wv)]
0.457978 0.45957 0.0374422	[SDom(wv)],[L-R offense/1.25(tourn-wv)]
0.457978 0.459571 0.0374422	[MDD(sum)(wv)],[Copeland]
0.457978 0.459571 0.0374422	[MDD(sum)(wv)],[Copeland]
0.457978 0.459571 0.0374422	[Schwartz(wv)],[L-R both/1.25(tourn-wv)]
0.457978 0.459571 0.0374422	[Schwartz(wv)],[L-R defense/1(tourn-wv)]
0.457979 0.459571 0.0374422	Copeland
0.457979 0.459571 0.0374422	L-R both/1.75(tourn-wv)
0.457979 0.459571 0.0374422	L-R offense/1.25(tourn-wv)
0.457979 0.459571 0.0374422	[Schwartz(wv)],[Copeland]
0.457979 0.459571 0.0374422	[Schwartz(wv)],[Ext-Minmin(tourn-wv)]
0.457979 0.459571 0.0374422	[SDom(wv)],[L-R both/0.25(tourn-wv)]
0.457979 0.459571 0.0374422	[SDom(wv)],[L-R both/1.25(tourn-wv)]
0.457979 0.459571 0.0374422	[SDom(wv)],[L-R defense/0.75(tourn-wv)]
0.457979 0.459572 0.0374422	Dodgson-Quick(rel-margins)
0.457979 0.459572 0.0374422	[MDD(sum)(wv)],[Copeland]
0.457979 0.459572 0.0374422	[MDD(sum)(wv)],[L-R offense/0.75(tourn-wv)]
0.457979 0.459572 0.0374422	[Schwartz(wv)],[L-R defense/0.25(tourn-wv)]
0.457979 0.459572 0.0374422	[Schwartz(wv)],[L-R offense/1.5(tourn-wv)]
0.457979 0.459572 0.0374422	[SDom(wv)],[Copeland]
0.457979 0.459572 0.0374422	[SDom(wv)],[Ext-Minmin(tourn-wv)]
0.457979 0.459572 0.0374422	[SDom(wv)],[L-R both/0.5(tourn-wv)]
0.457979 0.459572 0.0374422	[SDom(wv)],[L-R offense/1.75(tourn-wv)]
0.45798 0.459572 0.0374422	[MDD(sum)(wv)],[L-R both/2(tourn-wv)]
0.45798 0.459572 0.0374422	[SDom(wv)],[Dodgson-Quick(fwv)]
0.45798 0.459573 0.0374422	L-R offense/0.75(tourn-wv)
0.45798 0.459573 0.0374422	[MDD(sum)(wv)],[L-R both/1(tourn-wv)]
0.45798 0.459573 0.0374422	[MDD(sum)(wv)],[L-R defense/0.75(tourn-wv)]
0.45798 0.459573 0.0374422	[Schwartz(wv)],[L-R both/0.25(tourn-wv)]
0.45798 0.459573 0.0374422	[Schwartz(wv)],[L-R defense/2.25(tourn-wv)]
0.45798 0.459573 0.0374422	[SDom(wv)],[L-R both/1.5(tourn-wv)]
0.45798 0.459573 0.0374422	[SDom(wv)],[L-R defense/0.25(tourn-wv)]
0.457981 0.459573 0.0374422	[MDD(sum)(wv)],[L-R both/1.5(tourn-wv)]
0.457981 0.459573 0.0374422	[Schwartz(wv)],[L-R offense/0.5(tourn-wv)]
0.457981 0.459573 0.0374422	[SDom(wv)],[L-R offense/1(tourn-wv)]
0.457981 0.459574 0.0374422	Dodgson-Quick(fwv)
0.457981 0.459574 0.0374422	L-R both/0.25(tourn-wv)
0.457981 0.459574 0.0374422	L-R defense/0.75(tourn-wv)
0.457981 0.459574 0.0374422	L-R defense/1.25(tourn-wv)
0.457981 0.459574 0.0374422	[Schwartz(wv)],[L-R both/1.5(tourn-wv)]
0.457981 0.459574 0.0374422	[Schwartz(wv)],[L-R defense/0.5(tourn-wv)]
0.457981 0.459574 0.0374422	[Schwartz(wv)],[L-R defense/1.5(tourn-wv)]
0.458041 0.405746 0.0162877	[MDD(sum)(wv)],[Cardinal-10(norm)]
0.458096 0.388698 0.0142637	[Schwartz(wv)],[L-R offense/1.75(PO)]
0.458195 0.402158 0.0161273	[MDD(sum)(wv)],[L-R both/2(PO)]
0.458208 0.402069 0.0161273	[MDD(sum)(wv)],[L-R offense/1(PO)]
0.45821 0.402003 0.0161273	[SDom(wv)],[L-R both/1(wv)]
0.458219 0.402061 0.0161273	[MDD(sum)(wv)],[Borda]
0.458226 0.402175 0.0161273	[MDD(sum)(wv)],[L-R both/1(wv)]
0.458228 0.40207 0.0161273	[Schwartz(wv)],[L-R both/1(wv)]
0.458242 0.401982 0.0161273	L-R both/1(wv)
0.458275 0.402127 0.0161273	[MDD(sum)(wv)],[L-R both/1(PO)]
0.458284 0.402014 0.0161273	[MDD(sum)(wv)],[L-R defense/1(PO)]
0.458294 0.388312 0.0142793	[Schwartz(wv)],[L-R defense/0.5(PO)]
0.458311 0.388506 0.0142621	[Schwartz(wv)],[L-R defense/0.75(PO)]
0.458361 0.388636 0.0142863	[Schwartz(wv)],[L-R offense/2(PO)]
0.458413 0.388629 0.0143004	[Schwartz(wv)],[L-R defense/0.25(PO)]
0.458449 0.388443 0.0143066	[Schwartz(wv)],[L-R offense/2.25(PO)]
0.458732 0.400629 0.0161292	[MDD(sum)(wv)],[L-R both/1(rel-margins)]
0.459364 0.301784 0.00230512	L-R defense/1.5(PO)
0.459498 0.30213 0.00230512	[SDom(wv)],[L-R defense/1.5(PO)]
0.459574 0.30603 0.00237305	[SDom(wv)],[Keener(0.001, +1, raw)(PO)]
0.459614 0.398926 0.0161238	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(PO)]
0.45962 0.306167 0.00237305	Keener(0.001, +1, raw)(PO)
0.45963 0.398839 0.0161238	[MDD(sum)(wv)],[ODM(0.001)(PO)]
0.459686 0.399263 0.0161382	[Schwartz(wv)],[L-R both/1.25(wv)]
0.459691 0.399206 0.0161195	[MDD(sum)(wv)],[L-R both/2.25(wv)]
0.459772 0.399188 0.0161382	[MDD(sum)(wv)],[L-R both/1.25(wv)]
0.459809 0.399087 0.0161339	[SDom(wv)],[L-R both/1.25(wv)]
0.459864 0.399182 0.0161339	L-R both/1.25(wv)
0.45987 0.399493 0.0161355	[MDD(sum)(wv)],[L-R both/2.25(PO)]
0.459871 0.398928 0.01613	[MDD(sum)(wv)],[L-R both/1.25(fwv)]
0.459886 0.398734 0.0161257	[SDom(wv)],[L-R both/1.25(fwv)]
0.459901 0.39964 0.016121	[MDD(sum)(wv)],[L-R both/0.75(PO)]
0.459931 0.39902 0.01613	[Schwartz(wv)],[L-R both/1.25(fwv)]
0.459941 0.398536 0.0161234	[MDD(sum)(wv)],[HITS(0.001)(PO)]
0.459972 0.398772 0.0161257	L-R both/1.25(fwv)
0.459977 0.399574 0.0161234	[MDD(sum)(wv)],[L-R both/0.25(PO)]
0.459988 0.398887 0.0161554	[Schwartz(wv)],[L-R both/2.25(wv)]
0.459992 0.399656 0.016121	[MDD(sum)(wv)],[L-R both/0.5(PO)]
0.459997 0.454858 0.0347822	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.460015 0.399269 0.0161222	[MDD(sum)(wv)],[L-R both/2(fwv)]
0.460029 0.399512 0.0161195	[MDD(sum)(wv)],[L-R both/2.25(fwv)]
0.460033 0.399491 0.016121	[MDD(sum)(wv)],[L-R both/1.5(fwv)]
0.460035 0.39931 0.0161554	[Schwartz(wv)],[L-R both/2.25(fwv)]
0.460036 0.399291 0.0161195	[Schwartz(wv)],[L-R both/1.5(wv)]
0.46005 0.399339 0.016121	[MDD(sum)(wv)],[L-R both/1.75(fwv)]
0.460069 0.399236 0.016121	[Schwartz(wv)],[L-R both/1.5(fwv)]
0.460089 0.399326 0.0161222	[Schwartz(wv)],[L-R both/2(fwv)]
0.460095 0.399363 0.0161238	[MDD(sum)(wv)],[L-R both/1.75(wv)]
0.460124 0.399251 0.016121	[Schwartz(wv)],[L-R both/1.75(fwv)]
0.460131 0.397883 0.0161042	[SDom(wv)],[L-R both/1.5(fwv)]
0.460133 0.399572 0.0161195	[MDD(sum)(wv)],[L-R both/2(wv)]
0.460136 0.399447 0.0161195	[MDD(sum)(wv)],[L-R both/1.5(wv)]
0.460165 0.399378 0.0161238	[Schwartz(wv)],[L-R both/1.75(wv)]
0.460182 0.397899 0.0161042	L-R both/1.5(fwv)
0.460219 0.397909 0.0161027	L-R both/1.5(wv)
0.460233 0.398038 0.0161027	[SDom(wv)],[L-R both/1.5(wv)]
0.460265 0.399544 0.0161195	[Schwartz(wv)],[L-R both/2(wv)]
0.46027 0.398916 0.0161378	[MDD(sum)(wv)],[L-R offense/1.25(PO)]
0.460373 0.398944 0.016121	[MDD(sum)(wv)],[L-R offense/1.75(PO)]
0.460408 0.39941 0.0161445	[MDD(sum)(wv)],[L-R both/1.25(rel-margins)]
0.46045 0.398962 0.0161195	[MDD(sum)(wv)],[L-R defense/0.75(PO)]
0.460769 0.39894 0.0161429	[MDD(sum)(wv)],[L-R defense/0.25(PO)]
0.460794 0.398937 0.0161156	[MDD(sum)(wv)],[L-R offense/1.5(PO)]
0.460806 0.398721 0.0161218	[MDD(sum)(wv)],[L-R defense/0.5(PO)]
0.46082 0.399129 0.0161445	[MDD(sum)(wv)],[L-R offense/2(PO)]
0.460975 0.399483 0.0162904	[MDD(sum)(wv)],[L-R both/1.5(rel-margins)]
0.461 0.398638 0.016164	[MDD(sum)(wv)],[L-R offense/2.25(PO)]
0.461194 0.39402 0.015986	[SDom(wv)],[L-R both/1.75(wv)]
0.461277 0.394023 0.015986	L-R both/1.75(wv)
0.461439 0.453554 0.0346428	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.461496 0.393931 0.0159832	[SDom(wv)],[L-R both/1.75(fwv)]
0.461691 0.399231 0.0164677	[MDD(sum)(wv)],[L-R both/1.75(rel-margins)]
0.461695 0.393878 0.0159832	L-R both/1.75(fwv)
0.462169 0.30039 0.00234494	L-R offense/0.25(PO)
0.462206 0.300673 0.00234494	[SDom(wv)],[L-R offense/0.25(PO)]
0.462515 0.399746 0.0166941	[MDD(sum)(wv)],[L-R both/2(rel-margins)]
0.462838 0.321892 0.00298124	[SDom(wv)],[L-R both/0.75(rel-margins)]
0.46285 0.321801 0.00298124	L-R both/0.75(rel-margins)
0.463078 0.40081 0.0169517	[MDD(sum)(wv)],[L-R both/2.25(rel-margins)]
0.463242 0.389031 0.0156748	[SDom(wv)],[L-R both/2(fwv)]
0.463367 0.388781 0.0156748	L-R both/2(fwv)
0.463377 0.389104 0.0156721	L-R both/2(wv)
0.463386 0.382917 0.0155042	[SDom(wv)],[L-R both/2.25(wv)]
0.463475 0.38925 0.0156721	[SDom(wv)],[L-R both/2(wv)]
0.463792 0.296139 0.00246127	[SDom(wv)],[L-R defense/1.25(PO)]
0.463821 0.29585 0.00246127	L-R defense/1.25(PO)
0.463937 0.382996 0.0155042	L-R both/2.25(wv)
0.464102 0.383109 0.0155042	[SDom(wv)],[L-R both/2.25(fwv)]
0.464116 0.383389 0.0155042	L-R both/2.25(fwv)
0.464671 0.296185 0.00246674	L-R offense/0.5(PO)
0.464806 0.295757 0.00246674	[SDom(wv)],[L-R offense/0.5(PO)]
0.464833 0.408127 0.0178839	[MDD(sum)(wv)],[Dodgson-Quick(PO)]
0.464961 0.399213 0.0167823	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.464983 0.40036 0.016942	[MDD(sum)(wv)],[L-R offense/0.75(fwv)]
0.465012 0.400336 0.016942	[Schwartz(wv)],[L-R offense/0.75(fwv)]
0.465152 0.400185 0.0170169	[SDom(wv)],[L-R offense/0.25(wv)]
0.465204 0.294582 0.00254988	[SDom(wv)],[L-R offense/0.75(PO)]
0.465351 0.399508 0.0169486	[SDom(wv)],[L-R offense/0.75(fwv)]
0.465363 0.399192 0.0169884	[SDom(wv)],[L-R offense/0.75(wv)]
0.465408 0.400258 0.0170169	L-R offense/0.25(wv)
