0 0.356108 0.204651	Gradual-[SDom(wv)](None, ordinal)
0.573327 0.452641 0.00425938	[SDom(wv)],[L-R offense/1(PO)]
0.57333 0.452639 0.00425938	[SDom(wv)],[L-R both/1(PO)]
0.573331 0.45264 0.00425938	[SDom(wv)],[L-R both/2(PO)]
0.576188 0.454166 0.00421782	[SDom(wv)],[L-R both/1(rel-margins)]
0.576255 0.454201 0.00421782	L-R both/1(rel-margins)
0.581093 0.383538 0.0119189	[SDom(wv)],[L-R offense/2.25(fwv)]
0.581273 0.383549 0.0119189	[SDom(wv)],[L-R offense/2.25(wv)]
0.581307 0.383579 0.0119189	L-R offense/2.25(fwv)
0.581316 0.383609 0.0119189	L-R offense/2.25(wv)
0.581617 0.409594 0.00602633	L-R offense/0.5(rel-margins)
0.581698 0.409635 0.00602633	[SDom(wv)],[L-R offense/0.5(rel-margins)]
0.585105 0.280144 0.0312686	[SDom(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.585124 0.279812 0.031366	Gradual-[Smith(wv)](None, ordinal)
0.589458 0.375769 0.0134352	[SDom(wv)],[L-R offense/2(fwv)]
0.589464 0.375768 0.0134352	L-R offense/2(wv)
0.589465 0.375764 0.0134352	[SDom(wv)],[L-R offense/2(wv)]
0.589465 0.375765 0.0134352	L-R offense/2(fwv)
0.589521 0.440366 0.00411672	L-R both/1.25(PO)
0.589547 0.440361 0.00411672	[SDom(wv)],[L-R both/1.25(PO)]
0.589848 0.44052 0.00411672	[SDom(wv)],[L-R both/1.5(PO)]
0.589875 0.440567 0.00411672	L-R both/1.5(PO)
0.5903 0.441179 0.00411672	L-R both/1.75(PO)
0.590364 0.44118 0.00411672	[SDom(wv)],[L-R both/1.75(PO)]
0.592053 0.441325 0.00410481	[SDom(wv)],[L-R offense/0.75(PO)]
0.592076 0.441276 0.00410481	L-R offense/0.75(PO)
0.59339 0.33297 0.0244454	[MDD(sum)(wv)],[Plurality]
0.594522 0.441137 0.00412229	[SDom(wv)],[L-R offense/0.5(PO)]
0.594526 0.441216 0.00412229	L-R offense/0.5(PO)
0.59469 0.444862 0.00410658	[SDom(wv)],[ODM-arctan(0.001)(PO)]
0.59471 0.444878 0.00410658	ODM-arctan(0.001)(PO)
0.594723 0.44166 0.00412685	L-R defense/1.25(PO)
0.594793 0.441668 0.00412685	[SDom(wv)],[L-R defense/1.25(PO)]
0.595346 0.443356 0.0041081	[SDom(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.595355 0.443328 0.0041081	Keener(0.001, +1, norm)(rel-margins)
0.595832 0.353235 0.0181401	[MDD(sum)(wv)],[HITS(0.001)(fwv)]
0.595935 0.353194 0.0181396	[MDD(sum)(wv)],[HITS(0.001)(wv)]
0.596142 0.36908 0.013925	L-R offense/1.75(fwv)
0.596162 0.369061 0.013925	[SDom(wv)],[L-R offense/1.75(fwv)]
0.596185 0.369099 0.013925	L-R offense/1.75(wv)
0.596197 0.369068 0.013925	[SDom(wv)],[L-R offense/1.75(wv)]
0.5967 0.303207 0.0301413	[SDom(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.596718 0.303189 0.0301413	Keener(0.001, +1, norm)(tourn-wv)
0.596731 0.303308 0.0301413	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.59677 0.436541 0.00394998	[SDom(wv)],[L-R offense/0.25(PO)]
0.596842 0.436466 0.00394998	L-R offense/0.25(PO)
0.597555 0.326686 0.0229245	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.598184 0.432876 0.00395429	L-R defense/1.5(PO)
0.59821 0.432996 0.00395429	[SDom(wv)],[L-R defense/1.5(PO)]
0.598363 0.441404 0.00411849	Sinkhorn(0.001, +1)(rel-margins)
0.598396 0.441423 0.00411849	[SDom(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.598809 0.325272 0.0230834	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.601213 0.363078 0.0147922	L-R offense/1.5(wv)
0.601218 0.363053 0.0147922	L-R offense/1.5(fwv)
0.601241 0.363154 0.0147922	[SDom(wv)],[L-R offense/1.5(wv)]
0.601249 0.363069 0.0147922	[SDom(wv)],[L-R offense/1.5(fwv)]
0.601448 0.429023 0.0038362	L-R defense/1.75(PO)
0.601471 0.429022 0.0038362	[SDom(wv)],[L-R defense/1.75(PO)]
0.602298 0.312803 0.0254093	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.602483 0.419637 0.00451531	L-R both/0.75(rel-margins)
0.602505 0.41966 0.00451531	[SDom(wv)],[L-R both/0.75(rel-margins)]
0.603254 0.29896 0.0305242	[SDom(wv)],[2. order Copeland/2/1]
0.603262 0.298981 0.0305242	2. order Copeland/2/1
0.603269 0.298954 0.0305242	Sinkhorn(0.001, +1)(tourn-wv)
0.603273 0.298969 0.0305242	[MDD(sum)(wv)],[2. order Copeland]
0.603278 0.298948 0.0305242	2. order Copeland
0.60328 0.298951 0.0305242	[SDom(wv)],[2. order Copeland/2/1]
0.603282 0.298975 0.0305242	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.603282 0.298977 0.0305242	[MDD(sum)(wv)],[2. order Copeland]
0.603283 0.298958 0.0305242	[MDD(sum)(wv)],[2. order Copeland]
0.603285 0.298973 0.0305242	2. order Copeland/2/1
0.603286 0.298968 0.0305242	[SDom(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.603287 0.29895 0.0305242	ODM-arctan(0.001)(tourn-wv)
0.603288 0.29898 0.0305242	[SDom(wv)],[2. order Copeland]
0.603288 0.298985 0.0305242	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.603291 0.298998 0.0305242	[SDom(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.603292 0.298963 0.0305242	[SDom(wv)],[2. order Copeland/2/1]
0.603292 0.298974 0.0305242	[SDom(wv)],[2. order Copeland]
0.603293 0.298966 0.0305242	[MDD(sum)(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.603293 0.298974 0.0305242	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.603293 0.299 0.0305242	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.603295 0.29896 0.0305242	2. order Copeland
0.603295 0.298965 0.0305242	2. order Copeland
0.603295 0.298991 0.0305242	2. order Copeland/2/1
0.603296 0.298981 0.0305242	2. order Copeland/2/1
0.603299 0.298954 0.0305242	[SDom(wv)],[2. order Copeland]
0.603299 0.298967 0.0305242	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.603299 0.298988 0.0305242	[MDD(sum)(wv)],[2. order Copeland]
0.603303 0.29899 0.0305242	[SDom(wv)],[2. order Copeland]
0.603304 0.298976 0.0305242	[MDD(sum)(wv)],[2. order Copeland]
0.603305 0.298976 0.0305242	[SDom(wv)],[2. order Copeland/2/1]
0.603307 0.298969 0.0305242	[SDom(wv)],[2. order Copeland]
0.603308 0.298984 0.0305242	[SDom(wv)],[2. order Copeland/2/1]
0.603309 0.298972 0.0305242	2. order Copeland
0.603309 0.298983 0.0305242	2. order Copeland/2/1
0.603314 0.298992 0.0305242	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.603326 0.298995 0.0305242	2. order Copeland
0.603589 0.31162 0.0254795	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.603643 0.313855 0.0254785	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.603738 0.360185 0.0148525	L-R offense/1.25(fwv)
0.603754 0.360167 0.0148525	[SDom(wv)],[L-R offense/1.25(wv)]
0.603776 0.36015 0.0148525	[SDom(wv)],[L-R offense/1.25(fwv)]
0.603795 0.310614 0.0259445	[MDD(sum)(wv)],[Gradual-[Condorcet](None, cardinal)]
0.603809 0.360144 0.0148525	L-R offense/1.25(wv)
0.603978 0.425088 0.00408251	L-R defense/2(PO)
0.604026 0.425115 0.00408251	[SDom(wv)],[L-R defense/2(PO)]
0.604121 0.357876 0.0157447	[MDD(sum)(wv)],[HITS(0.001)(rel-margins)]
0.60446 0.311873 0.0256054	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.604726 0.356655 0.0156291	[MDD(sum)(wv)],[L-R offense/2.25(rel-margins)]
0.60484 0.310593 0.0260453	[MDD(sum)(wv)],[Gradual-[Condorcet](None, ordinal)]
0.604859 0.356648 0.0154994	[MDD(sum)(wv)],[L-R offense/2(rel-margins)]
0.60487 0.357599 0.0148307	L-R offense/1(fwv)
0.604873 0.43207 0.0037873	Keener(0.001, +1, raw)(PO)
0.60491 0.357558 0.0148307	[SDom(wv)],[L-R offense/1(fwv)]
0.604953 0.432068 0.0037873	[SDom(wv)],[Keener(0.001, +1, raw)(PO)]
0.605089 0.356657 0.0148955	L-R offense/1(wv)
0.605095 0.356656 0.0148955	[SDom(wv)],[L-R offense/1(wv)]
0.605387 0.357207 0.0153696	[MDD(sum)(wv)],[L-R offense/1.75(rel-margins)]
0.606004 0.357478 0.0150453	[MDD(sum)(wv)],[L-R offense/1.5(wv)]
0.606006 0.357475 0.0150453	[MDD(sum)(wv)],[L-R offense/1.5(rel-margins)]
0.606006 0.35748 0.0150453	[MDD(sum)(wv)],[L-R offense/1.25(rel-margins)]
0.606007 0.35748 0.0150453	[MDD(sum)(wv)],[L-R offense/2(wv)]
0.606009 0.357478 0.0150453	[MDD(sum)(wv)],[L-R offense/1.5(fwv)]
0.60601 0.357478 0.0150453	[MDD(sum)(wv)],[L-R offense/2.25(wv)]
0.606011 0.357476 0.0150453	[MDD(sum)(wv)],[L-R offense/2.25(fwv)]
0.606011 0.357477 0.0150453	[MDD(sum)(wv)],[L-R offense/1.75(wv)]
0.606013 0.357477 0.0150453	[MDD(sum)(wv)],[L-R offense/1.25(fwv)]
0.606013 0.357477 0.0150453	[MDD(sum)(wv)],[L-R offense/2(fwv)]
0.606017 0.357477 0.0150453	[MDD(sum)(wv)],[L-R offense/1.25(wv)]
0.606018 0.357475 0.0150453	[MDD(sum)(wv)],[L-R offense/1.75(fwv)]
0.606095 0.358044 0.0154021	[MDD(sum)(wv)],[Ext-Minmin(PO)]
0.606435 0.356298 0.0149533	[MDD(sum)(wv)],[L-R offense/1(fwv)]
0.606588 0.347915 0.0159294	[MDD(sum)(wv)],[Dodgson-Quick(PO)]
0.606664 0.355595 0.0150182	[MDD(sum)(wv)],[L-R offense/1(wv)]
0.60682 0.356488 0.0150886	[MDD(sum)(wv)],[L-R offense/1(rel-margins)]
0.607456 0.424087 0.00408301	[SDom(wv)],[L-R defense/2.25(PO)]
0.607547 0.424109 0.00408301	L-R defense/2.25(PO)
0.607573 0.359957 0.0143637	L-R offense/0.25(rel-margins)
0.607576 0.359932 0.0143637	[SDom(wv)],[L-R offense/0.25(rel-margins)]
0.608515 0.358266 0.0149688	L-R offense/0.75(wv)
0.608521 0.358254 0.0149688	L-R offense/0.25(wv)
0.608527 0.358267 0.0149688	[SDom(wv)],[L-R offense/0.75(fwv)]
0.608528 0.358264 0.0149688	[MDD(sum)(wv)],[L-R offense/0.25(wv)]
0.608531 0.358237 0.0149688	[MDD(sum)(wv)],[L-R offense/0.25(fwv)]
0.608537 0.358249 0.0149688	[SDom(wv)],[L-R offense/0.25(fwv)]
0.608539 0.358269 0.0149688	[SDom(wv)],[L-R offense/0.25(wv)]
0.60854 0.358238 0.0149688	L-R offense/0.25(fwv)
0.608541 0.358259 0.0149688	[MDD(sum)(wv)],[L-R offense/0.75(fwv)]
0.608541 0.358272 0.0149688	[MDD(sum)(wv)],[L-R offense/0.75(wv)]
0.608542 0.358254 0.0149688	L-R offense/0.75(fwv)
0.608546 0.358276 0.0149688	L-R offense/0.5(fwv)
0.608549 0.358243 0.0149688	[SDom(wv)],[L-R offense/0.5(wv)]
0.608551 0.358248 0.0149688	[MDD(sum)(wv)],[L-R offense/0.5(fwv)]
0.608551 0.358284 0.0149688	[MDD(sum)(wv)],[L-R offense/0.75(rel-margins)]
0.608555 0.358236 0.0149688	L-R offense/0.5(wv)
0.608556 0.35823 0.0149688	[SDom(wv)],[L-R offense/0.5(fwv)]
0.608556 0.358246 0.0149688	[MDD(sum)(wv)],[L-R offense/0.5(wv)]
0.608564 0.358286 0.0149688	[SDom(wv)],[L-R offense/0.75(wv)]
0.608878 0.358282 0.0149728	[MDD(sum)(wv)],[L-R offense/0.5(rel-margins)]
0.609329 0.357208 0.0151259	[MDD(sum)(wv)],[L-R offense/0.25(rel-margins)]
0.609556 0.359141 0.0146885	[MDD(sum)(wv)],[L-R both/2.25(rel-margins)]
0.610109 0.366333 0.0136569	L-R both/2.25(fwv)
0.610109 0.366354 0.0136569	[SDom(wv)],[L-R both/2.25(fwv)]
0.610306 0.367096 0.0136478	[SDom(wv)],[L-R both/2.25(wv)]
0.610323 0.367067 0.0136478	L-R both/2.25(wv)
0.610579 0.360799 0.0144285	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.610929 0.362136 0.0142965	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(PO)]
0.611519 0.359037 0.0142669	[MDD(sum)(wv)],[L-R both/2(rel-margins)]
0.61217 0.363368 0.0136858	L-R both/2(wv)
0.612182 0.363358 0.0136858	[SDom(wv)],[L-R both/2(wv)]
0.612492 0.363979 0.0136863	[SDom(wv)],[L-R both/2(fwv)]
0.612529 0.363959 0.0136863	L-R both/2(fwv)
0.612591 0.359452 0.0141047	[MDD(sum)(wv)],[L-R both/1.75(rel-margins)]
0.612635 0.359837 0.0139749	[MDD(sum)(wv)],[L-R offense/2(PO)]
0.612764 0.360736 0.0139658	[MDD(sum)(wv)],[L-R offense/2.25(PO)]
0.612773 0.360189 0.0139749	[MDD(sum)(wv)],[L-R defense/0.25(PO)]
0.61303 0.35986 0.0139101	[MDD(sum)(wv)],[L-R offense/1.75(PO)]
0.613032 0.359541 0.0139749	[MDD(sum)(wv)],[L-R both/1.5(rel-margins)]
0.613044 0.359543 0.0139749	[MDD(sum)(wv)],[L-R both/1.25(rel-margins)]
0.613304 0.362564 0.0137494	L-R both/1.75(wv)
0.613304 0.362564 0.0137494	[SDom(wv)],[L-R both/1.75(wv)]
0.613408 0.360477 0.0138341	[SDom(wv)],[L-R both/1.5(wv)]
0.613414 0.360478 0.0138341	L-R both/1.5(wv)
0.613432 0.35985 0.0139141	[MDD(sum)(wv)],[L-R offense/1.5(PO)]
0.613476 0.36 0.0139141	[MDD(sum)(wv)],[L-R defense/0.75(PO)]
0.613554 0.360708 0.0139286	[MDD(sum)(wv)],[L-R defense/0.5(PO)]
0.61366 0.3595 0.0139101	[MDD(sum)(wv)],[L-R both/2.25(fwv)]
0.613664 0.36223 0.0139663	[MDD(sum)(wv)],[HITS(0.001)(PO)]
0.613736 0.360652 0.0139141	[MDD(sum)(wv)],[L-R offense/1.25(PO)]
0.613756 0.363061 0.0137489	L-R both/1.75(fwv)
0.613809 0.363075 0.0137489	[SDom(wv)],[L-R both/1.75(fwv)]
0.613815 0.360148 0.0139009	[MDD(sum)(wv)],[L-R both/2.25(wv)]
0.613918 0.359428 0.0139141	[MDD(sum)(wv)],[L-R both/2.25(PO)]
0.61392 0.359435 0.0139141	[MDD(sum)(wv)],[L-R both/2(wv)]
0.613923 0.359425 0.0139141	[MDD(sum)(wv)],[L-R both/1.5(wv)]
0.613925 0.359442 0.0139141	[MDD(sum)(wv)],[L-R both/0.5(PO)]
0.613927 0.359439 0.0139141	[MDD(sum)(wv)],[L-R both/0.25(PO)]
0.613931 0.359427 0.0139141	[MDD(sum)(wv)],[L-R both/0.75(PO)]
0.61399 0.361306 0.0138249	[SDom(wv)],[L-R both/1.5(fwv)]
0.614014 0.361271 0.0138249	L-R both/1.5(fwv)
0.614075 0.297491 0.030269	[SDom(wv)],[L-R both/0.5(tourn-wv)]
0.614075 0.297492 0.030269	[MDD(sum)(wv)],[Dodgson-Quick(rel-margins)]
0.614075 0.297493 0.030269	Dodgson-Quick(rel-margins)
0.614075 0.297493 0.030269	L-R both/1.75(tourn-wv)
0.614076 0.29749 0.030269	[MDD(sum)(wv)],[L-R both/2(tourn-wv)]
0.614076 0.29749 0.030269	[SDom(wv)],[Ext-Minmin(tourn-wv)]
0.614076 0.297491 0.030269	Ext-Minmin(tourn-wv)
0.614076 0.297491 0.030269	L-R offense/1(tourn-wv)
0.614076 0.297491 0.030269	[MDD(sum)(wv)],[Copeland]
0.614076 0.297491 0.030269	[MDD(sum)(wv)],[L-R defense/2(tourn-wv)]
0.614076 0.297492 0.030269	L-R both/0.25(tourn-wv)
0.614076 0.297492 0.030269	L-R offense/0.75(tourn-wv)
0.614076 0.297492 0.030269	[MDD(sum)(wv)],[L-R both/1.75(tourn-wv)]
0.614076 0.297492 0.030269	[SDom(wv)],[L-R defense/0.75(tourn-wv)]
0.614076 0.297493 0.030269	Dodgson-Quick(tourn-wv)
0.614076 0.297493 0.030269	L-R offense/2(tourn-wv)
0.614076 0.297493 0.030269	[MDD(sum)(wv)],[L-R offense/2(tourn-wv)]
0.614076 0.297494 0.030269	Copeland
0.614076 0.297494 0.030269	L-R both/0.75(tourn-wv)
0.614076 0.297494 0.030269	[MDD(sum)(wv)],[Schulze(tourn-wv)]
0.614076 0.297494 0.030269	[SDom(wv)],[L-R defense/2.25(tourn-wv)]
0.614076 0.297495 0.030269	[MDD(sum)(wv)],[L-R offense/2.25(tourn-wv)]
0.614076 0.297495 0.030269	[SDom(wv)],[Copeland]
0.614077 0.297488 0.030269	Dodgson-Quick(fwv)
0.614077 0.297488 0.030269	L-R defense/2.25(tourn-wv)
0.614077 0.297489 0.030269	L-R both/2(tourn-wv)
0.614077 0.297489 0.030269	L-R defense/0.25(tourn-wv)
0.614077 0.297489 0.030269	[MDD(sum)(wv)],[Dodgson-Quick(tourn-wv)]
0.614077 0.297489 0.030269	[MDD(sum)(wv)],[L-R both/0.25(tourn-wv)]
0.614077 0.297489 0.030269	[SDom(wv)],[Dodgson-Quick(fwv)]
0.614077 0.29749 0.030269	L-R defense/2(tourn-wv)
0.614077 0.29749 0.030269	L-R offense/2.25(tourn-wv)
0.614077 0.29749 0.030269	[MDD(sum)(wv)],[Copeland]
0.614077 0.29749 0.030269	[MDD(sum)(wv)],[L-R offense/1(tourn-wv)]
0.614077 0.29749 0.030269	[SDom(wv)],[L-R both/1.25(tourn-wv)]
0.614077 0.29749 0.030269	[SDom(wv)],[L-R offense/2.25(tourn-wv)]
0.614077 0.297491 0.030269	L-R defense/0.5(tourn-wv)
0.614077 0.297491 0.030269	[MDD(sum)(wv)],[L-R defense/0.25(tourn-wv)]
