0 0.356108 0.204651	Gradual-[SDom(wv)](None, ordinal)
0.614078 0.297489 0.030269	[SDom(wv)],[L-R both/1(tourn-wv)]
0.614078 0.297489 0.030269	[SDom(wv)],[L-R offense/0.25(tourn-wv)]
0.614078 0.297489 0.030269	[SDom(wv)],[L-R offense/1.5(tourn-wv)]
0.614078 0.29749 0.030269	Copeland
0.614078 0.29749 0.030269	[MDD(sum)(wv)],[L-R offense/0.25(tourn-wv)]
0.614078 0.297491 0.030269	[MDD(sum)(wv)],[L-R both/0.75(tourn-wv)]
0.614078 0.297491 0.030269	[SDom(wv)],[L-R offense/0.75(tourn-wv)]
0.614079 0.297483 0.030269	[SDom(wv)],[L-R defense/1(tourn-wv)]
0.614079 0.297484 0.030269	L-R offense/0.5(tourn-wv)
0.614079 0.297484 0.030269	[MDD(sum)(wv)],[L-R both/1.5(tourn-wv)]
0.614079 0.297485 0.030269	L-R defense/1.25(tourn-wv)
0.614079 0.297485 0.030269	[MDD(sum)(wv)],[Dodgson-Quick(fwv)]
0.614079 0.297485 0.030269	[MDD(sum)(wv)],[L-R offense/1.5(tourn-wv)]
0.614079 0.297485 0.030269	[SDom(wv)],[Copeland]
0.614079 0.297485 0.030269	[SDom(wv)],[L-R both/0.25(tourn-wv)]
0.614079 0.297486 0.030269	L-R both/1.25(tourn-wv)
0.614079 0.297486 0.030269	L-R defense/0.75(tourn-wv)
0.614079 0.297486 0.030269	[MDD(sum)(wv)],[Ext-Minmax(tourn-wv)]
0.614079 0.297486 0.030269	[MDD(sum)(wv)],[L-R both/1(tourn-wv)]
0.614079 0.297486 0.030269	[MDD(sum)(wv)],[L-R defense/0.5(tourn-wv)]
0.614079 0.297486 0.030269	[SDom(wv)],[Copeland]
0.614079 0.297486 0.030269	[SDom(wv)],[L-R both/1.5(tourn-wv)]
0.614079 0.297486 0.030269	[SDom(wv)],[L-R defense/1.75(tourn-wv)]
0.614079 0.297486 0.030269	[SDom(wv)],[L-R offense/1.75(tourn-wv)]
0.614079 0.297486 0.030269	[SDom(wv)],[L-R offense/1(tourn-wv)]
0.614079 0.297487 0.030269	L-R defense/1(tourn-wv)
0.614079 0.297487 0.030269	[MDD(sum)(wv)],[Copeland]
0.614079 0.297487 0.030269	[MDD(sum)(wv)],[Copeland]
0.614079 0.297487 0.030269	[MDD(sum)(wv)],[Minmax(tourn-wv)]
0.614079 0.297487 0.030269	[SDom(wv)],[L-R both/2.25(tourn-wv)]
0.614079 0.297487 0.030269	[SDom(wv)],[L-R offense/1.25(tourn-wv)]
0.614079 0.297489 0.030269	[SDom(wv)],[L-R both/0.75(tourn-wv)]
0.61408 0.297482 0.030269	[SDom(wv)],[L-R both/1.75(tourn-wv)]
0.61408 0.297484 0.030269	Copeland
0.61408 0.297484 0.030269	Ext-Minmax(tourn-wv)
0.61408 0.297484 0.030269	[SDom(wv)],[L-R defense/2(tourn-wv)]
0.61408 0.297485 0.030269	L-R offense/1.75(tourn-wv)
0.61408 0.297485 0.030269	[SDom(wv)],[L-R offense/0.5(tourn-wv)]
0.61408 0.297486 0.030269	[SDom(wv)],[L-R defense/1.5(tourn-wv)]
0.61408 0.297486 0.030269	[SDom(wv)],[L-R offense/2(tourn-wv)]
0.61408 0.297487 0.030269	L-R offense/1.25(tourn-wv)
0.614103 0.36003 0.0139146	[SDom(wv)],[L-R both/1.25(wv)]
0.614113 0.360051 0.0139146	L-R both/1.25(wv)
0.614119 0.36001 0.0139146	[MDD(sum)(wv)],[L-R both/2(fwv)]
0.61413 0.360058 0.0139146	[MDD(sum)(wv)],[L-R both/1.25(wv)]
0.614187 0.354481 0.0135804	[MDD(sum)(wv)],[Cardinal-10]
0.61424 0.360241 0.0139146	[MDD(sum)(wv)],[L-R both/1.75(wv)]
0.614354 0.360071 0.0139141	L-R both/1.25(fwv)
0.614357 0.360068 0.0139141	[SDom(wv)],[L-R both/1.25(fwv)]
0.614363 0.36006 0.0139141	[MDD(sum)(wv)],[L-R both/1.25(fwv)]
0.614481 0.36009 0.0139045	[MDD(sum)(wv)],[L-R both/1.5(fwv)]
0.614713 0.360623 0.0139136	[MDD(sum)(wv)],[L-R both/1.75(fwv)]
0.615532 0.362004 0.0139136	[MDD(sum)(wv)],[ODM(0.001)(PO)]
0.615591 0.361995 0.0139136	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(PO)]
0.615649 0.35827 0.0139141	[MDD(sum)(wv)],[L-R both/1(rel-margins)]
0.615697 0.257731 0.039047	Schulze(tourn-wv)
0.615791 0.356937 0.0139141	[MDD(sum)(wv)],[L-R both/1(wv)]
0.615792 0.356938 0.0139141	[MDD(sum)(wv)],[L-R both/2(PO)]
0.615792 0.35694 0.0139141	[MDD(sum)(wv)],[L-R defense/1(PO)]
0.615793 0.356933 0.0139141	L-R both/1(wv)
0.615793 0.35694 0.0139141	[MDD(sum)(wv)],[L-R both/1(PO)]
0.615794 0.356938 0.0139141	[SDom(wv)],[L-R both/1(wv)]
0.615795 0.356939 0.0139141	[MDD(sum)(wv)],[Borda]
0.615797 0.356935 0.0139141	[MDD(sum)(wv)],[L-R offense/1(PO)]
0.615971 0.258245 0.0388524	[SDom(wv)],[Schulze(tourn-wv)]
0.617649 0.375743 0.0108029	L-R both/0.5(rel-margins)
0.617651 0.375751 0.0108029	[SDom(wv)],[L-R both/0.5(rel-margins)]
0.617863 0.359633 0.0139055	[MDD(sum)(wv)],[L-R both/1(fwv)]
0.617868 0.359668 0.0139055	[SDom(wv)],[L-R both/1(fwv)]
0.617917 0.359677 0.0139055	L-R both/1(fwv)
0.617978 0.31608 0.0243096	[MDD(sum)(wv)],[Dodgson-Quick(wv)]
0.617995 0.316061 0.0243096	[SDom(wv)],[Dodgson-Quick(wv)]
0.618033 0.316078 0.0243096	Dodgson-Quick(wv)
0.618171 0.362837 0.015211	Keener(0.001, +1, raw)(fwv)
0.618197 0.36279 0.015211	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(fwv)]
0.61822 0.362668 0.015211	[SDom(wv)],[Keener(0.001, +1, raw)(fwv)]
0.618875 0.242549 0.0466309	[SDom(wv)],[Minmax(tourn-wv)]
0.619148 0.361808 0.0139215	[MDD(sum)(wv)],[NREM-Opt]
0.619217 0.358635 0.0139141	[MDD(sum)(wv)],[L-R both/1.25(PO)]
0.619352 0.358738 0.0139141	[MDD(sum)(wv)],[L-R both/1.5(PO)]
0.619425 0.358934 0.0139141	[SDom(wv)],[L-R both/0.75(wv)]
0.619426 0.35893 0.0139141	L-R both/0.75(wv)
0.619442 0.358903 0.0139141	[MDD(sum)(wv)],[L-R both/0.75(wv)]
0.619512 0.359242 0.0139146	[MDD(sum)(wv)],[L-R both/1.75(PO)]
0.619689 0.358964 0.0139141	[MDD(sum)(wv)],[L-R both/0.75(rel-margins)]
0.61988 0.359401 0.0139326	[MDD(sum)(wv)],[L-R both/0.5(fwv)]
0.61989 0.359412 0.0139326	L-R both/0.5(fwv)
0.619901 0.358707 0.0139141	[MDD(sum)(wv)],[L-R defense/1.75(PO)]
0.619903 0.3594 0.0139326	[SDom(wv)],[L-R both/0.5(fwv)]
0.619913 0.358716 0.0139141	[MDD(sum)(wv)],[L-R defense/1.5(PO)]
0.619917 0.35871 0.0139141	[MDD(sum)(wv)],[L-R defense/2(PO)]
0.619937 0.359279 0.0139136	[MDD(sum)(wv)],[L-R both/0.25(wv)]
0.619956 0.359286 0.0139136	[SDom(wv)],[L-R both/0.25(wv)]
0.619971 0.359281 0.0139136	L-R both/0.25(wv)
0.619997 0.359375 0.0139326	L-R both/0.75(fwv)
0.620004 0.359379 0.0139326	[SDom(wv)],[L-R both/0.75(fwv)]
0.620014 0.359353 0.0139326	[MDD(sum)(wv)],[L-R both/0.75(fwv)]
0.620078 0.359481 0.0139321	[MDD(sum)(wv)],[L-R both/0.5(wv)]
0.620089 0.359467 0.0139321	L-R both/0.5(wv)
0.62009 0.359473 0.0139321	[SDom(wv)],[L-R both/0.5(wv)]
0.620195 0.359864 0.0139146	L-R both/0.25(fwv)
0.620199 0.359841 0.0139146	[MDD(sum)(wv)],[L-R both/0.25(fwv)]
0.620205 0.359864 0.0139146	[SDom(wv)],[L-R both/0.25(fwv)]
0.620301 0.359058 0.0139141	[MDD(sum)(wv)],[L-R offense/0.75(PO)]
0.620404 0.359243 0.0139136	[MDD(sum)(wv)],[L-R offense/0.25(PO)]
0.620427 0.359851 0.013905	[MDD(sum)(wv)],[L-R both/0.5(rel-margins)]
0.620636 0.365531 0.0151768	[MDD(sum)(wv)],[Gradual-[Copeland](None, ordinal)]
0.620644 0.365487 0.0151768	Gradual-[Copeland](None, ordinal)
0.620676 0.365497 0.0151768	[SDom(wv)],[Gradual-[Copeland](None, ordinal)]
0.620726 0.359411 0.0139141	[MDD(sum)(wv)],[L-R defense/2.25(PO)]
0.620977 0.361289 0.0139136	[MDD(sum)(wv)],[ODM-arctan(0.001)(PO)]
0.621049 0.359776 0.0139141	[MDD(sum)(wv)],[L-R defense/1.25(PO)]
0.621124 0.359802 0.0139326	[MDD(sum)(wv)],[L-R offense/0.5(PO)]
0.62147 0.361011 0.0139136	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(fwv)]
0.621471 0.233916 0.0523856	Minmax(tourn-wv)
0.621474 0.361012 0.0139136	[SDom(wv)],[Keener(0.001, +1, norm)(fwv)]
0.62148 0.361016 0.0139136	Keener(0.001, +1, norm)(fwv)
0.622027 0.357929 0.0141792	[MDD(sum)(wv)],[L-R both/0.25(rel-margins)]
0.622037 0.357889 0.0141792	[SDom(wv)],[L-R both/0.25(rel-margins)]
0.622044 0.357912 0.0141792	L-R both/0.25(rel-margins)
0.622069 0.360724 0.0139136	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(PO)]
0.622235 0.360778 0.0139136	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.622316 0.361041 0.01392	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.622382 0.361835 0.0139331	Sinkhorn(0.001, +1)(fwv)
0.622384 0.361834 0.0139331	[SDom(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.622386 0.361835 0.0139331	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.624064 0.360355 0.0139326	[MDD(sum)(wv)],[Cardinal-10(norm)]
0.626117 0.36325 0.0151046	[MDD(sum)(wv)],[ODM(0.001)(rel-margins)]
0.626129 0.363267 0.0151046	[SDom(wv)],[ODM(0.001)(rel-margins)]
0.626147 0.363243 0.0151046	ODM(0.001)(rel-margins)
0.626504 0.354417 0.0157594	[MDD(sum)(wv)],[Ext-Minmax(PO)]
0.626517 0.354414 0.0157594	[MDD(sum)(wv)],[Ext-Minmax(wv)]
0.626708 0.360179 0.0152582	[SDom(wv)],[ODM-arctan(0.001)(wv)]
0.626752 0.360154 0.0152582	[MDD(sum)(wv)],[ODM-arctan(0.001)(wv)]
0.62677 0.360198 0.0152582	ODM-arctan(0.001)(wv)
0.628311 0.36548 0.0150714	[SDom(wv)],[Gradual-[Copeland](None, cardinal)]
0.628342 0.365446 0.0150714	Gradual-[Copeland](None, cardinal)
0.628345 0.365469 0.0150714	[MDD(sum)(wv)],[Gradual-[Copeland](None, cardinal)]
0.62856 0.360702 0.0154606	Sinkhorn(0.001, +1)(wv)
0.62858 0.360732 0.0154606	[SDom(wv)],[Sinkhorn(0.001, +1)(wv)]
0.628581 0.360688 0.0154606	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(wv)]
0.628801 0.332748 0.020446	[SDom(wv)],[Ext-Minmin(fwv)]
0.628803 0.33275 0.020446	[SDom(wv)],[L-R defense/0.75(fwv)]
0.628806 0.33276 0.020446	L-R defense/1.5(wv)
0.628806 0.332767 0.020446	L-R defense/1.5(fwv)
0.628807 0.332755 0.020446	[MDD(sum)(wv)],[L-R defense/0.5(wv)]
0.628807 0.332756 0.020446	[MDD(sum)(wv)],[L-R defense/1(rel-margins)]
0.628807 0.332756 0.020446	[SDom(wv)],[Ext-Minmin(wv)]
0.628808 0.332745 0.020446	[SDom(wv)],[L-R defense/2(fwv)]
0.628809 0.332744 0.020446	L-R defense/1.75(wv)
0.628809 0.332755 0.020446	[MDD(sum)(wv)],[L-R defense/2.25(fwv)]
0.628809 0.332755 0.020446	[SDom(wv)],[L-R defense/2(wv)]
0.628809 0.332758 0.020446	[MDD(sum)(wv)],[Minmax(PO)]
0.62881 0.332749 0.020446	L-R defense/0.25(wv)
0.62881 0.332751 0.020446	[MDD(sum)(wv)],[L-R defense/1.75(rel-margins)]
0.62881 0.332752 0.020446	[MDD(sum)(wv)],[L-R defense/2.25(wv)]
0.62881 0.332756 0.020446	L-R defense/1.75(fwv)
0.628811 0.332741 0.020446	[MDD(sum)(wv)],[L-R defense/1.25(fwv)]
0.628811 0.332747 0.020446	[SDom(wv)],[L-R defense/1.25(wv)]
0.628811 0.332749 0.020446	Ext-Minmin(rel-margins)
0.628811 0.332757 0.020446	[SDom(wv)],[L-R defense/0.5(fwv)]
0.628812 0.332747 0.020446	[MDD(sum)(wv)],[L-R defense/0.75(rel-margins)]
0.628812 0.332749 0.020446	[MDD(sum)(wv)],[L-R defense/1.25(wv)]
0.628812 0.332751 0.020446	L-R defense/1(fwv)
0.628812 0.332753 0.020446	L-R defense/0.25(rel-margins)
0.628813 0.332741 0.020446	[MDD(sum)(wv)],[L-R defense/0.5(fwv)]
0.628813 0.332751 0.020446	L-R defense/2.25(fwv)
0.628813 0.332751 0.020446	[MDD(sum)(wv)],[L-R defense/1.5(wv)]
0.628813 0.332754 0.020446	[MDD(sum)(wv)],[Ext-Minmin(wv)]
0.628813 0.332754 0.020446	[MDD(sum)(wv)],[L-R defense/2(fwv)]
0.628813 0.332754 0.020446	[SDom(wv)],[L-R defense/1(fwv)]
0.628814 0.332739 0.020446	[MDD(sum)(wv)],[Minmax(wv)]
0.628814 0.332742 0.020446	[SDom(wv)],[L-R defense/1.25(fwv)]
0.628814 0.332754 0.020446	[MDD(sum)(wv)],[Ext-Minmax(fwv)]
0.628815 0.332741 0.020446	L-R defense/1.25(fwv)
0.628815 0.332743 0.020446	[SDom(wv)],[L-R defense/2.25(fwv)]
0.628815 0.332745 0.020446	[MDD(sum)(wv)],[L-R defense/0.5(rel-margins)]
0.628815 0.332746 0.020446	[MDD(sum)(wv)],[L-R defense/2(wv)]
0.628815 0.332751 0.020446	[MDD(sum)(wv)],[L-R defense/0.25(rel-margins)]
0.628816 0.332741 0.020446	Ext-Minmin(fwv)
0.628816 0.332742 0.020446	[SDom(wv)],[L-R defense/0.75(wv)]
0.628816 0.332743 0.020446	L-R defense/0.75(wv)
0.628817 0.332741 0.020446	[MDD(sum)(wv)],[L-R defense/1(wv)]
0.628817 0.332745 0.020446	[MDD(sum)(wv)],[L-R defense/0.75(wv)]
0.628817 0.332746 0.020446	[SDom(wv)],[L-R defense/1.5(wv)]
0.628817 0.332747 0.020446	[SDom(wv)],[L-R defense/1.75(wv)]
0.628817 0.332754 0.020446	L-R defense/2(fwv)
0.628817 0.332757 0.020446	[SDom(wv)],[L-R defense/2.25(wv)]
0.628818 0.332731 0.020446	[MDD(sum)(wv)],[L-R defense/0.75(fwv)]
0.628818 0.332744 0.020446	[MDD(sum)(wv)],[L-R defense/2.25(rel-margins)]
0.628818 0.332747 0.020446	L-R defense/0.75(fwv)
0.628818 0.332747 0.020446	[MDD(sum)(wv)],[L-R defense/2(rel-margins)]
0.628819 0.332744 0.020446	[SDom(wv)],[L-R defense/0.25(fwv)]
0.628819 0.332747 0.020446	[MDD(sum)(wv)],[L-R defense/1.5(fwv)]
0.628819 0.332747 0.020446	[SDom(wv)],[L-R defense/0.5(wv)]
0.628819 0.332748 0.020446	L-R defense/0.5(fwv)
0.628819 0.332748 0.020446	[SDom(wv)],[Ext-Minmin(rel-margins)]
0.62882 0.332736 0.020446	[MDD(sum)(wv)],[L-R defense/0.25(fwv)]
0.62882 0.33274 0.020446	[MDD(sum)(wv)],[Ext-Minmax(rel-margins)]
0.62882 0.332747 0.020446	[MDD(sum)(wv)],[L-R defense/1.75(wv)]
0.628821 0.332741 0.020446	L-R defense/0.25(fwv)
0.628821 0.332745 0.020446	[MDD(sum)(wv)],[L-R defense/1.25(rel-margins)]
0.628821 0.332748 0.020446	[MDD(sum)(wv)],[L-R defense/0.25(wv)]
0.628822 0.332728 0.020446	L-R defense/1(wv)
0.628822 0.332738 0.020446	[MDD(sum)(wv)],[Ext-Minmin(rel-margins)]
0.628822 0.332738 0.020446	[SDom(wv)],[L-R defense/1.75(fwv)]
0.628822 0.332746 0.020446	[MDD(sum)(wv)],[Minmax(fwv)]
0.628822 0.332748 0.020446	[MDD(sum)(wv)],[L-R defense/1.5(rel-margins)]
0.628823 0.332735 0.020446	[MDD(sum)(wv)],[Minmax(rel-margins)]
0.628823 0.332743 0.020446	Ext-Minmin(wv)
0.628823 0.332751 0.020446	[MDD(sum)(wv)],[L-R defense/1.75(fwv)]
0.628824 0.332729 0.020446	L-R defense/0.5(wv)
0.628824 0.33273 0.020446	[SDom(wv)],[L-R defense/0.25(rel-margins)]
0.628824 0.332733 0.020446	[MDD(sum)(wv)],[L-R defense/1(fwv)]
0.628824 0.332738 0.020446	[SDom(wv)],[L-R defense/1(wv)]
0.628824 0.332746 0.020446	L-R defense/2.25(wv)
0.628824 0.332746 0.020446	[SDom(wv)],[L-R defense/1.5(fwv)]
0.628826 0.332737 0.020446	L-R defense/1.25(wv)
0.628827 0.33274 0.020446	[SDom(wv)],[L-R defense/0.25(wv)]
0.628827 0.332742 0.020446	[MDD(sum)(wv)],[Ext-Minmin(fwv)]
0.62883 0.332738 0.020446	L-R defense/2(wv)
0.629251 0.332712 0.0204136	[MDD(sum)(wv)],[Schulze(fwv)]
0.629252 0.332719 0.0204136	[MDD(sum)(wv)],[Schulze(PO)]
0.629256 0.332715 0.0204136	[MDD(sum)(wv)],[Schulze(rel-margins)]
0.629256 0.332717 0.0204136	[MDD(sum)(wv)],[Schulze(wv)]
0.62943 0.332836 0.0204136	L-R defense/0.5(rel-margins)
0.629459 0.332854 0.0204136	[SDom(wv)],[L-R defense/0.5(rel-margins)]
0.629737 0.256896 0.0381269	[SDom(wv)],[Gradual-[Condorcet](None, ordinal)]
0.63014 0.356236 0.0161217	[SDom(wv)],[Ext-Minmax(wv)]
0.630142 0.356221 0.0161217	[SDom(wv)],[Ext-Minmax(PO)]
0.630157 0.356219 0.0161217	Ext-Minmax(wv)
0.630174 0.356236 0.0161217	Ext-Minmax(PO)
0.630613 0.250511 0.0429088	Gradual-[Condorcet](None, ordinal)
0.632758 0.332311 0.0206457	[SDom(wv)],[Ext-Minmax(fwv)]
0.632766 0.332305 0.0206457	L-R defense/1(rel-margins)
0.63277 0.332312 0.0206457	[SDom(wv)],[L-R defense/1.75(rel-margins)]
0.632773 0.332322 0.0206457	L-R defense/0.75(rel-margins)
0.632776 0.3323 0.0206457	[SDom(wv)],[L-R defense/2(rel-margins)]
0.632777 0.3323 0.0206457	L-R defense/1.25(rel-margins)
0.632777 0.332302 0.0206457	L-R defense/1.75(rel-margins)
0.63278 0.332309 0.0206457	[SDom(wv)],[L-R defense/1(rel-margins)]
0.63278 0.33231 0.0206457	[SDom(wv)],[L-R defense/1.5(rel-margins)]
0.63278 0.332314 0.0206457	L-R defense/2(rel-margins)
0.632783 0.3323 0.0206457	L-R defense/1.5(rel-margins)
0.632784 0.332294 0.0206457	Ext-Minmax(rel-margins)
0.632784 0.332301 0.0206457	[SDom(wv)],[L-R defense/0.75(rel-margins)]
0.632784 0.332311 0.0206457	[SDom(wv)],[L-R defense/1.25(rel-margins)]
0.632786 0.3323 0.0206457	[SDom(wv)],[L-R defense/2.25(rel-margins)]
0.632786 0.332309 0.0206457	L-R defense/2.25(rel-margins)
0.632787 0.332316 0.0206457	[SDom(wv)],[Ext-Minmax(rel-margins)]
0.63279 0.332299 0.0206457	Ext-Minmax(fwv)
0.63291 0.357516 0.01633	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.633077 0.295616 0.028091	[SDom(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.633124 0.29569 0.028091	Gradual-[Landau(wv)](None, ordinal)
0.6357 0.359669 0.0190766	[MDD(sum)(wv)],[VoteForAgainst]
0.637045 0.356667 0.0161587	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.637491 0.293606 0.0280566	[SDom(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.637501 0.293545 0.0280566	Gradual-[Landau(wv)](None, cardinal)
0.637735 0.368832 0.0203168	[MDD(sum)(wv)],[ODM(0.001)(wv)]
0.637812 0.368851 0.0203168	[SDom(wv)],[ODM(0.001)(wv)]
0.637819 0.368785 0.0203168	ODM(0.001)(wv)
0.638234 0.368929 0.0203168	[MDD(sum)(wv)],[ODM(0.001)(fwv)]
0.638256 0.369058 0.0203168	ODM(0.001)(fwv)
0.638287 0.36879 0.0203168	[SDom(wv)],[ODM(0.001)(fwv)]
0.638734 0.361916 0.0165621	[SDom(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.638747 0.361982 0.0165621	Gradual-[Schwartz(wv)](None, ordinal)
0.640993 0.299713 0.029393	ODM(0.001)(tourn-wv)
0.641158 0.299749 0.029393	[MDD(sum)(wv)],[ODM(0.001)(tourn-wv)]
0.641224 0.299689 0.029393	[SDom(wv)],[ODM(0.001)(tourn-wv)]
0.641955 0.355037 0.0207161	[SDom(wv)],[Keener(0.001, +1, raw)(wv)]
0.641979 0.355113 0.0207161	Keener(0.001, +1, raw)(wv)
0.642007 0.355096 0.0207161	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(wv)]
0.642038 0.3597 0.0190361	[MDD(sum)(wv)],[Nauru Borda]
0.642522 0.328941 0.0223455	[SDom(wv)],[Schulze(fwv)]
0.642524 0.328933 0.0223455	[SDom(wv)],[Schulze(PO)]
0.642527 0.328912 0.0223455	[SDom(wv)],[Schulze(wv)]
0.642537 0.328928 0.0223455	Schulze(PO)
0.642548 0.328957 0.0223455	Schulze(fwv)
0.642556 0.328941 0.0223455	Schulze(rel-margins)
0.642561 0.328938 0.0223455	Schulze(wv)
0.642561 0.32896 0.0223455	[SDom(wv)],[Schulze(rel-margins)]
0.643787 0.328388 0.0227583	[SDom(wv)],[Minmax(fwv)]
0.643799 0.328396 0.0227583	[SDom(wv)],[Minmax(PO)]
0.643801 0.328407 0.0227583	Minmax(rel-margins)
0.643802 0.3284 0.0227583	Minmax(fwv)
0.643807 0.328398 0.0227583	Minmax(wv)
0.643809 0.328413 0.0227583	[SDom(wv)],[Minmax(wv)]
0.64381 0.328399 0.0227583	[SDom(wv)],[Minmax(rel-margins)]
0.643827 0.328417 0.0227583	Minmax(PO)
0.644185 0.361382 0.0163744	[SDom(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.644197 0.275999 0.0312953	Gradual-[Smith(wv)](None, cardinal)
0.644257 0.361288 0.0163744	Gradual-[Schwartz(wv)](None, cardinal)
0.644355 0.276352 0.031198	[SDom(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.645293 0.262157 0.0379982	[SDom(wv)],[Gradual-[Condorcet](None, cardinal)]
0.646126 0.348313 0.0209743	[MDD(sum)(wv)],[Ranked Pairs(fwv)]
0.64617 0.348356 0.0209743	[MDD(sum)(wv)],[Ranked Pairs(PO)]
0.646171 0.348294 0.0209743	[MDD(sum)(wv)],[Ranked Pairs(wv)]
0.646196 0.348339 0.0209743	[MDD(sum)(wv)],[Ranked Pairs(rel-margins)]
0.646366 0.354687 0.0212227	[MDD(sum)(wv)],[ODM-arctan(0.001)(fwv)]
0.646373 0.353398 0.0211578	[MDD(sum)(wv)],[ODM-arctan(0.001)(rel-margins)]
0.646434 0.354842 0.0212227	ODM-arctan(0.001)(fwv)
0.646471 0.354826 0.0212227	[SDom(wv)],[ODM-arctan(0.001)(fwv)]
0.646838 0.256271 0.0427441	Gradual-[Condorcet](None, cardinal)
0.646991 0.360957 0.020133	[MDD(sum)(wv)],[VMedianOS-10(norm, tiebreak)]
0.647004 0.361897 0.0200271	[MDD(sum)(wv)],[VMedianOS-10(tiebreak)]
0.647946 0.354612 0.0212227	ODM-arctan(0.001)(rel-margins)
0.648032 0.354618 0.0212227	[SDom(wv)],[ODM-arctan(0.001)(rel-margins)]
0.648357 0.351576 0.0218052	Gradual-[2. order Copeland/2/1](None, ordinal)
0.648407 0.351682 0.0218052	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.648429 0.351579 0.0218052	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.649236 0.348687 0.0229944	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(wv)]
0.65012 0.348179 0.0227468	Gradual-[2. order Copeland](None, ordinal)
0.650217 0.348167 0.0227468	[MDD(sum)(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.650257 0.302756 0.0308004	[SDom(wv)],[HITS(0.001)(tourn-wv)]
0.650298 0.348284 0.0227468	[SDom(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.650322 0.302699 0.0308004	[MDD(sum)(wv)],[HITS(0.001)(tourn-wv)]
0.650362 0.302664 0.0308004	HITS(0.001)(tourn-wv)
0.651392 0.344213 0.0222223	[MDD(sum)(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.651609 0.344436 0.0222776	[MDD(sum)(wv)],[AVGEliminate-[Borda]/fd]
0.651645 0.360584 0.0233953	[MDD(sum)(wv)],[Antiplurality]
0.65228 0.351983 0.0231837	[MDD(sum)(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.652325 0.347821 0.0217175	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.652397 0.347858 0.0217175	Gradual-[2. order Copeland/2/1](None, cardinal)
0.652427 0.34786 0.0217175	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.6528 0.349842 0.0216504	[SDom(wv)],[Ranked Pairs(wv)]
0.652828 0.349939 0.0216504	Ranked Pairs(wv)
0.652845 0.34993 0.0216504	Ranked Pairs(fwv)
0.652867 0.34982 0.0216504	Ranked Pairs(rel-margins)
0.652874 0.349883 0.0216504	Ranked Pairs(PO)
0.652875 0.349877 0.0216504	[SDom(wv)],[Ranked Pairs(PO)]
0.652896 0.349916 0.0216504	[SDom(wv)],[Ranked Pairs(rel-margins)]
0.652906 0.349682 0.0216504	[SDom(wv)],[Ranked Pairs(fwv)]
0.654439 0.344392 0.0226582	Gradual-[2. order Copeland](None, cardinal)
0.654459 0.344381 0.0226582	[SDom(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.654463 0.344269 0.0226582	[MDD(sum)(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.654565 0.311315 0.030993	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.654617 0.311345 0.030993	[SDom(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.654794 0.311372 0.030993	Keener(0.001, +1, raw)(tourn-wv)
0.655157 0.345533 0.0223794	[SDom(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.655182 0.34554 0.0223794	AVGEliminate-[NREM-Opt]/fd
0.655249 0.345876 0.0224347	[SDom(wv)],[AVGEliminate-[Borda]/fd]
0.655272 0.345914 0.0224347	AVGEliminate-[Borda]/fd
0.656106 0.489077 0.00252056	Cardinal-10(norm)
0.656169 0.489041 0.00252056	[SDom(wv)],[Cardinal-10(norm)]
0.658746 0.337387 0.0274036	[MDD(sum)(wv)],[Eliminate-[VoteForAgainst]/fd]
