0 0.451169 	Gradual-[CGTT(wv)](None, cardinal)
0.543379 0.454768 	[Schwartz(wv)],[Minmax(tourn-wv)]
0.543388 0.454788 	[Schwartz(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.543426 0.454495 	[Schwartz(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.543474 0.454677 	[CDTT(wv)],[Dodgson-Quick(keener)]
0.543573 0.454912 	[CDTT(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.543577 0.454551 	[CGTT(wv)],[Minmax(tourn-wv)]
0.543636 0.454791 	[Schwartz(wv)],[Maximin(tourn-wv)]
0.543639 0.455488 	[CGTT(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.543652 0.454877 	[CDTT(wv)],[Minmax(tourn-wv)]
0.543666 0.455149 	[CGTT(wv)],[Dodgson-Quick(keener)]
0.543706 0.454665 	[CGTT(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.543724 0.454861 	[CDTT(wv)],[Maximin(tourn-wv)]
0.54375 0.45492 	[CGTT(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.543832 0.455177 	[CDTT(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.543937 0.455174 	[CDTT(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.543951 0.454764 	[Schwartz(wv)],[Dodgson-Quick(keener)]
0.543959 0.455622 	[CGTT(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.544291 0.454628 	[CDTT(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.544488 0.454871 	[Schwartz(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.544614 0.455396 	[CDTT(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.544641 0.4551 	[Schwartz(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.545424 0.453981 	[Condorcet],[Schulze(tourn-wv)]
0.546819 0.451573 	Schulze(tourn-wv)
0.546939 0.452175 	[Smith(wv)],[Schulze(tourn-wv)]
0.547021 0.452842 	[CGTT(wv)],[Schulze(tourn-wv)]
0.547568 0.452768 	[CDTT(wv)],[Schulze(tourn-wv)]
0.547853 0.452737 	[Schwartz(wv)],[Schulze(tourn-wv)]
0.547912 0.486908 	[Smith(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.549063 0.347385 	[Smith(wv)],[Maximin(w/tv)]
0.549133 0.486205 	[Condorcet],[Gradual-[Smith(wv)](None, cardinal)]
0.549311 0.486962 	Gradual-[Smith(wv)](None, cardinal)
0.550421 0.53371 	[Smith(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.550888 0.489999 	Gradual-[Smith(wv)](None, ordinal)
0.551045 0.490153 	[Smith(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.551469 0.490436 	[Condorcet],[Gradual-[Smith(wv)](None, ordinal)]
0.551937 0.566883 	[CGTT(wv)],[Keener(0.001, +1, norm)(wv)]
0.552204 0.531861 	[Smith(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.553543 0.568082 	[Schwartz(wv)],[Keener(0.001, +1, norm)(wv)]
0.554252 0.568503 	[CDTT(wv)],[Keener(0.001, +1, norm)(wv)]
0.555863 0.468614 	[CGTT(wv)],[Gradual-[Condorcet](None, cardinal)]
0.55607 0.469771 	[CDTT(wv)],[Gradual-[Condorcet](None, cardinal)]
0.556158 0.468706 	[Schwartz(wv)],[Gradual-[Condorcet](None, cardinal)]
0.560522 0.0219898 	[SDom(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.560842 0.460881 	[Schwartz(wv)],[Gradual-[Condorcet](None, ordinal)]
0.561028 0.790387 	[Condorcet],[Plurality]
0.56103 0.461358 	[CGTT(wv)],[Gradual-[Condorcet](None, ordinal)]
0.561614 0.462316 	[CDTT(wv)],[Gradual-[Condorcet](None, ordinal)]
0.565413 0.583655 	[Smith(wv)],[Mode-Ratings]
0.567573 0.502333 	[Smith(wv)],[VMedianOS-10(norm)]
0.569902 0.50794 	[Smith(wv)],[VMedianOS-10()]
0.571371 0.785308 	[Condorcet],[Eliminate-[Plurality]/fd]
0.572545 0.404809 	[Schwartz(wv)],[Maximin(wv)]
0.573218 0.403924 	[CDTT(wv)],[Maximin(fwv)]
0.57323 0.404757 	[CGTT(wv)],[Maximin(fwv)]
0.573446 0.405268 	[CGTT(wv)],[Maximin(wv)]
0.573873 0.478374 	[Schwartz(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.574559 0.404079 	[CDTT(wv)],[Maximin(wv)]
0.574561 0.401891 	[CGTT(wv)],[Maximin(rel-margins)]
0.574573 0.47965 	[CDTT(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.574718 0.404952 	[Schwartz(wv)],[Maximin(rel-margins)]
0.574974 0.480499 	[CGTT(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.575072 0.785079 	[Condorcet],[AVGEliminate-[Plurality]/fd]
0.575272 0.40384 	[CDTT(wv)],[Maximin(rel-margins)]
0.575393 0.402911 	[Schwartz(wv)],[Maximin(fwv)]
0.576556 0.484486 	[CDTT(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.577106 0.483457 	[CGTT(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.578311 0.48325 	[Schwartz(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.58328 0.516708 	[CGTT(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.58347 0.515731 	[CDTT(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.58376 0.516213 	[Schwartz(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.584129 0.519975 	[Schwartz(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.584852 0.517138 	[CDTT(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.585634 0.515968 	[CGTT(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.588386 0.384934 	[CGTT(wv)],[Maximin(w/tv)]
0.588688 0.384952 	[CDTT(wv)],[Maximin(w/tv)]
0.58869 0.384728 	[Schwartz(wv)],[Maximin(w/tv)]
0.588849 0.702411 	VMedianOS-10(tiebreak)
0.594651 0.484306 	[CDTT(wv)],[VMedianOS-10(norm)]
0.594875 0.48515 	[CGTT(wv)],[VMedianOS-10(norm)]
0.595589 0.485115 	[Schwartz(wv)],[VMedianOS-10(norm)]
0.595802 0.491075 	[CGTT(wv)],[VMedianOS-10()]
0.596581 0.492416 	[CDTT(wv)],[VMedianOS-10()]
0.596753 0.491074 	[Schwartz(wv)],[VMedianOS-10()]
0.596942 0.66243 	VMedianOS-10(norm, tiebreak)
0.616624 0.64096 	[Condorcet],[Ext-Minmin(PO)]
0.616759 0.642303 	[Condorcet],[Ext-Minmin(keener)]
0.618276 0.607419 	[Condorcet],[VMedianOS-10(norm, tiebreak)]
0.621253 0.688788 	[Condorcet],[AVGEliminate-[Nauru Borda]/fd]
0.623115 0.914539 	[SDom(wv)],[Antiplurality]
0.629066 0.710386 	[Condorcet],[Nauru Borda]
0.633822 0.257242 	[Condorcet],[Keener(0.001, +1, norm)(wv)]
0.634736 0.689945 	[Condorcet],[Maximin(PO)]
0.635213 0.689569 	[Condorcet],[Minmax(PO)]
0.635262 0.69083 	[Condorcet],[Minmax(keener)]
0.63532 0.689953 	[Condorcet],[Minmax(fwv)]
0.635392 0.689745 	[Condorcet],[Minmax(rel-margins)]
0.635561 0.688977 	[Condorcet],[Minmax(wv)]
0.635684 0.688433 	[Condorcet],[Minmax(w/tv)]
0.63599 0.689558 	[Condorcet],[Maximin(keener)]
0.639934 0.606617 	[Smith(wv)],[Ext-Minmin(PO)]
0.640354 0.611612 	[Smith(wv)],[Ext-Minmin(keener)]
0.642525 0.439094 	[Schwartz(wv)],[Mode-Ratings]
0.643368 0.442087 	[CDTT(wv)],[Mode-Ratings]
0.643416 0.43961 	[CGTT(wv)],[Mode-Ratings]
0.644101 0.582827 	[Smith(wv)],[Maximin(keener)]
0.644248 0.586052 	[Smith(wv)],[Minmax(fwv)]
0.644344 0.585123 	[Smith(wv)],[Minmax(w/tv)]
0.644408 0.586102 	[Smith(wv)],[Maximin(PO)]
0.644476 0.586203 	[Smith(wv)],[Minmax(rel-margins)]
0.644516 0.586203 	[Smith(wv)],[Minmax(keener)]
0.644553 0.585998 	[Smith(wv)],[Minmax(wv)]
0.645186 0.584607 	[Smith(wv)],[Minmax(PO)]
0.645425 0.542463 	[Smith(wv)],[VMedianOS-10(norm, tiebreak)]
0.645972 0.645502 	[Condorcet],[L-R offense/2.25(rel-margins)]
0.646127 0.540802 	[Smith(wv)],[VMedianOS-10(tiebreak)]
0.650731 0.573618 	[CGTT(wv)],[Maximin(PO)]
0.650731 0.573623 	[CDTT(wv)],[Maximin(keener)]
0.650732 0.573622 	[Schwartz(wv)],[Minmax(rel-margins)]
0.650782 0.573607 	[CDTT(wv)],[Minmax(keener)]
0.650783 0.573607 	[CDTT(wv)],[Minmax(w/tv)]
0.6508 0.573605 	[CGTT(wv)],[Minmax(keener)]
0.650808 0.573563 	[CDTT(wv)],[Minmax(PO)]
0.650826 0.573546 	[CDTT(wv)],[Minmax(fwv)]
0.650836 0.573561 	[Schwartz(wv)],[Minmax(keener)]
0.650845 0.573643 	[CDTT(wv)],[Minmax(wv)]
0.650846 0.573545 	[Schwartz(wv)],[Maximin(PO)]
0.650869 0.573535 	[CGTT(wv)],[Minmax(w/tv)]
0.650885 0.573522 	[Schwartz(wv)],[Minmax(PO)]
0.650896 0.573571 	[Schwartz(wv)],[Minmax(w/tv)]
0.650917 0.573541 	[CGTT(wv)],[Minmax(wv)]
0.650922 0.573579 	[Schwartz(wv)],[Maximin(keener)]
0.650928 0.573533 	[Schwartz(wv)],[Minmax(wv)]
0.650941 0.573568 	[CGTT(wv)],[Minmax(rel-margins)]
0.650968 0.573574 	[CGTT(wv)],[Minmax(fwv)]
0.651008 0.573575 	[CDTT(wv)],[Maximin(PO)]
0.651018 0.573541 	[CGTT(wv)],[Minmax(PO)]
0.651059 0.57351 	[CGTT(wv)],[Maximin(keener)]
0.651083 0.573476 	[Schwartz(wv)],[Minmax(fwv)]
0.651084 0.573496 	[CDTT(wv)],[Minmax(rel-margins)]
0.65379 0.767038 	Minmax(rel-margins)
0.653818 0.766605 	Minmax(wv)
0.653904 0.766477 	Minmax(fwv)
0.654059 0.766436 	Minmax(keener)
0.654074 0.765943 	Minmax(PO)
0.654149 0.766291 	Maximin(keener)
