L-R offense/2.25(w/tv)	-61.2413 84.6104 
L-R defense/2.25(w/tv)	-60.0468 85.1126 
L-R both/2.25(w/tv)	-60.6161 84.9496 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(w/tv)	-59.7025 85.6592 
Ranked Pairs(w/tv)	-59.7079 85.89 
River(w/tv)	-61.7232 75.9335 
Dodgson-Quick(w/tv)	-60.5191 85.3649 
Keener(0.001, +0, raw)(w/tv)	-65.7467 89.4381 
Keener(0.001, +0, norm)(w/tv)	-69.4653 76.5034 
Keener(0.001, +1, raw)(w/tv)	-60.5028 85.9915 
Keener(0.001, +1, norm)(w/tv)	-69.5897 76.523 
Sinkhorn(0.001, +1)(w/tv)	-60.6746 85.5315 
Sinkhorn(0.001, +0)(w/tv)	-58.9136 88.5838 
ODM(0.001)(w/tv)	-60.5333 85.7016 
HITS(0.001)(w/tv)	-61.2932 84.9204 
ODM-arctan(0.001)(w/tv)	-60.6615 85.2203 
Kemeny(tourn-wv)	-60.1404 86.3839 
Ext-Minmax(tourn-wv)	-61.2606 85.9247 
Ext-Minmin(tourn-wv)	-61.2606 85.9247 
Minmax(tourn-wv)	-73.2389 85.5277 
Maximin(tourn-wv)	-73.2011 82.0458 
L-R offense/0.25(tourn-wv)	-61.4502 85.7937 
L-R defense/0.25(tourn-wv)	-61.2606 85.9247 
L-R both/0.25(tourn-wv)	-61.178 85.76 
L-R offense/0.5(tourn-wv)	-61.4502 85.7937 
L-R defense/0.5(tourn-wv)	-61.2606 85.9247 
L-R both/0.5(tourn-wv)	-61.178 85.76 
L-R offense/0.75(tourn-wv)	-61.4502 85.7937 
L-R defense/0.75(tourn-wv)	-61.2606 85.9247 
L-R both/0.75(tourn-wv)	-61.178 85.76 
L-R offense/1(tourn-wv)	-61.4502 85.7937 
L-R defense/1(tourn-wv)	-61.2606 85.9247 
L-R both/1(tourn-wv)	-61.178 85.76 
L-R offense/1.25(tourn-wv)	-61.4502 85.7937 
L-R defense/1.25(tourn-wv)	-61.2606 85.9247 
L-R both/1.25(tourn-wv)	-61.178 85.76 
