L-R both/2.25(w/tv)	1.8408 1.01617 
Copeland	0.936919 1.98353 
2. order Copeland/2/1	1.21076 2.02979 
2. order Copeland	0.501796 2.94175 
Schulze(w/tv)	0.228614 0.553546 
Ranked Pairs(w/tv)	0.153243 0.754919 
River(w/tv)	-7.23204 -0.21298 
Dodgson-Quick(w/tv)	1.30556 1.2058 
Keener(0.001, +0, raw)(w/tv)	-3.9165 4.90255 
Keener(0.001, +0, norm)(w/tv)	1.83906 12.2558 
Keener(0.001, +1, raw)(w/tv)	1.64701 2.12 
Keener(0.001, +1, norm)(w/tv)	2.36375 12.2824 
Sinkhorn(0.001, +1)(w/tv)	1.66347 1.68689 
Sinkhorn(0.001, +0)(w/tv)	3.85328 4.40695 
ODM(0.001)(w/tv)	1.83074 1.97511 
HITS(0.001)(w/tv)	2.34091 1.76446 
ODM-arctan(0.001)(w/tv)	1.61526 1.27834 
Kemeny(tourn-wv)	0.326066 1.83746 
Ext-Minmax(tourn-wv)	0.741341 1.75359 
Ext-Minmin(tourn-wv)	0.735131 1.76798 
Minmax(tourn-wv)	-10.5566 3.48119 
Maximin(tourn-wv)	-10.2358 5.41649 
L-R offense/0.25(tourn-wv)	0.952412 1.98756 
L-R defense/0.25(tourn-wv)	0.742539 1.76435 
L-R both/0.25(tourn-wv)	1.03884 1.7787 
L-R offense/0.5(tourn-wv)	0.947085 1.9945 
L-R defense/0.5(tourn-wv)	0.737161 1.75145 
L-R both/0.5(tourn-wv)	1.03291 1.77691 
L-R offense/0.75(tourn-wv)	0.949519 1.97211 
L-R defense/0.75(tourn-wv)	0.740535 1.76181 
L-R both/0.75(tourn-wv)	1.02902 1.77917 
L-R offense/1(tourn-wv)	0.943603 1.98441 
L-R defense/1(tourn-wv)	0.7458 1.77565 
L-R both/1(tourn-wv)	1.0315 1.78415 
L-R offense/1.25(tourn-wv)	0.955849 1.99544 
L-R defense/1.25(tourn-wv)	0.735797 1.74913 
L-R both/1.25(tourn-wv)	1.02843 1.77349 
L-R offense/1.5(tourn-wv)	0.956084 1.98434 
L-R defense/1.5(tourn-wv)	0.741727 1.76346 
L-R both/1.5(tourn-wv)	1.02955 1.77346 
L-R offense/1.75(tourn-wv)	0.939133 1.97276 
L-R defense/1.75(tourn-wv)	0.739209 1.75057 
L-R both/1.75(tourn-wv)	1.02993 1.77843 
L-R offense/2(tourn-wv)	0.95524 1.99003 
L-R defense/2(tourn-wv)	0.734615 1.75008 
L-R both/2(tourn-wv)	1.03458 1.77856 
L-R offense/2.25(tourn-wv)	0.94574 1.97905 
L-R defense/2.25(tourn-wv)	0.739605 1.75906 
L-R both/2.25(tourn-wv)	1.02553 1.7737 
Copeland	0.953354 1.98413 
2. order Copeland/2/1	1.20605 2.01297 
2. order Copeland	0.524362 2.95679 
Schulze(tourn-wv)	-1.76051 1.87002 
Ranked Pairs(tourn-wv)	-0.33457 2.42545 
River(tourn-wv)	-4.63321 6.33319 
Dodgson-Quick(tourn-wv)	0.730305 1.73954 
Keener(0.001, +0, raw)(tourn-wv)	-5.39612 5.20743 
Keener(0.001, +0, norm)(tourn-wv)	1.27887 1.91652 
Keener(0.001, +1, raw)(tourn-wv)	1.28387 2.13449 
Keener(0.001, +1, norm)(tourn-wv)	1.31509 1.92368 
Sinkhorn(0.001, +1)(tourn-wv)	1.43822 1.97542 
Sinkhorn(0.001, +0)(tourn-wv)	3.75876 5.1334 
ODM(0.001)(tourn-wv)	1.51286 2.19864 
HITS(0.001)(tourn-wv)	1.76724 2.18971 
ODM-arctan(0.001)(tourn-wv)	1.41687 1.96235 
Kemeny(fwv)	1.79019 2.34821 
Ext-Minmax(fwv)	0.656239 -3.39284 
Ext-Minmin(fwv)	1.03996 1.10045 
Minmax(fwv)	0.138882 -3.66268 
Maximin(fwv)	-6.45907 -9.03463 
