7.77316e-05 0.87271 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.627964 0.491389 	L-R offense/1.25(tourn-wv)
0.627968 0.491464 	L-R offense/1.75(tourn-wv)
0.627973 0.491464 	L-R offense/1.5(tourn-wv)
0.627973 0.491465 	Copeland
0.627996 0.491409 	L-R offense/0.75(tourn-wv)
0.628024 0.491472 	Copeland
0.633024 0.477474 	Keener(0.001, +1, norm)(tourn-wv)
0.63536 0.398759 	L-R defense/0.75(w/tv)
0.635366 0.39878 	L-R defense/1.75(w/tv)
0.635373 0.398753 	L-R defense/1(w/tv)
0.635374 0.398777 	L-R defense/2.25(w/tv)
0.635386 0.398768 	Dodgson-Quick(w/tv)
0.635386 0.398777 	L-R defense/0.5(w/tv)
0.635387 0.398746 	L-R defense/1.25(w/tv)
0.635388 0.398769 	L-R defense/1.5(w/tv)
0.635389 0.398794 	L-R defense/0.25(w/tv)
0.635391 0.398796 	Ext-Minmin(w/tv)
0.635396 0.398727 	L-R defense/2(w/tv)
0.639666 0.408633 	Schulze(wv)
0.639669 0.408643 	Schulze(w/tv)
0.639677 0.408592 	Schulze(fwv)
0.639691 0.408581 	Schulze(rel-margins)
0.639706 0.408513 	Schulze(PO)
0.639833 0.38786 	Keener(0.001, +1, norm)(wv)
0.644556 0.687877 	Maximin(tourn-wv)
0.660754 0.377136 	Gradual-[2. order Copeland/2/1](None, cardinal)
0.660916 0.377065 	Gradual-[2. order Copeland/2/1](None, ordinal)
0.660939 0.376992 	Gradual-[Schwartz(wv)](None, cardinal)
0.660974 0.376832 	Gradual-[Schwartz(wv)](None, ordinal)
0.669405 0.371065 	L-R both/0.5(rel-margins)
0.669409 0.371065 	L-R both/0.25(rel-margins)
0.675056 0.367385 	L-R both/1.75(w/tv)
0.675057 0.367383 	L-R both/1.25(wv)
0.675057 0.367383 	L-R both/1.5(fwv)
0.675057 0.367383 	L-R both/1(w/tv)
0.675057 0.367383 	ODM-arctan(0.001)(w/tv)
0.675057 0.367384 	L-R both/0.25(w/tv)
0.675058 0.367382 	L-R both/0.25(wv)
0.675058 0.367382 	L-R both/1.5(wv)
0.675058 0.367383 	L-R both/0.5(w/tv)
0.675058 0.367383 	L-R both/2.25(wv)
0.675058 0.367383 	L-R both/2(fwv)
0.675058 0.367383 	ODM-arctan(0.001)(wv)
0.675059 0.367381 	L-R both/0.75(fwv)
0.675059 0.367381 	L-R both/0.75(w/tv)
0.675059 0.367381 	L-R both/1.25(w/tv)
