0 0.872558 	Dodgson-Quick(keener)
0.53684 0.476232 	[SDom(wv)],[L-R offense/1.75(tourn-wv)]
0.536863 0.476238 	[SDom(wv)],[L-R offense/0.25(tourn-wv)]
0.536867 0.476384 	[SDom(wv)],[Copeland]
0.536878 0.47678 	[SDom(wv)],[L-R offense/2(tourn-wv)]
0.536879 0.476358 	[SDom(wv)],[Copeland]
0.536885 0.47622 	[SDom(wv)],[L-R offense/1.25(tourn-wv)]
0.536933 0.476306 	[SDom(wv)],[Copeland]
0.537036 0.475798 	[SDom(wv)],[L-R offense/1.5(tourn-wv)]
0.537091 0.475517 	[SDom(wv)],[L-R offense/2.25(tourn-wv)]
0.537138 0.475966 	[SDom(wv)],[L-R offense/0.75(tourn-wv)]
0.541583 0.355643 	Eliminate-[Nauru Borda]/fd
0.541606 0.325214 	Ext-Minmax(w/tv)
0.541657 0.325603 	[SDom(wv)],[Ext-Minmax(w/tv)]
0.543428 0.462205 	[SDom(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.544899 0.469231 	[SDom(wv)],[L-R both/0.75(tourn-wv)]
0.54491 0.469264 	[SDom(wv)],[ODM(0.001)(tourn-wv)]
0.544965 0.469093 	[SDom(wv)],[2. order Copeland/2/1]
0.54498 0.469169 	[SDom(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.54501 0.46898 	[SDom(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.545012 0.468938 	[SDom(wv)],[L-R both/0.5(tourn-wv)]
0.545021 0.469038 	[SDom(wv)],[Schulze(tourn-wv)]
0.545029 0.468959 	[SDom(wv)],[L-R both/1.25(tourn-wv)]
0.545044 0.468959 	[SDom(wv)],[L-R both/1(tourn-wv)]
0.545068 0.468988 	[SDom(wv)],[L-R both/1.75(tourn-wv)]
0.54509 0.469007 	[SDom(wv)],[2. order Copeland/2/1]
0.545095 0.468941 	[SDom(wv)],[2. order Copeland/2/1]
0.545102 0.468925 	[SDom(wv)],[2. order Copeland/2/1]
0.545107 0.468922 	[SDom(wv)],[2. order Copeland/2/1]
0.545127 0.469121 	[SDom(wv)],[L-R both/2.25(tourn-wv)]
0.545146 0.468822 	[SDom(wv)],[2. order Copeland/2/1]
0.54517 0.469053 	[SDom(wv)],[L-R both/2(tourn-wv)]
0.545199 0.468905 	[SDom(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.545209 0.468951 	[SDom(wv)],[HITS(0.001)(tourn-wv)]
0.545245 0.468647 	[SDom(wv)],[2. order Copeland/2/1]
0.545279 0.468656 	[SDom(wv)],[L-R both/0.25(tourn-wv)]
0.545367 0.468754 	[SDom(wv)],[L-R both/1.5(tourn-wv)]
0.54817 0.384879 	[Smith(wv)],[Random Pair]
0.548255 0.386392 	[Condorcet],[Random Pair]
0.548351 0.340219 	L-R defense/1.25(rel-margins)
0.548804 0.385752 	[Landau(wv)],[Random Pair]
0.551865 0.358017 	[Condorcet],[Gradual-[2. order Copeland](None, cardinal)]
0.552186 0.357969 	[Condorcet],[Gradual-[2. order Copeland](None, ordinal)]
0.559491 0.34617 	L-R defense/1(rel-margins)
0.560296 0.346427 	[SDom(wv)],[L-R defense/2(fwv)]
0.56032 0.351681 	[Condorcet],[Eliminate-[Antiplurality]/fd]
0.560589 0.345527 	[SDom(wv)],[L-R defense/1.5(fwv)]
0.560599 0.345607 	[SDom(wv)],[Dodgson-Quick(wv)]
0.560772 0.346219 	[SDom(wv)],[L-R defense/2.25(fwv)]
0.560936 0.345658 	[SDom(wv)],[Ext-Minmin(wv)]
0.560967 0.345771 	[SDom(wv)],[L-R defense/1.75(fwv)]
0.560992 0.346136 	[SDom(wv)],[L-R defense/0.5(rel-margins)]
0.561097 0.345888 	[SDom(wv)],[L-R defense/1.25(wv)]
0.561154 0.34608 	[SDom(wv)],[L-R defense/0.75(fwv)]
0.561227 0.345532 	[SDom(wv)],[L-R defense/2(wv)]
0.561247 0.345887 	[SDom(wv)],[L-R defense/0.25(rel-margins)]
0.561294 0.345979 	[SDom(wv)],[L-R defense/0.25(wv)]
0.561349 0.345949 	[SDom(wv)],[L-R defense/1.75(wv)]
0.56139 0.34491 	[SDom(wv)],[L-R defense/1.25(fwv)]
0.561404 0.346497 	[SDom(wv)],[L-R defense/0.75(wv)]
0.561411 0.346091 	[SDom(wv)],[L-R defense/1(wv)]
0.56144 0.346415 	[SDom(wv)],[L-R defense/1(fwv)]
0.561442 0.345404 	[SDom(wv)],[Ext-Minmin(fwv)]
0.561451 0.346453 	[SDom(wv)],[L-R defense/0.5(fwv)]
0.561465 0.345969 	[SDom(wv)],[L-R defense/2.25(wv)]
0.561539 0.345362 	[SDom(wv)],[L-R defense/0.25(fwv)]
0.561588 0.345699 	[SDom(wv)],[L-R defense/0.5(wv)]
0.561609 0.346998 	[SDom(wv)],[Ext-Minmin(rel-margins)]
0.561657 0.346536 	[SDom(wv)],[L-R defense/1.5(wv)]
0.562105 0.312047 	[SDom(wv)],[Eliminate-[VoteForAgainst]/fd]
0.56227 0.390575 	[MDD(sum)(wv)],[Random Pair]
0.562554 0.312144 	[SDom(wv)],[Eliminate-[NREM-Opt]/fd]
0.562771 0.311586 	[SDom(wv)],[Eliminate-[Borda]/fd]
0.562977 0.546456 	[Condorcet],[2. order Copeland]
0.562978 0.546303 	[Condorcet],[2. order Copeland]
0.563 0.546865 	[Condorcet],[2. order Copeland]
0.563086 0.54682 	[Condorcet],[2. order Copeland]
0.563183 0.547007 	[Condorcet],[2. order Copeland]
0.56332 0.546681 	[Condorcet],[2. order Copeland]
0.563349 0.572732 	[Condorcet],[Gradual-[CGTT(wv)](None, ordinal)]
0.563363 0.546495 	[Condorcet],[2. order Copeland]
0.5638 0.572675 	[Condorcet],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.563827 0.573234 	[Condorcet],[Dodgson-Quick(keener)]
0.563908 0.572678 	[Condorcet],[Gradual-[CDTT(wv)](None, ordinal)]
0.563969 0.573003 	[Condorcet],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.564088 0.573143 	[Condorcet],[Gradual-[CDTT(wv)](None, cardinal)]
0.564101 0.573287 	[Condorcet],[Gradual-[CGTT(wv)](None, cardinal)]
0.566877 0.396503 	[CDTT(wv)],[Random Pair]
0.566931 0.399268 	[Schwartz(wv)],[Random Pair]
0.567582 0.397866 	[CGTT(wv)],[Random Pair]
0.569182 0.144853 	[SDom(wv)],[Mode-Ratings]
0.569281 0.356092 	L-R defense/0.75(rel-margins)
0.569315 0.375356 	[Condorcet],[Eliminate-[Plurality]/fd]
0.569731 0.521953 	[Condorcet],[Minmax(tourn-wv)]
0.571683 0.345947 	[SDom(wv)],[Schulze(wv)]
0.571866 0.344454 	[SDom(wv)],[Schulze(rel-margins)]
0.57191 0.343948 	[SDom(wv)],[Schulze(fwv)]
0.57197 0.34509 	[SDom(wv)],[Schulze(PO)]
0.572056 0.344658 	[SDom(wv)],[Schulze(keener)]
0.572271 0.345719 	[SDom(wv)],[Schulze(w/tv)]
0.573861 0.56281 	[Condorcet],[VMedianOS-10()]
0.574266 0.562393 	[Condorcet],[VMedianOS-10(norm)]
0.574738 0.569794 	[Condorcet],[Gradual-[Condorcet](None, cardinal)]
0.57528 0.569437 	Gradual-[Condorcet](None, ordinal)
0.575374 0.569333 	Gradual-[Condorcet](None, cardinal)
0.575468 0.569794 	[Condorcet],[Gradual-[Condorcet](None, ordinal)]
0.575935 0.326307 	[SDom(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.579161 0.25594 	[SDom(wv)],[Ranked Pairs(tourn-wv)]
0.579415 0.30163 	[SDom(wv)],[Ranked Pairs(PO)]
