0 0.872558 	Dodgson-Quick(keener)
0.616748 0.392698 	[Condorcet],[L-R defense/0.5(fwv)]
0.616766 0.392751 	[Landau(wv)],[L-R defense/2(rel-margins)]
0.61677 0.39267 	[Smith(wv)],[Minmax(rel-margins)]
0.616772 0.392836 	Ext-Minmin(wv)
0.616775 0.39283 	L-R defense/0.75(wv)
0.616777 0.39264 	[Condorcet],[L-R defense/1(wv)]
0.61678 0.392752 	[Smith(wv)],[L-R defense/2(wv)]
0.616786 0.39259 	[Smith(wv)],[L-R defense/2.25(rel-margins)]
0.616786 0.39263 	[Smith(wv)],[L-R defense/0.25(wv)]
0.616803 0.392688 	[Smith(wv)],[Ext-Minmin(rel-margins)]
0.616806 0.39262 	[Smith(wv)],[Ext-Minmax(rel-margins)]
0.616809 0.392748 	[Landau(wv)],[L-R defense/0.5(wv)]
0.61681 0.392665 	L-R defense/1.25(wv)
0.616818 0.392916 	Ext-Minmin(rel-margins)
0.616822 0.392852 	[Landau(wv)],[L-R defense/0.5(rel-margins)]
0.616824 0.392844 	[Landau(wv)],[Minmax(fwv)]
0.616827 0.392955 	[MDD(sum)(wv)],[L-R defense/1(wv)]
0.616828 0.392638 	[Smith(wv)],[L-R defense/0.5(rel-margins)]
0.616829 0.392828 	[Smith(wv)],[Maximin(keener)]
0.616829 0.392904 	[Landau(wv)],[Minmax(w/tv)]
0.616831 0.392875 	[MDD(sum)(wv)],[L-R defense/1.75(fwv)]
0.616832 0.392689 	[Smith(wv)],[L-R defense/1.75(fwv)]
0.616834 0.392644 	[Smith(wv)],[L-R defense/0.5(fwv)]
0.616835 0.392831 	[MDD(sum)(wv)],[Minmax(PO)]
0.616837 0.392613 	[Smith(wv)],[L-R defense/1(wv)]
0.616837 0.3926 	[Smith(wv)],[Ext-Minmax(fwv)]
0.616839 0.392782 	[Smith(wv)],[L-R defense/1.75(rel-margins)]
0.616841 0.392658 	[Smith(wv)],[L-R defense/1.5(wv)]
0.616842 0.392826 	[Landau(wv)],[L-R defense/2(fwv)]
0.616848 0.392682 	[Landau(wv)],[Ext-Minmin(fwv)]
0.616848 0.392842 	[Landau(wv)],[L-R defense/1(fwv)]
0.61685 0.392697 	[Condorcet],[Ext-Minmin(wv)]
0.616856 0.392614 	[Landau(wv)],[L-R defense/1.75(rel-margins)]
0.616856 0.392638 	[Smith(wv)],[L-R defense/0.25(rel-margins)]
0.61686 0.392882 	[Condorcet],[L-R defense/0.75(fwv)]
0.616861 0.39276 	[Landau(wv)],[Ext-Minmin(wv)]
0.616863 0.392626 	[Condorcet],[L-R defense/0.25(fwv)]
0.616864 0.392563 	[MDD(sum)(wv)],[L-R defense/2(rel-margins)]
0.616865 0.392817 	[MDD(sum)(wv)],[Maximin(PO)]
0.616871 0.392761 	[Landau(wv)],[L-R defense/0.25(fwv)]
0.616874 0.392853 	L-R defense/0.5(wv)
0.616875 0.392593 	L-R defense/1.75(wv)
0.616879 0.392803 	[Condorcet],[Ext-Minmin(fwv)]
0.616882 0.39266 	[Smith(wv)],[Minmax(wv)]
0.61689 0.392695 	[Landau(wv)],[Maximin(keener)]
0.616892 0.392689 	[Condorcet],[L-R defense/2.25(wv)]
0.616896 0.39264 	[MDD(sum)(wv)],[Ext-Minmin(wv)]
0.616896 0.39289 	[Landau(wv)],[Ext-Minmax(fwv)]
0.616897 0.392436 	L-R defense/1.75(fwv)
0.616897 0.392639 	Ext-Minmin(fwv)
0.616898 0.392545 	[MDD(sum)(wv)],[L-R defense/1(rel-margins)]
0.616901 0.392703 	[Condorcet],[L-R defense/1.75(wv)]
0.616902 0.39269 	[MDD(sum)(wv)],[L-R defense/1.25(fwv)]
0.616903 0.392663 	[MDD(sum)(wv)],[L-R defense/0.75(rel-margins)]
0.616906 0.392584 	[Smith(wv)],[Minmax(PO)]
0.616906 0.392666 	[Landau(wv)],[L-R defense/1.5(rel-margins)]
0.616913 0.392568 	[Landau(wv)],[L-R defense/0.5(fwv)]
0.616916 0.392686 	[Smith(wv)],[L-R defense/2.25(fwv)]
0.616919 0.392792 	[Condorcet],[L-R defense/1(fwv)]
0.61692 0.392706 	L-R defense/1.5(fwv)
0.61692 0.39284 	[MDD(sum)(wv)],[L-R defense/1.5(wv)]
0.616924 0.392657 	[Landau(wv)],[L-R defense/1.25(fwv)]
0.616925 0.392727 	[MDD(sum)(wv)],[Dodgson-Quick(wv)]
0.616926 0.392747 	[Smith(wv)],[Maximin(PO)]
0.61693 0.392726 	[Condorcet],[L-R defense/2.25(fwv)]
0.616931 0.392692 	[MDD(sum)(wv)],[L-R defense/2(wv)]
0.616933 0.39285 	[MDD(sum)(wv)],[Ext-Minmin(rel-margins)]
0.616936 0.392697 	[Landau(wv)],[L-R defense/2.25(rel-margins)]
0.616937 0.392678 	[Smith(wv)],[L-R defense/0.75(fwv)]
0.616938 0.392605 	[MDD(sum)(wv)],[L-R defense/1(fwv)]
0.616939 0.392484 	[Smith(wv)],[L-R defense/0.5(wv)]
0.616939 0.392647 	L-R defense/2(fwv)
0.61694 0.392716 	[MDD(sum)(wv)],[L-R defense/0.75(wv)]
0.616946 0.392608 	[Landau(wv)],[L-R defense/1(rel-margins)]
0.616952 0.392667 	[MDD(sum)(wv)],[Minmax(keener)]
0.616953 0.392859 	[Smith(wv)],[Dodgson-Quick(wv)]
0.616955 0.392635 	[Smith(wv)],[L-R defense/1.25(rel-margins)]
0.616956 0.392571 	[Smith(wv)],[L-R defense/1.5(rel-margins)]
0.616956 0.392674 	L-R defense/1.5(wv)
0.616957 0.392671 	[MDD(sum)(wv)],[L-R defense/2(fwv)]
0.616959 0.392599 	[Smith(wv)],[L-R defense/0.75(wv)]
0.616964 0.392583 	[MDD(sum)(wv)],[L-R defense/0.5(fwv)]
0.616964 0.392694 	[Condorcet],[Ext-Minmin(rel-margins)]
0.616966 0.392739 	[MDD(sum)(wv)],[L-R defense/0.75(fwv)]
0.616968 0.392724 	[MDD(sum)(wv)],[L-R defense/0.25(fwv)]
0.616969 0.39274 	[MDD(sum)(wv)],[Minmax(fwv)]
0.61697 0.39267 	[Landau(wv)],[L-R defense/2.25(wv)]
0.61697 0.392858 	[MDD(sum)(wv)],[L-R defense/0.25(wv)]
0.616971 0.39285 	[MDD(sum)(wv)],[L-R defense/2.25(rel-margins)]
0.616972 0.39268 	[Landau(wv)],[L-R defense/0.75(wv)]
0.616974 0.392681 	[Condorcet],[L-R defense/2(wv)]
0.616977 0.392885 	[Landau(wv)],[L-R defense/1.75(wv)]
0.616981 0.392871 	[MDD(sum)(wv)],[L-R defense/2.25(wv)]
0.616984 0.392561 	[MDD(sum)(wv)],[L-R defense/1.75(wv)]
0.616984 0.392633 	[Landau(wv)],[L-R defense/1.75(fwv)]
0.616987 0.392574 	L-R defense/0.25(rel-margins)
0.616991 0.392475 	[Landau(wv)],[L-R defense/2.25(fwv)]
0.616991 0.392623 	[Smith(wv)],[Minmax(keener)]
0.616993 0.392671 	[MDD(sum)(wv)],[Ext-Minmin(fwv)]
0.616994 0.39276 	[Condorcet],[L-R defense/2(fwv)]
0.616995 0.392799 	[Landau(wv)],[L-R defense/1.25(wv)]
0.616997 0.392699 	L-R defense/2(wv)
0.616998 0.392932 	[MDD(sum)(wv)],[L-R defense/1.5(rel-margins)]
0.616999 0.392838 	[Smith(wv)],[L-R defense/1.5(fwv)]
0.617001 0.392501 	L-R defense/2.25(wv)
0.617001 0.392728 	[Landau(wv)],[Ext-Minmin(rel-margins)]
0.617001 0.392754 	L-R defense/0.25(wv)
0.617003 0.392592 	L-R defense/0.75(fwv)
0.617003 0.392824 	[MDD(sum)(wv)],[L-R defense/0.5(wv)]
0.617005 0.392558 	[Landau(wv)],[Ext-Minmax(rel-margins)]
0.617005 0.392676 	[Landau(wv)],[Minmax(PO)]
0.617005 0.39271 	[MDD(sum)(wv)],[L-R defense/1.75(rel-margins)]
0.617008 0.392673 	[Landau(wv)],[L-R defense/0.75(rel-margins)]
0.617008 0.392743 	[Condorcet],[L-R defense/0.5(rel-margins)]
0.617009 0.392635 	L-R defense/1(wv)
0.617011 0.392747 	[Landau(wv)],[Maximin(PO)]
0.617013 0.392672 	[Smith(wv)],[Minmax(fwv)]
0.617024 0.392497 	[Smith(wv)],[L-R defense/0.25(fwv)]
0.617026 0.392693 	[Landau(wv)],[L-R defense/1.5(wv)]
0.617027 0.392691 	[Condorcet],[L-R defense/1.25(wv)]
0.617027 0.39276 	[Condorcet],[L-R defense/0.5(wv)]
0.617028 0.392643 	[Condorcet],[L-R defense/1.75(fwv)]
0.617029 0.39283 	[Landau(wv)],[L-R defense/1.25(rel-margins)]
0.61703 0.3926 	[MDD(sum)(wv)],[Ext-Minmax(rel-margins)]
0.617031 0.392761 	[Landau(wv)],[Dodgson-Quick(wv)]
0.617034 0.392621 	[Smith(wv)],[L-R defense/1(rel-margins)]
0.61704 0.392694 	[Smith(wv)],[Ext-Minmin(fwv)]
0.617041 0.392693 	[Smith(wv)],[L-R defense/2(rel-margins)]
0.617043 0.392631 	[Landau(wv)],[L-R defense/0.25(rel-margins)]
0.617043 0.392673 	[Condorcet],[L-R defense/1.25(fwv)]
0.617047 0.392516 	[Smith(wv)],[L-R defense/1.75(wv)]
0.617049 0.392722 	[Condorcet],[Dodgson-Quick(wv)]
0.617053 0.392607 	[Landau(wv)],[L-R defense/0.25(wv)]
0.617057 0.392484 	[Smith(wv)],[L-R defense/0.75(rel-margins)]
0.617059 0.392852 	[Condorcet],[L-R defense/0.25(wv)]
0.61706 0.392738 	[Landau(wv)],[L-R defense/1(wv)]
0.617061 0.392738 	L-R defense/1(fwv)
0.617061 0.392769 	[MDD(sum)(wv)],[Minmax(rel-margins)]
0.617063 0.392706 	[Condorcet],[L-R defense/1.5(fwv)]
0.617065 0.392687 	L-R defense/0.25(fwv)
0.617074 0.392718 	Dodgson-Quick(wv)
0.61708 0.392658 	[Landau(wv)],[L-R defense/0.75(fwv)]
0.617084 0.392619 	[MDD(sum)(wv)],[Minmax(w/tv)]
0.617089 0.392574 	[Smith(wv)],[Minmax(w/tv)]
0.617099 0.39269 	[MDD(sum)(wv)],[L-R defense/0.25(rel-margins)]
0.6171 0.39264 	[MDD(sum)(wv)],[Ext-Minmax(fwv)]
0.6171 0.392719 	[MDD(sum)(wv)],[L-R defense/0.5(rel-margins)]
0.617102 0.392684 	[Smith(wv)],[L-R defense/1.25(fwv)]
0.617116 0.392751 	[Condorcet],[L-R defense/0.25(rel-margins)]
0.617124 0.392612 	[Smith(wv)],[L-R defense/1.25(wv)]
0.617125 0.392705 	[Landau(wv)],[Minmax(rel-margins)]
0.617136 0.3926 	[Condorcet],[L-R defense/0.75(wv)]
0.617139 0.392646 	[Smith(wv)],[L-R defense/2(fwv)]
0.61716 0.392669 	[MDD(sum)(wv)],[L-R defense/1.25(rel-margins)]
0.617169 0.392828 	[Smith(wv)],[Ext-Minmin(wv)]
0.617173 0.392733 	[Smith(wv)],[L-R defense/2.25(wv)]
0.617174 0.392633 	[MDD(sum)(wv)],[L-R defense/2.25(fwv)]
0.617176 0.39261 	[MDD(sum)(wv)],[L-R defense/1.25(wv)]
0.617183 0.392749 	[Landau(wv)],[Minmax(wv)]
0.617188 0.392645 	[Condorcet],[L-R defense/1.5(wv)]
0.619372 0.37386 	[Landau(wv)],[Eliminate-[NREM-Opt]/fd]
0.619409 0.372922 	[Smith(wv)],[Eliminate-[Borda]/fd]
0.619499 0.373553 	[Landau(wv)],[Eliminate-[VoteForAgainst]/fd]
0.619555 0.373658 	[MDD(sum)(wv)],[Eliminate-[Borda]/fd]
0.619586 0.373774 	[Landau(wv)],[Eliminate-[Borda]/fd]
0.619638 0.373191 	[MDD(sum)(wv)],[Eliminate-[NREM-Opt]/fd]
0.61964 0.372937 	[Smith(wv)],[Eliminate-[NREM-Opt]/fd]
0.619682 0.373367 	[Smith(wv)],[Eliminate-[VoteForAgainst]/fd]
0.619752 0.372912 	[MDD(sum)(wv)],[Eliminate-[VoteForAgainst]/fd]
0.620526 0.194231 	[SDom(wv)],[VMedianOS-10(norm, tiebreak)]
0.620649 0.194333 	[SDom(wv)],[VMedianOS-10(tiebreak)]
0.620921 0.30742 	[SDom(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.621212 0.306879 	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.621446 0 	[SDom(wv)],[Maximin(w/tv)]
0.621485 0.307211 	[SDom(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.621576 0.307458 	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.622075 0.243926 	Dodgson-Quick(PO)
0.622125 0.356549 	[Condorcet],[AVGEliminate-[NREM-Opt]/fd]
0.622177 0.356491 	[Condorcet],[AVGEliminate-[Borda]/fd]
0.622523 0.356778 	[Condorcet],[AVGEliminate-[VoteForAgainst]/fd]
0.623668 0.393137 	[MDD(sum)(wv)],[Ext-Minmax(w/tv)]
0.623715 0.393124 	[Landau(wv)],[Ext-Minmax(w/tv)]
0.623733 0.392964 	[Smith(wv)],[Ext-Minmax(w/tv)]
0.624045 0.510354 	[Smith(wv)],[VMedianOS-10()]
0.624145 0.510343 	[Landau(wv)],[VMedianOS-10()]
0.62425 0.509979 	[Smith(wv)],[VMedianOS-10(norm)]
0.624282 0.510529 	[Landau(wv)],[VMedianOS-10(norm)]
0.625328 0.510741 	[Smith(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.625428 0.377235 	[Landau(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.62544 0.510807 	[Smith(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.625484 0.510251 	Gradual-[Landau(wv)](None, ordinal)
0.625487 0.510519 	[Condorcet],[Gradual-[Landau(wv)](None, cardinal)]
0.62549 0.510508 	Gradual-[Landau(wv)](None, cardinal)
0.625496 0.377216 	Keener(0.001, +1, norm)(w/tv)
0.625512 0.510377 	[Landau(wv)],[Gradual-[Condorcet](None, cardinal)]
0.625527 0.331521 	[Condorcet],[Ext-Minmax(keener)]
0.625547 0.510541 	[Landau(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.625556 0.510462 	[Condorcet],[Gradual-[Smith(wv)](None, ordinal)]
0.625613 0.330815 	[Condorcet],[Ext-Minmax(wv)]
0.62565 0.330789 	[Condorcet],[Ext-Minmax(PO)]
0.62569 0.510311 	[Smith(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.62571 0.377866 	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.625728 0.510644 	[Landau(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.62574 0.510711 	[Smith(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.625759 0.377138 	[Condorcet],[Keener(0.001, +1, norm)(w/tv)]
0.625762 0.510168 	[Smith(wv)],[Gradual-[Condorcet](None, cardinal)]
0.625822 0.510612 	[Landau(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.62583 0.510635 	[Landau(wv)],[Gradual-[Condorcet](None, ordinal)]
0.625839 0.510461 	[Condorcet],[Gradual-[Smith(wv)](None, cardinal)]
0.62584 0.510519 	[Landau(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.625845 0.377437 	[Smith(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.625901 0.51046 	Gradual-[Smith(wv)](None, cardinal)
0.625918 0.510142 	Gradual-[Smith(wv)](None, ordinal)
0.625968 0.510335 	[Condorcet],[Gradual-[Landau(wv)](None, ordinal)]
0.626122 0.510118 	[Smith(wv)],[Gradual-[Condorcet](None, ordinal)]
0.626135 0.478664 	[Condorcet],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626136 0.478684 	[Smith(wv)],[L-R both/0.25(tourn-wv)]
0.626139 0.478655 	[Schwartz(wv)],[Schulze(tourn-wv)]
0.626139 0.47867 	[CGTT(wv)],[Maximin(tourn-wv)]
0.62614 0.478641 	[CDTT(wv)],[L-R defense/0.75(tourn-wv)]
0.62614 0.478678 	[CDTT(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626141 0.478679 	[CGTT(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.626142 0.478654 	[MDD(sum)(wv)],[Maximin(tourn-wv)]
0.626142 0.478658 	[Smith(wv)],[L-R both/1.75(tourn-wv)]
0.626142 0.478662 	[CDTT(wv)],[Dodgson-Quick(tourn-wv)]
0.626142 0.478687 	[Schwartz(wv)],[L-R offense/1.5(tourn-wv)]
0.626143 0.478659 	[Schwartz(wv)],[L-R both/0.5(tourn-wv)]
0.626144 0.478668 	[CDTT(wv)],[ODM(0.001)(tourn-wv)]
0.626144 0.478674 	[CGTT(wv)],[2. order Copeland/2/1]
0.626144 0.47867 	[CDTT(wv)],[L-R both/2(tourn-wv)]
0.626144 0.478681 	[CGTT(wv)],[L-R both/1.75(tourn-wv)]
0.626144 0.478707 	[CDTT(wv)],[L-R offense/2(tourn-wv)]
0.626145 0.478648 	[MDD(sum)(wv)],[Schulze(tourn-wv)]
0.626145 0.478658 	[CGTT(wv)],[Copeland]
0.626145 0.478668 	[Condorcet],[L-R both/2.25(tourn-wv)]
0.626145 0.478736 	[CGTT(wv)],[L-R offense/1.25(tourn-wv)]
0.626146 0.478647 	[Schwartz(wv)],[L-R offense/1.25(tourn-wv)]
0.626146 0.478648 	[CDTT(wv)],[Copeland]
0.626146 0.478664 	L-R both/2.25(tourn-wv)
0.626146 0.478669 	[Schwartz(wv)],[Copeland]
0.626146 0.478671 	[Condorcet],[Keener(0.001, +1, raw)(tourn-wv)]
0.626147 0.478641 	[Schwartz(wv)],[Dodgson-Quick(tourn-wv)]
0.626147 0.478649 	[Landau(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626147 0.478674 	[CGTT(wv)],[2. order Copeland/2/1]
0.626147 0.478723 	[CDTT(wv)],[2. order Copeland/2/1]
0.626148 0.478632 	[Landau(wv)],[Schulze(tourn-wv)]
0.626148 0.478652 	[CGTT(wv)],[2. order Copeland]
0.626148 0.478653 	[CGTT(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.626148 0.478665 	[Smith(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626148 0.478674 	[CGTT(wv)],[Dodgson-Quick(keener)]
0.626149 0.478646 	[MDD(sum)(wv)],[HITS(0.001)(tourn-wv)]
0.626149 0.478653 	[Schwartz(wv)],[L-R defense/2(tourn-wv)]
0.626149 0.478656 	[MDD(sum)(wv)],[Copeland]
0.626149 0.478657 	[CGTT(wv)],[Dodgson-Quick(fwv)]
0.626149 0.478673 	[Landau(wv)],[L-R both/2.25(tourn-wv)]
0.626149 0.47867 	[Schwartz(wv)],[L-R offense/1(tourn-wv)]
0.626149 0.478683 	L-R both/1.25(tourn-wv)
0.62615 0.478619 	[CDTT(wv)],[2. order Copeland]
0.62615 0.478659 	[CDTT(wv)],[Dodgson-Quick(fwv)]
0.62615 0.478692 	[Schwartz(wv)],[2. order Copeland/2/1]
0.62615 0.478712 	[CGTT(wv)],[2. order Copeland/2/1]
0.62615 0.478717 	[Smith(wv)],[L-R both/2.25(tourn-wv)]
0.626151 0.478663 	[Schwartz(wv)],[L-R defense/1.5(tourn-wv)]
0.626151 0.478676 	[Schwartz(wv)],[Copeland]
0.626151 0.478677 	[MDD(sum)(wv)],[L-R both/2(tourn-wv)]
0.626151 0.478679 	[CGTT(wv)],[Ext-Minmax(tourn-wv)]
0.626151 0.478685 	[CGTT(wv)],[L-R offense/1.75(tourn-wv)]
0.626151 0.478685 	[Schwartz(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626151 0.478698 	[CDTT(wv)],[2. order Copeland]
0.626152 0.478609 	[Schwartz(wv)],[Ext-Minmin(tourn-wv)]
0.626152 0.478634 	[CGTT(wv)],[L-R offense/1(tourn-wv)]
0.626152 0.478635 	[CDTT(wv)],[L-R defense/1.25(tourn-wv)]
0.626152 0.478647 	[Schwartz(wv)],[2. order Copeland]
0.626152 0.478651 	[Schwartz(wv)],[L-R offense/1.75(tourn-wv)]
0.626152 0.478659 	[CDTT(wv)],[L-R defense/1.75(tourn-wv)]
0.626152 0.478665 	[Smith(wv)],[L-R both/1(tourn-wv)]
0.626152 0.478679 	[Schwartz(wv)],[2. order Copeland]
0.626152 0.478698 	[MDD(sum)(wv)],[L-R both/1.75(tourn-wv)]
0.626152 0.478712 	[CGTT(wv)],[2. order Copeland]
0.626153 0.478627 	[CDTT(wv)],[L-R defense/1(tourn-wv)]
0.626153 0.478632 	[CDTT(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626153 0.478642 	[MDD(sum)(wv)],[L-R offense/2.25(tourn-wv)]
0.626153 0.478652 	[Schwartz(wv)],[2. order Copeland/2/1]
0.626153 0.478659 	[CDTT(wv)],[Copeland]
0.626153 0.478692 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626154 0.478616 	[CDTT(wv)],[L-R defense/2(tourn-wv)]
0.626154 0.478616 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626154 0.478631 	[Schwartz(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.626154 0.478635 	[Condorcet],[2. order Copeland/2/1]
0.626154 0.478671 	2. order Copeland/2/1
0.626154 0.478692 	[Smith(wv)],[2. order Copeland/2/1]
0.626155 0.478628 	[CDTT(wv)],[L-R offense/1.75(tourn-wv)]
0.626155 0.478656 	[CDTT(wv)],[Dodgson-Quick(keener)]
0.626155 0.478656 	[CDTT(wv)],[L-R both/2.25(tourn-wv)]
0.626155 0.478663 	[MDD(sum)(wv)],[L-R offense/1.5(tourn-wv)]
0.626155 0.478665 	[CGTT(wv)],[Dodgson-Quick(tourn-wv)]
0.626155 0.478702 	[MDD(sum)(wv)],[L-R offense/1.75(tourn-wv)]
0.626155 0.478705 	[Schwartz(wv)],[Copeland]
0.626155 0.478719 	[Landau(wv)],[2. order Copeland/2/1]
0.626155 0.478719 	L-R both/0.75(tourn-wv)
0.626155 0.47871 	[CDTT(wv)],[L-R both/0.25(tourn-wv)]
0.626156 0.478596 	[Condorcet],[L-R both/0.25(tourn-wv)]
0.626156 0.47861 	[Schwartz(wv)],[L-R defense/1.75(tourn-wv)]
0.626156 0.478643 	[Schwartz(wv)],[L-R defense/2.25(tourn-wv)]
0.626156 0.478648 	L-R both/2(tourn-wv)
0.626156 0.478661 	[CDTT(wv)],[Copeland]
0.626156 0.478661 	[CGTT(wv)],[L-R both/0.75(tourn-wv)]
0.626156 0.478672 	[Landau(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626156 0.478675 	[Condorcet],[HITS(0.001)(tourn-wv)]
0.626156 0.478697 	[Smith(wv)],[2. order Copeland/2/1]
0.626156 0.478701 	[CGTT(wv)],[2. order Copeland/2/1]
0.626156 0.478704 	[Condorcet],[L-R both/0.75(tourn-wv)]
0.626156 0.478711 	[Schwartz(wv)],[L-R both/1.5(tourn-wv)]
0.626157 0.478606 	2. order Copeland/2/1
0.626157 0.478609 	[Schwartz(wv)],[L-R defense/1(tourn-wv)]
0.626157 0.478631 	[CGTT(wv)],[Schulze(tourn-wv)]
0.626157 0.478657 	[Condorcet],[L-R both/1(tourn-wv)]
0.626157 0.478698 	2. order Copeland/2/1
0.626157 0.478702 	[CGTT(wv)],[L-R defense/1.25(tourn-wv)]
0.626157 0.478718 	[Smith(wv)],[2. order Copeland/2/1]
0.626158 0.478595 	[Schwartz(wv)],[Dodgson-Quick(keener)]
0.626158 0.478605 	[CDTT(wv)],[L-R defense/1.5(tourn-wv)]
0.626158 0.478627 	[Schwartz(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.626158 0.478634 	[CGTT(wv)],[2. order Copeland]
0.626158 0.478647 	[Smith(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626158 0.47864 	[Landau(wv)],[L-R both/2(tourn-wv)]
0.626158 0.478659 	[Condorcet],[2. order Copeland/2/1]
0.626158 0.478684 	[CGTT(wv)],[Copeland]
0.626158 0.478698 	[CGTT(wv)],[2. order Copeland/2/1]
0.626158 0.47869 	[CGTT(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626158 0.478707 	Keener(0.001, +1, raw)(tourn-wv)
0.626158 0.478727 	[MDD(sum)(wv)],[Copeland]
0.626158 0.478732 	[Schwartz(wv)],[2. order Copeland/2/1]
0.626159 0.478607 	[CGTT(wv)],[L-R both/2(tourn-wv)]
0.626159 0.478621 	[CDTT(wv)],[2. order Copeland]
0.626159 0.478627 	ODM(0.001)(tourn-wv)
0.626159 0.478647 	HITS(0.001)(tourn-wv)
0.626159 0.478649 	[Schwartz(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626159 0.478651 	[CGTT(wv)],[Dodgson-Quick(rel-margins)]
0.626159 0.478672 	[Smith(wv)],[2. order Copeland/2/1]
0.626159 0.478679 	[Schwartz(wv)],[Dodgson-Quick(rel-margins)]
0.626159 0.478699 	[CGTT(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626159 0.47871 	[CGTT(wv)],[L-R offense/0.75(tourn-wv)]
0.62616 0.478603 	[CDTT(wv)],[L-R offense/1(tourn-wv)]
0.62616 0.478615 	[CDTT(wv)],[2. order Copeland]
0.62616 0.478641 	[CGTT(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.62616 0.478651 	[CGTT(wv)],[2. order Copeland/2/1]
0.62616 0.478712 	[CDTT(wv)],[L-R offense/0.25(tourn-wv)]
0.62616 0.478736 	[CDTT(wv)],[2. order Copeland]
0.62616 0.478742 	[Schwartz(wv)],[2. order Copeland/2/1]
0.626161 0.478646 	[Schwartz(wv)],[L-R defense/0.75(tourn-wv)]
0.626161 0.478657 	[MDD(sum)(wv)],[L-R both/0.25(tourn-wv)]
0.626161 0.478661 	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626161 0.478674 	[Condorcet],[2. order Copeland/2/1]
0.626161 0.478677 	[CGTT(wv)],[L-R defense/2.25(tourn-wv)]
0.626161 0.478683 	[CGTT(wv)],[2. order Copeland]
0.626161 0.478683 	[CGTT(wv)],[L-R offense/1.5(tourn-wv)]
0.626161 0.47868 	[Landau(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626162 0.478602 	[Schwartz(wv)],[L-R offense/2.25(tourn-wv)]
0.626162 0.478612 	[CGTT(wv)],[HITS(0.001)(tourn-wv)]
0.626162 0.478625 	[CGTT(wv)],[L-R defense/0.5(tourn-wv)]
0.626162 0.478641 	[Smith(wv)],[L-R both/2(tourn-wv)]
0.626162 0.478649 	[Schwartz(wv)],[2. order Copeland]
0.626162 0.478666 	[MDD(sum)(wv)],[ODM(0.001)(tourn-wv)]
0.626162 0.47866 	[Condorcet],[2. order Copeland/2/1]
0.626162 0.478698 	[CDTT(wv)],[L-R both/1.25(tourn-wv)]
0.626162 0.478734 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626162 0.478748 	[Landau(wv)],[L-R both/1(tourn-wv)]
0.626162 0.478759 	[MDD(sum)(wv)],[Copeland]
0.626163 0.478603 	[MDD(sum)(wv)],[L-R offense/0.75(tourn-wv)]
0.626163 0.47863 	[CDTT(wv)],[Ext-Minmin(tourn-wv)]
0.626163 0.478647 	L-R both/0.25(tourn-wv)
0.626163 0.478661 	[MDD(sum)(wv)],[Copeland]
0.626163 0.478675 	[Smith(wv)],[HITS(0.001)(tourn-wv)]
0.626163 0.478692 	[CDTT(wv)],[2. order Copeland/2/1]
0.626163 0.478713 	[CDTT(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.626163 0.478723 	[CDTT(wv)],[L-R offense/2.25(tourn-wv)]
0.626163 0.478726 	[Smith(wv)],[ODM(0.001)(tourn-wv)]
